f,gain,phase
2.39123015397493e-02,2.96992163742765e+00,1.02250369620709e+02
2.39673699559485e-02,2.99161321286331e+00,1.02276290076729e+02
2.40225651909927e-02,3.01331199880756e+00,1.02302255281137e+02
2.40778875369372e-02,3.03501802216081e+00,1.02328265245636e+02
2.41333372865098e-02,3.05673131086756e+00,1.02354319980851e+02
2.41889147331124e-02,3.07845189212452e+00,1.02380419497503e+02
2.42446201708226e-02,3.10017979359281e+00,1.02406563805886e+02
2.43004538943954e-02,3.12191504301467e+00,1.02432752915447e+02
2.43564161992644e-02,3.14365766817692e+00,1.02458986835150e+02
2.44125073815436e-02,3.16540769664875e+00,1.02485265573789e+02
2.44687277380292e-02,3.18716515670335e+00,1.02511589139370e+02
2.45250775662004e-02,3.20893007628702e+00,1.02537957539392e+02
2.45815571642219e-02,3.23070248320713e+00,1.02564370781077e+02
2.46381668309449e-02,3.25248240595331e+00,1.02590828870659e+02
2.46949068659088e-02,3.27426987261742e+00,1.02617331814606e+02
2.47517775693428e-02,3.29606491142706e+00,1.02643879618283e+02
2.48087792421678e-02,3.31786755093412e+00,1.02670472286431e+02
2.48659121859972e-02,3.33967781958840e+00,1.02697109823789e+02
2.49231767031394e-02,3.36149574566290e+00,1.02723792234219e+02
2.49805730965988e-02,3.38332135827584e+00,1.02750519521093e+02
2.50381016700777e-02,3.40515468579795e+00,1.02777291687184e+02
2.50957627279777e-02,3.42699575713664e+00,1.02804108734991e+02
2.51535565754016e-02,3.44884460114185e+00,1.02830970666190e+02
2.52114835181546e-02,3.47070124666040e+00,1.02857877482010e+02
2.52695438627462e-02,3.49256572295681e+00,1.02884829182939e+02
2.53277379163920e-02,3.51443805886651e+00,1.02911825769477e+02
2.53860659870149e-02,3.53631828399958e+00,1.02938867240678e+02
2.54445283832468e-02,3.55820642694136e+00,1.02965953596002e+02
2.55031254144306e-02,3.58010251756589e+00,1.02993084833624e+02
2.55618573906216e-02,3.60200658528950e+00,1.03020260951261e+02
2.56207246225889e-02,3.62391865929501e+00,1.03047481946389e+02
2.56797274218174e-02,3.64583876940878e+00,1.03074747815714e+02
