time,vin,vh,vl
1.562500000000000000e-01,1.165734806151272673e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.572265625000000000e-01,1.167431437493190005e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.582031250000000000e-01,1.169112352777418984e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.591796875000000000e-01,1.170777488718449222e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.601562500000000000e-01,1.172426782624853558e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.611328125000000000e-01,1.174060172401648616e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.621093750000000000e-01,1.175677596552632487e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.630859375000000000e-01,1.177278994182700211e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.640625000000000000e-01,1.178864305000136170e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.650390625000000000e-01,1.180433469318883599e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.660156250000000000e-01,1.181986428060793237e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.669921875000000000e-01,1.183523122757846213e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.679687500000000000e-01,1.185043495554355619e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.689453125000000000e-01,1.186547489209144990e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.699218750000000000e-01,1.188035047097703245e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.708984375000000000e-01,1.189506113214316763e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.718750000000000000e-01,1.190960632174177469e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.728515625000000000e-01,1.192398549215468950e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.738281250000000000e-01,1.193819810201427023e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.748046875000000000e-01,1.195224361622378995e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.757812500000000000e-01,1.196612150597757607e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.767578125000000000e-01,1.197983124878092553e+00,1.218750000000000000e+00,1.031250000000000000e+00
