time,vecg,vdac_upper,vdac_lower
2.875002999999999673e-03,5.977852609999999567e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.875012400000000277e-03,5.977852679999999808e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.875060400000000165e-03,5.977853010000000467e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.875828400000000114e-03,5.977858310000000452e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.888116400000000170e-03,5.977943169999999640e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.937510999999999855e-03,5.978284249999999966e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.937520799999999727e-03,5.978284320000000207e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.937544800000000105e-03,5.978284480000000123e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.937928800000000080e-03,5.978287129999999561e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.944072800000000108e-03,5.978329559999999709e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000062e-03,5.978715749999999884e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000010000000000003e-03,5.978715820000000125e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000021999999999758e-03,5.978715900000000083e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000214000000000179e-03,5.978717230000000216e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.003285999999999976e-03,5.978738439999999876e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.052437999999999766e-03,5.979077849999999694e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.062517000000000277e-03,5.979147449999999697e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.062525600000000174e-03,5.979147500000000504e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.062621599999999951e-03,5.979148170000000428e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.064157600000000283e-03,5.979158770000000400e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.088733599999999961e-03,5.979328480000000168e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.125002999999999895e-03,5.979578930000000181e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.125012399999999631e-03,5.979578989999999594e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.125060399999999954e-03,5.979579320000000253e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.125828399999999903e-03,5.979584629999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.138116399999999959e-03,5.979669480000000537e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.187511000000000077e-03,5.980010559999999753e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.187520799999999949e-03,5.980010629999999994e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.187544799999999894e-03,5.980010789999999909e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.187928799999999868e-03,5.980013450000000175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.194072799999999896e-03,5.980055869999999496e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.249999999999999851e-03,5.980442059999999671e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.250010000000000225e-03,5.980442129999999912e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.250021999999999980e-03,5.980442209999999870e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.250214000000000401e-03,5.980443540000000002e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.253285999999999765e-03,5.980464749999999663e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.302437999999999988e-03,5.980804159999999481e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.312517000000000066e-03,5.980873759999999484e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.312525599999999962e-03,5.980873820000000007e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.312621599999999739e-03,5.980874480000000215e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.314157600000000072e-03,5.980885089999999904e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.338733599999999749e-03,5.981054789999999954e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.375003000000000117e-03,5.981305239999999968e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.375012399999999854e-03,5.981305300000000491e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.375060400000000176e-03,5.981305639999999757e-01,0.000000000000000000e+00,0.000000000000000000e+00
