wout,mag_flicker_0,mag_flicker_1,mag_flicker_2,phase_flicker_0,phase_flicker_1,phase_flicker_2
1.472312502432718551e-01,3.293525921582252636e+01,2.700544418992270934e+01,1.382279703441451169e+01,-2.971941233047435844e+02,-2.983316902662215853e+02,-3.065761320155103249e+02
1.499684835502373137e-01,3.306391343044835907e+01,2.713391017595372290e+01,1.394625311199690465e+01,-2.975915008639495909e+02,-2.987083430334442937e+02,-3.068064634011265071e+02
1.527566058238072344e-01,3.319163245136892471e+01,2.726144776367694789e+01,1.406895597601668868e+01,-2.979939411552722390e+02,-2.990904347548319606e+02,-3.070446866246775244e+02
1.555965631605074340e-01,3.331839533853784019e+01,2.738803576817289454e+01,1.419087852003283068e+01,-2.984013959803863258e+02,-2.994779104750996339e+02,-3.072907131816671154e+02
1.584893192461113431e-01,3.344418112330928494e+01,2.751365298471448995e+01,1.431199380383413455e+01,-2.988138127049562627e+02,-2.998707109203951404e+02,-3.075444502994726008e+02
1.614358556826486213e-01,3.356896883589018188e+01,2.763827821590595235e+01,1.443227507571426571e+01,-2.992311341690231643e+02,-3.002687724068568969e+02,-3.078058008717319467e+02
1.644371723214931580e-01,3.369273753400668170e+01,2.776189030004680802e+01,1.455169579602870655e+01,-2.996532986048933367e+02,-3.006720267566896609e+02,-3.080746633986212828e+02
1.674942876026437322e-01,3.381546633274322033e+01,2.788446814067927804e+01,1.467022966199690970e+01,-3.000802395631929471e+02,-3.010804012224248254e+02,-3.083509319337615011e+02
1.706082389003123478e-01,3.393713443550424813e+01,2.800599073726853661e+01,1.478785063370379049e+01,-3.005118858477555932e+02,-3.014938184200297542e+02,-3.086344960384841443e+02
1.737800828749375415e-01,3.405772116604005362e+01,2.812643721695694410e+01,1.490453296124556459e+01,-3.009481614599988575e+02,-3.019121962715256586e+02,-3.089252407441821333e+02
1.770108958317421211e-01,3.417720600146915899e+01,2.824578686732451160e+01,1.502025121295580412e+01,-3.013889855534355888e+02,-3.023354479577582197e+02,-3.092230465234542862e+02
1.803017740859569062e-01,3.429556860622111003e+01,2.836401917007892237e+01,1.513498030463799005e+01,-3.018342723989508158e+02,-3.027634818819526572e+02,-3.095277892707367755e+02
