Vinp,Vout,dVout
7.508880000000000337e+02,7.202608369999999316e-02,1.828682450000000017e+03
7.508920000000000528e+02,7.970304870000000097e-02,2.012715110000000095e+03
7.508959999999999582e+02,8.814778850000000443e-02,2.212732269999999971e+03
7.508999999999999773e+02,9.742592930000000540e-02,2.429565219999999954e+03
7.509039999999999964e+02,1.076062650000000065e-01,2.663958929999999782e+03
7.509080000000000155e+02,1.187603519999999996e-01,2.916544930000000022e+03
7.509120000000000346e+02,1.309619429999999973e-01,3.187781160000000000e+03
7.509160000000000537e+02,1.442862540000000027e-01,3.477929749999999785e+03
7.509200000000000728e+02,1.588090289999999905e-01,3.786985439999999926e+03
7.509240000000000919e+02,1.746053860000000013e-01,4.114628560000000107e+03
7.509279999999999973e+02,1.917484369999999938e-01,4.460161949999999706e+03
7.509320000000000164e+02,2.103076680000000032e-01,4.822461210000000392e+03
7.509360000000000355e+02,2.303470860000000064e-01,5.199902979999999843e+03
7.509400000000000546e+02,2.519231439999999878e-01,5.590322909999999865e+03
7.509439999999999600e+02,2.750824829999999888e-01,5.990971819999999752e+03
7.509479999999999791e+02,2.998595270000000146e-01,6.398486319999999978e+03
7.509519999999999982e+02,3.262740259999999948e-01,6.808893799999999828e+03
7.509559999999999036e+02,3.543286030000000197e-01,7.217614300000000185e+03
7.509599999999999227e+02,3.840064480000000002e-01,7.619520650000000387e+03
7.509639999999999418e+02,4.152692709999999954e-01,8.009017899999999827e+03
7.509679999999999609e+02,4.480556509999999992e-01,8.380160649999999805e+03
7.509719999999999800e+02,4.822799240000000265e-01,8.726804720000000088e+03
7.509759999999999991e+02,5.178317430000000110e-01,9.042789590000000317e+03
7.509800000000000182e+02,5.545764180000000154e-01,9.322142869999999675e+03
7.509840000000000373e+02,5.923561149999999609e-01,9.559308230000000549e+03
7.509879999999999427e+02,6.309919400000000289e-01,9.749355559999999969e+03
7.509919999999999618e+02,6.702868979999999643e-01,9.888197580000000016e+03
7.509959999999999809e+02,7.100296299999999672e-01,9.972773429999999280e+03
7.510000000000000000e+02,7.499988149999999854e-01,1.000118419999999969e+04
7.510040000000000191e+02,7.899680279999999888e-01,9.972786780000000363e+03
7.510080000000000382e+02,8.297108389999999778e-01,9.888223640000000159e+03
7.510120000000000573e+02,8.690059239999999852e-01,9.749393110000000888e+03
7.510159999999999627e+02,9.076419199999999909e-01,9.559355559999999969e+03
7.510199999999999818e+02,9.454218229999999945e-01,9.322197910000000775e+03
7.510240000000000009e+02,9.821667309999999596e-01,9.042847980000000462e+03
7.510280000000000200e+02,1.017718799999999924e+00,8.726865980000000491e+03
7.510320000000000391e+02,1.051943330000000065e+00,8.380225060000000667e+03
7.510360000000000582e+02,1.084729959999999993e+00,8.009078480000000127e+03
7.510400000000000773e+02,1.115993039999999992e+00,7.619580939999999828e+03
7.510440000000000964e+02,1.145671120000000043e+00,7.217670240000000376e+03
7.510480000000000018e+02,1.173725909999999928e+00,6.808944360000000415e+03
7.510520000000000209e+02,1.200140589999999952e+00,6.398533669999999802e+03
7.510559999999999263e+02,1.224917809999999996e+00,5.991007120000000214e+03
7.510599999999999454e+02,1.248077279999999956e+00,5.590354570000000422e+03
7.510639999999999645e+02,1.269653460000000011e+00,5.199928380000000288e+03
7.510679999999999836e+02,1.289692959999999999e+00,4.822483280000000377e+03
7.510720000000000027e+02,1.308252259999999945e+00,4.460178499999999985e+03
7.510760000000000218e+02,1.325395359999999911e+00,4.114635489999999663e+03
7.510799999999999272e+02,1.341191749999999905e+00,3.786988289999999779e+03
7.510839999999999463e+02,1.355714529999999973e+00,3.477931219999999939e+03
7.510879999999999654e+02,1.369038849999999918e+00,3.187779640000000200e+03
7.510919999999999845e+02,1.381240430000000075e+00,2.916540989999999965e+03
7.510960000000000036e+02,1.392394490000000040e+00,2.663953080000000227e+03
7.511000000000000227e+02,1.402574800000000010e+00,2.429557909999999993e+03
7.511040000000000418e+02,1.411852909999999905e+00,2.212723919999999907e+03
7.511079999999999472e+02,1.420297619999999927e+00,2.012706050000000005e+03
7.511119999999999663e+02,1.427974550000000065e+00,1.828674189999999953e+03
7.511159999999999854e+02,1.434945879999999896e+00,1.659738959999999906e+03
7.511200000000000045e+02,1.441270190000000007e+00,1.504990050000000110e+03
7.511240000000000236e+02,1.445621980000000084e+00,1.406656070000000000e+03
7.511280000000000427e+02,1.450943859999999974e+00,1.265532899999999927e+03
7.511320000000000618e+02,1.455760830000000006e+00,1.145055110000000013e+03
7.511360000000000809e+02,1.460117789999999971e+00,1.035372519999999895e+03
7.511399999999999864e+02,1.464056239999999898e+00,9.356434249999999793e+02
7.511440000000000055e+02,1.467614390000000046e+00,8.450715199999999641e+02
7.511480000000000246e+02,1.470827309999999999e+00,7.628990549999999757e+02
7.511520000000000437e+02,1.473727189999999965e+00,6.884188390000000481e+02
7.511560000000000628e+02,1.476343449999999891e+00,6.209661909999999807e+02
7.511600000000000819e+02,1.478702940000000021e+00,5.599251769999999624e+02
7.511640000000001010e+02,1.480830139999999906e+00,5.047232740000000035e+02
7.511679999999998927e+02,1.482747360000000070e+00,4.548329469999999901e+02
7.511719999999999118e+02,1.484474840000000073e+00,4.097683359999999766e+02
7.511759999999999309e+02,1.486030970000000062e+00,3.690823540000000094e+02
7.511799999999999500e+02,1.487432459999999956e+00,3.323662679999999909e+02
7.511839999999999691e+02,1.488694399999999973e+00,2.992460659999999848e+02
7.511879999999999882e+02,1.489830489999999896e+00,2.693804010000000062e+02
7.511920000000000073e+02,1.490853119999999921e+00,2.424582450000000051e+02
7.511960000000000264e+02,1.491773479999999985e+00,2.181966060000000027e+02
7.511999999999999318e+02,1.492601690000000092e+00,1.963383300000000133e+02
7.512039999999999509e+02,1.493346899999999922e+00,1.766500100000000089e+02
7.512079999999999700e+02,1.494017340000000083e+00,1.589201239999999871e+02
7.512119999999999891e+02,1.494620470000000090e+00,1.429567040000000020e+02
7.512160000000000082e+02,1.495162990000000081e+00,1.285863359999999886e+02
7.512200000000000273e+02,1.495650949999999924e+00,1.156520500000000027e+02
7.512240000000000464e+02,1.496089819999999904e+00,1.040120320000000049e+02
7.512279999999999518e+02,1.496484499999999995e+00,9.353793939999999907e+01
7.512319999999999709e+02,1.496839440000000021e+00,8.411411819999999295e+01
7.512359999999999900e+02,1.497158599999999895e+00,7.563611330000000521e+01
7.512400000000000091e+02,1.497445590000000104e+00,6.800974340000000495e+01
7.512440000000000282e+02,1.497703629999999952e+00,6.114988129999999700e+01
