time,vin,vout_buf,vout_st
6.805516250000000211e-02,1.332145100000000082e-01,1.414479509999999947e-09,2.349976169999999881e-09
6.838613769999998815e-02,1.926626479999999919e-01,1.413033869999999900e-09,2.339669210000000045e-09
6.899999999999999190e-02,3.029215610000000058e-01,1.406837239999999982e-09,2.331087750000000174e-09
6.926478020000000069e-02,2.688444199999999729e-01,1.200301739999999977e-09,1.454043190000000020e-09
6.999999999999999278e-02,1.742218050000000074e-01,1.198911309999999993e-09,1.451946889999999935e-09
7.021182410000000040e-02,1.532532239999999935e-01,1.103554750000000045e-09,1.073143850000000067e-09
7.100000000000000755e-02,7.523128919999999553e-02,1.103481880000000102e-09,1.073211530000000052e-09
7.116945930000000142e-02,1.975272080000000097e-01,7.835024690000000315e-10,-1.925832100000000005e-10
7.184729650000000467e-02,6.867109070000000370e-01,-8.104115890000000355e-08,-3.196609490000000093e-10
7.206789040000000091e-02,7.460143580000000441e-01,3.238622019999999835e-07,-6.930957390000000182e-10
7.247523259999999468e-02,4.406139459999999786e-01,-2.937806219999999924e-09,-6.910909160000000262e-10
7.305431229999999332e-02,4.048629990000000151e-02,1.388642899999999967e-09,2.149892760000000204e-09
7.338018609999999442e-02,3.520720310000000249e-04,1.388521850000000051e-09,2.143738829999999836e-09
7.399999999999999634e-02,-7.598346479999999736e-02,1.388229869999999910e-09,2.139536249999999876e-09
7.426069899999999946e-02,-5.097811539999999846e-04,1.007878200000000086e-09,6.920591399999999809e-10
7.499999999999999722e-02,2.135215689999999944e-01,1.007589830000000103e-09,6.938366700000000084e-10
7.520855919999999695e-02,1.658808360000000037e-01,1.294470150000000025e-09,1.832517429999999921e-09
7.599999999999999811e-02,-1.490627079999999952e-02,1.294298480000000019e-09,1.830240460000000063e-09
7.616684740000000120e-02,3.075797779999999912e-02,9.090225469999999828e-10,3.005588659999999985e-10
7.683423690000000528e-02,2.134149870000000004e-01,9.088845839999999770e-10,3.038439499999999742e-10
7.708898529999999583e-02,2.720567810000000253e-01,1.078018469999999973e-09,9.786302850000000915e-10
7.762289690000000186e-02,3.517026440000000087e-01,1.063834460000000053e-09,9.707622370000000864e-10
7.807118820000000237e-02,3.941057060000000001e-01,1.099615890000000069e-09,7.250950269999999619e-10
7.849831749999999775e-02,3.109996680000000069e-01,1.018322410000000039e-09,6.316606130000000304e-10
7.905695059999999497e-02,1.859876689999999944e-01,9.943088470000000670e-10,6.366131699999999940e-10
7.939865399999999906e-02,2.158618970000000109e-02,9.934821949999999201e-10,6.358939749999999884e-10
8.000000000000000167e-02,-2.677353450000000135e-01,9.934527869999999011e-10,6.371532070000000142e-10
8.027336279999999769e-02,-2.750511860000000031e-01,1.005369389999999985e-09,6.829211689999999500e-10
8.100000000000000255e-02,-2.944977249999999880e-01,1.005448100000000094e-09,6.851534520000000093e-10
8.121869019999999884e-02,-2.226227520000000071e-01,1.008802780000000050e-09,6.974100130000000515e-10
8.200000000000000344e-02,3.416342220000000152e-02,1.008960200000000062e-09,6.994474599999999544e-10
8.217495219999999823e-02,1.311946519999999949e-01,1.027032580000000036e-09,7.713969059999999523e-10
8.287476080000000245e-02,5.193195779999999484e-01,-1.406106279999999990e-09,6.489568450000000082e-10
8.307752890000000279e-02,5.583260850000000275e-01,2.306204820000000045e-08,-8.245666139999999734e-11
8.354270219999999914e-02,3.756073999999999802e-01,8.100438129999999940e-09,-4.969854569999999763e-11
8.406202310000000788e-02,1.898364989999999919e-01,1.222510499999999901e-09,1.572236839999999924e-09
8.443416169999999610e-02,1.529624260000000124e-01,1.222405160000000071e-09,1.571754780000000072e-09
8.500000000000000611e-02,9.689525279999999796e-02,1.222126400000000090e-09,1.567980119999999911e-09
8.529771089999999001e-02,9.088672700000000049e-02,1.094881720000000060e-09,1.038466890000000035e-09
8.600000000000000699e-02,7.671283730000000300e-02,1.094895600000000059e-09,1.038986220000000064e-09
8.623816869999999246e-02,2.188012400000000079e-01,9.371814859999999030e-10,4.171454120000000159e-10
