time,vin,vout_buf,vout_st
1.506667250000000013e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.516667250000000022e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.526667250000000031e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.536667249999999818e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.546667249999999827e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.556667249999999836e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.566667250000000067e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.576667250000000076e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.586667250000000084e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.596667250000000093e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.606667250000000102e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.616667250000000111e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.626667249999999898e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.636667249999999907e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.646667249999999916e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.656667249999999925e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.666667249999999934e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.676667249999999942e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.686667250000000173e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.696667250000000182e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.706667249999999969e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.716667249999999978e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.726667249999999987e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.736667249999999996e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.746667250000000005e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.756667250000000013e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.766667250000000022e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.776667250000000031e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.786667249999999818e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.796667249999999827e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.806667250000000058e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.816667250000000067e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.826667250000000076e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.836667250000000084e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.846667250000000093e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.856667250000000102e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.866667250000000111e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.876667249999999898e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.886667249999999907e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.896667249999999916e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.906667249999999925e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.916667249999999934e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.926667249999999942e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.936667250000000173e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.946667250000000182e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.956667249999999969e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.966667249999999978e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.976667249999999987e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.986667249999999996e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
1.996667250000000005e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000949999999822e+00
