frequency,Tian_dB_20dB,Tian_dB_34dB,Tian_dB_40dB,Tian_arg_20dB,Tian_arg_34dB,Tian_arg_40dB
2.853944640000000277e+02,4.177794519999999778e+01,2.945560599999999951e+01,2.366655589999999876e+01,-7.622117810000000304e+01,-7.668775030000000470e+01,-7.676027240000000518e+01
2.987084609999999998e+02,4.140224580000000287e+01,2.907992150000000109e+01,2.329087820000000164e+01,-7.683048479999999358e+01,-7.727660720000000083e+01,-7.734595070000000305e+01
3.126435730000000035e+02,4.102485740000000192e+01,2.870254729999999910e+01,2.291351020000000105e+01,-7.741581250000000125e+01,-7.784242700000000070e+01,-7.790873799999999960e+01
3.272287739999999872e+02,4.064591409999999883e+01,2.832361729999999866e+01,2.253458589999999973e+01,-7.797796580000000688e+01,-7.838597199999999532e+01,-7.844939030000000457e+01
3.424943920000000048e+02,4.026554019999999667e+01,2.794325590000000048e+01,2.215422990000000070e+01,-7.851774960000000192e+01,-7.890800670000000139e+01,-7.896866609999999298e+01
3.584721710000000030e+02,3.988385110000000111e+01,2.756157849999999954e+01,2.177255740000000017e+01,-7.903596520000000680e+01,-7.940929490000000612e+01,-7.946732289999999921e+01
3.751953310000000101e+02,3.950095350000000138e+01,2.717869190000000046e+01,2.138967530000000039e+01,-7.953340699999999686e+01,-7.989059419999999534e+01,-7.994611279999999454e+01
3.926986479999999915e+02,3.911694630000000217e+01,2.679469489999999965e+01,2.100568240000000131e+01,-8.001086039999999855e+01,-8.035265540000000328e+01,-8.040578109999999867e+01
4.110185149999999794e+02,3.873192050000000108e+01,2.640967870000000062e+01,2.062067000000000050e+01,-8.046909890000000587e+01,-8.079621899999999357e+01,-8.084706359999999847e+01
4.301930269999999723e+02,3.834596049999999678e+01,2.602372749999999968e+01,2.023472220000000021e+01,-8.090888270000000659e+01,-8.122201409999999555e+01,-8.127068409999999687e+01
4.502620519999999829e+02,3.795914369999999849e+01,2.563691890000000129e+01,1.984791690000000131e+01,-8.133095679999999561e+01,-8.163075589999999693e+01,-8.167735299999999654e+01
