time,Vind,Vinp,Vinn,Voutp,Voutn,Vout
2.008285400000000109e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,4.417040649999999791e-01,7.963808249999999589e-01,-3.546767610000000071e-01
2.008410400000000262e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,4.658885939999999892e-01,7.696682500000000537e-01,-3.037796569999999807e-01
2.008535399999999971e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,4.900211620000000101e-01,7.430152060000000391e-01,-2.529940430000000018e-01
2.008660400000000124e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,5.140720149999999933e-01,7.164306390000000357e-01,-2.023586239999999870e-01
2.008785399999999832e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,5.380202090000000270e-01,6.899205010000000193e-01,-1.519002909999999928e-01
2.008910399999999985e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,5.618504650000000211e-01,6.634892589999999979e-01,-1.016387940000000045e-01
2.009035399999999694e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,5.855514499999999734e-01,6.371402459999999657e-01,-5.158879570000000220e-02
2.009160399999999846e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,6.091152269999999813e-01,6.108758850000000074e-01,-1.760657560000000038e-03
2.009285399999999999e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,6.325370169999999792e-01,5.846980019999999945e-01,4.783901520000000129e-02
2.009410399999999708e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,6.558148630000000257e-01,5.586081410000000025e-01,9.720672230000000635e-02
2.009535399999999861e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,6.789491859999999823e-01,5.326078210000000368e-01,1.463413640000000016e-01
2.009660400000000013e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,7.019422939999999667e-01,5.066987299999999861e-01,1.952435640000000083e-01
2.009785400000000166e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,7.247979199999999844e-01,4.808829199999999915e-01,2.439149999999999929e-01
2.009910399999999875e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,7.475204800000000427e-01,4.551654569999999955e-01,2.923550229999999917e-01
2.010035400000000028e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,7.701159810000000050e-01,4.295522419999999730e-01,3.405637389999999765e-01
2.010160400000000180e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,7.925899100000000086e-01,4.040632880000000204e-01,3.885266219999999882e-01
2.010285399999999889e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,8.149476450000000538e-01,3.787577010000000022e-01,4.361899430000000244e-01
2.010410400000000042e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,8.371947730000000032e-01,3.537605990000000089e-01,4.834341739999999943e-01
2.010535400000000195e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,8.593375500000000056e-01,3.292341830000000136e-01,5.301033670000000475e-01
2.010660400000000347e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,8.813815950000000177e-01,3.053381490000000031e-01,5.760434460000000145e-01
2.010785400000000056e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,9.033301009999999964e-01,2.822215020000000130e-01,6.211085990000000390e-01
2.010910400000000209e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,9.251833760000000018e-01,2.600190669999999926e-01,6.651643090000000091e-01
2.011035399999999917e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,9.469387150000000419e-01,2.388471650000000002e-01,7.080915500000000140e-01
2.011160399999999626e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,9.685895140000000403e-01,2.188003639999999972e-01,7.497891490000000436e-01
2.011285399999999779e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,9.901228279999999549e-01,1.999495069999999985e-01,7.901733199999999568e-01
