time,Voutp,Voutn,Vout
2.240819169999999916e-01,7.357359940000000043e-01,7.379886960000000551e-01,-2.252702049999999890e-03
2.250769950000000019e-01,7.324326909999999691e-01,7.412942890000000506e-01,-8.861598420000000101e-03
2.260739519999999947e-01,7.356165129999999719e-01,7.381052329999999717e-01,-2.488719889999999827e-03
2.270690290000000056e-01,7.416857239999999907e-01,7.320234060000000431e-01,9.662318209999999630e-03
2.280659859999999983e-01,7.460357480000000541e-01,7.276972259999999748e-01,1.833852249999999920e-02
2.290610640000000087e-01,7.483570689999999859e-01,7.253651070000000090e-01,2.299196200000000120e-02
2.300580200000000020e-01,7.479233889999999940e-01,7.257937519999999587e-01,2.212963760000000168e-02
2.310530980000000123e-01,7.462459700000000362e-01,7.274910610000000499e-01,1.875490980000000044e-02
2.320500540000000056e-01,7.435069279999999559e-01,7.302007969999999570e-01,1.330613039999999948e-02
2.330451319999999882e-01,7.412574979999999591e-01,7.324729789999999685e-01,8.784519279999999930e-03
2.340420880000000092e-01,7.406683280000000424e-01,7.330549079999999496e-01,7.613419649999999747e-03
2.350371659999999918e-01,7.413732889999999909e-01,7.323314539999999928e-01,9.041835169999999991e-03
2.360341230000000123e-01,7.414200819999999803e-01,7.322889590000000171e-01,9.131122880000000150e-03
2.370291999999999955e-01,7.407687859999999569e-01,7.329400019999999794e-01,7.828783889999999662e-03
2.380261569999999882e-01,7.416682350000000090e-01,7.320368800000000009e-01,9.631355580000000582e-03
2.390212349999999986e-01,7.442122060000000427e-01,7.294944030000000135e-01,1.471780269999999925e-02
2.400181909999999919e-01,7.469089399999999657e-01,7.268075510000000516e-01,2.010138950000000049e-02
2.410132690000000022e-01,7.483612139999999968e-01,7.253573960000000431e-01,2.300381870000000120e-02
2.420102249999999955e-01,7.480408090000000287e-01,7.256795929999999561e-01,2.236121539999999866e-02
2.430053030000000058e-01,7.464549449999999808e-01,7.272611559999999642e-01,1.919378919999999850e-02
2.440022599999999986e-01,7.444634759999999574e-01,7.292493880000000539e-01,1.521408810000000021e-02
