time,vphi1,vphi2,Vcm
6.880000099999999952e-01,0.000000000000000000e+00,1.499999990000000061e+00,7.375226790000000143e-01
6.880000220000000999e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375213470000000493e-01
6.880001070000000274e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375194999999999945e-01
6.880012260000000213e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375194859999999464e-01
6.880191409999999452e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375195390000000017e-01
6.883057679999999845e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375204170000000392e-01
6.901115050000000695e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375259499999999857e-01
6.921115049999999602e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375320789999999516e-01
6.941115049999999620e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375382069999999457e-01
6.961115049999999638e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375443360000000226e-01
6.981115049999999655e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375504640000000167e-01
7.001115050000000783e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375565920000000109e-01
7.021115049999999691e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375627200000000050e-01
7.038750100000000787e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.375681240000000471e-01
7.038750200000000179e-01,0.000000000000000000e+00,4.977264599999999642e-09,7.375671019999999745e-01
7.038750320000000116e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.375694680000000059e-01
7.038751410000000375e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.375681649999999978e-01
7.038763559999999808e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.375688419999999468e-01
7.038957940000000191e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.375766860000000369e-01
7.040000009999999309e-01,1.499999989999999950e-01,0.000000000000000000e+00,7.376115610000000267e-01
7.040000110000000921e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.377790619999999855e-01
7.040000349999999685e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.376830220000000216e-01
7.040002020000000194e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.378521980000000147e-01
7.040026919999999855e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.392887559999999914e-01
7.040425459999999358e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.399556069999999597e-01
7.046802110000000008e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.399551279999999620e-01
7.066802110000000026e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.399567030000000489e-01
7.086802110000000043e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.399582890000000468e-01
7.106802110000000061e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.399598819999999577e-01
7.126802110000000079e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.399614839999999472e-01
7.146802110000000097e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.399630940000000434e-01
7.166802110000000114e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.399647110000000527e-01
7.186802110000000132e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.399663340000000034e-01
7.198750109999999536e-01,1.350000000000000089e+00,0.000000000000000000e+00,7.399378490000000363e-01
7.198750210000000038e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.397411699999999479e-01
7.198750449999999912e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.398819770000000240e-01
7.198752449999999969e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.398987620000000431e-01
7.198779060000000118e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.398989700000000447e-01
