t,ecg_signal_offset
2.580645161290322509e-01,6.433116883116883900e-01
2.590420332355816146e-01,6.366233766233767577e-01
2.600195503421309784e-01,6.351298701298702110e-01
2.609970674486803421e-01,6.391558441558442549e-01
2.619745845552297059e-01,6.374025974025975261e-01
2.629521016617790696e-01,6.349350649350651299e-01
2.639296187683284334e-01,6.308441558441559849e-01
2.649071358748777971e-01,6.354545454545454941e-01
2.658846529814271609e-01,6.422077922077924494e-01
2.668621700879765246e-01,6.411688311688313879e-01
2.678396871945258884e-01,6.370129870129871419e-01
2.688172043010752521e-01,6.333766233766234821e-01
2.697947214076246158e-01,6.328571428571428958e-01
2.707722385141739796e-01,6.360389610389611814e-01
2.717497556207233433e-01,6.404545454545454986e-01
2.727272727272727071e-01,6.401298701298702154e-01
2.737047898338220708e-01,6.409090909090910948e-01
2.746823069403714346e-01,6.418181818181819542e-01
2.756598240469207983e-01,6.397402597402599422e-01
2.766373411534701621e-01,6.377272727272728092e-01
2.776148582600195258e-01,6.370129870129871419e-01
2.785923753665688896e-01,6.380519480519480924e-01
2.795698924731182533e-01,6.370129870129871419e-01
2.805474095796676171e-01,6.393506493506494470e-01
2.815249266862169808e-01,6.405194805194805996e-01
2.825024437927664001e-01,6.347402597402599378e-01
2.834799608993157638e-01,6.287662337662338619e-01
2.844574780058651275e-01,6.306493506493507928e-01
2.854349951124144913e-01,6.375974025974027182e-01
2.864125122189638550e-01,6.444805194805195425e-01
2.873900293255132188e-01,6.496753246753247391e-01
2.883675464320625825e-01,6.468181818181819587e-01
2.893450635386119463e-01,6.398051948051950433e-01
2.903225806451613100e-01,6.300000000000001155e-01
2.913000977517106738e-01,6.272727272727274261e-01
2.922776148582600375e-01,6.292857142857144481e-01
2.932551319648094013e-01,6.338311688311689673e-01
2.942326490713587650e-01,6.394805194805195381e-01
2.952101661779081287e-01,6.390259740259741639e-01
2.961876832844574925e-01,6.375974025974027182e-01
2.971652003910068562e-01,6.389610389610390628e-01
2.981427174975562200e-01,6.420779220779221363e-01
2.991202346041055837e-01,6.431818181818181879e-01
3.000977517106549475e-01,6.435714285714286831e-01
3.010752688172043112e-01,6.386363636363637797e-01
3.020527859237536750e-01,6.342207792207792405e-01
3.030303030303030387e-01,6.331818181818182900e-01
3.040078201368524025e-01,6.382467532467533955e-01
3.049853372434017662e-01,6.433116883116883900e-01
3.059628543499511300e-01,6.441558441558442594e-01
3.069403714565004937e-01,6.466883116883117566e-01
3.079178885630498574e-01,6.446103896103896336e-01
3.088954056695992212e-01,6.400649350649352254e-01
3.098729227761485849e-01,6.381818181818181834e-01
3.108504398826979487e-01,6.432467532467532889e-01
3.118279569892473124e-01,6.475324675324676260e-01
3.128054740957966762e-01,6.490909090909092738e-01
3.137829912023460399e-01,6.486363636363637886e-01
3.147605083088954037e-01,6.438961038961039662e-01
3.157380254154447674e-01,6.444155844155845525e-01
3.167155425219941312e-01,6.498051948051949411e-01
3.176930596285434949e-01,6.590259740259740706e-01
3.186705767350928586e-01,6.677922077922078259e-01
3.196480938416422224e-01,6.690909090909091805e-01
3.206256109481915861e-01,6.628571428571429225e-01
3.216031280547409499e-01,6.572727272727273418e-01
3.225806451612903136e-01,6.562987012987013813e-01
3.235581622678396774e-01,6.637012987012987919e-01
