f,ps_dB
4.770000000000000000e+02,-9.179653197338376458e+01
4.780000000000000000e+02,-9.261273732108570300e+01
4.790000000000000000e+02,-9.534805725476127236e+01
4.800000000000000000e+02,-9.604691225854864456e+01
4.810000000000000000e+02,-9.247358312892258425e+01
4.820000000000000000e+02,-9.051135408389343695e+01
4.830000000000000000e+02,-9.051187103475427875e+01
4.840000000000000000e+02,-9.043612942620603690e+01
4.850000000000000000e+02,-8.902484464155406840e+01
4.860000000000000000e+02,-8.811757919431241248e+01
4.870000000000000000e+02,-8.846658024893416439e+01
4.880000000000000000e+02,-8.971239063092465926e+01
4.890000000000000000e+02,-9.095947995763665972e+01
4.900000000000000000e+02,-9.076184471899269113e+01
4.910000000000000000e+02,-8.928406179082389826e+01
4.920000000000000000e+02,-8.785084542695136633e+01
4.930000000000000000e+02,-8.656288556931448852e+01
4.940000000000000000e+02,-8.500589198198348129e+01
4.950000000000000000e+02,-8.334458867637302149e+01
4.960000000000000000e+02,-8.211124097926065701e+01
4.970000000000000000e+02,-8.163451888995398065e+01
4.980000000000000000e+02,-8.198489065517384233e+01
4.990000000000000000e+02,-8.301795990905858957e+01
5.000000000000000000e+02,-8.431826032477945887e+01
5.010000000000000000e+02,-8.520780871033923631e+01
5.020000000000000000e+02,-8.519610760072652056e+01
5.030000000000000000e+02,-8.454604270569004143e+01
5.040000000000000000e+02,-8.393689581994003390e+01
5.050000000000000000e+02,-8.382125060265350669e+01
5.060000000000000000e+02,-8.424922200256540350e+01
5.070000000000000000e+02,-8.488972321029936552e+01
5.080000000000000000e+02,-8.515647125226030312e+01
5.090000000000000000e+02,-8.470875502600682694e+01
5.100000000000000000e+02,-8.382738817923991803e+01
5.110000000000000000e+02,-8.303953668453344505e+01
5.120000000000000000e+02,-8.574194266630073002e+01
