 v-sweep         v(vinp)         v(voutp)        v(voutn)       
 7.49730000e-01  7.49730000e-01  1.40983529e-01  1.34949981e+00 
 7.49740000e-01  7.49740000e-01  1.44439822e-01  1.34601534e+00 
 7.49750000e-01  7.49750000e-01  1.48208634e-01  1.34225225e+00 
 7.49760000e-01  7.49760000e-01  1.52373420e-01  1.33815924e+00 
 7.49770000e-01  7.49770000e-01  1.57036706e-01  1.33366981e+00 
 7.49780000e-01  7.49780000e-01  1.61983912e-01  1.32895062e+00 
 7.49790000e-01  7.49790000e-01  1.68433023e-01  1.32306522e+00 
 7.49800000e-01  7.49800000e-01  1.75013459e-01  1.31706443e+00 
 7.49810000e-01  7.49810000e-01  1.83369192e-01  1.30969205e+00 
 7.49820000e-01  7.49820000e-01  1.93845490e-01  1.30070619e+00 
 7.49830000e-01  7.49830000e-01  2.10374537e-01  1.28723589e+00 
 7.49840000e-01  7.49840000e-01  2.31450435e-01  1.26974273e+00 
 7.49850000e-01  7.49850000e-01  2.55540858e-01  1.24867324e+00 
 7.49860000e-01  7.49860000e-01  2.86620402e-01  1.21423921e+00 
 7.49870000e-01  7.49870000e-01  3.16581113e-01  1.18132988e+00 
 7.49880000e-01  7.49880000e-01  3.46967109e-01  1.14769469e+00 
 7.49890000e-01  7.49890000e-01  3.77884650e-01  1.11373169e+00 
 7.49900000e-01  7.49900000e-01  4.09132514e-01  1.07960089e+00 
 7.49910000e-01  7.49910000e-01  4.40674596e-01  1.04540440e+00 
 7.49920000e-01  7.49920000e-01  4.72776610e-01  1.01106132e+00 
 7.49930000e-01  7.49930000e-01  5.05083253e-01  9.76740616e-01 
 7.49940000e-01  7.49940000e-01  5.37482658e-01  9.42402218e-01 
 7.49950000e-01  7.49950000e-01  5.70351205e-01  9.08070059e-01 
 7.49960000e-01  7.49960000e-01  6.03425459e-01  8.73808761e-01 
 7.49970000e-01  7.49970000e-01  6.36653812e-01  8.39584632e-01 
 7.49980000e-01  7.49980000e-01  6.70115682e-01  8.05459971e-01 
 7.49990000e-01  7.49990000e-01  7.03751818e-01  7.71440725e-01 
 7.50000000e-01  7.50000000e-01  7.37404508e-01  7.37424005e-01 
 7.50010000e-01  7.50010000e-01  7.71440894e-01  7.03754000e-01 
 7.50020000e-01  7.50020000e-01  8.05403874e-01  6.70037707e-01 
 7.50030000e-01  7.50030000e-01  8.39582321e-01  6.36645512e-01 
 7.50040000e-01  7.50040000e-01  8.73766416e-01  6.03301528e-01 
 7.50050000e-01  7.50050000e-01  9.08086250e-01  5.70394305e-01 
 7.50060000e-01  7.50060000e-01  9.42397055e-01  5.37586392e-01 
 7.50070000e-01  7.50070000e-01  9.76732342e-01  5.04933714e-01 
 7.50080000e-01  7.50080000e-01  1.01106190e+00  4.72765323e-01 
 7.50090000e-01  7.50090000e-01  1.04538642e+00  4.40680034e-01 
 7.50100000e-01  7.50100000e-01  1.07959807e+00  4.09218377e-01 
 7.50110000e-01  7.50110000e-01  1.11372961e+00  3.77933652e-01 
 7.50120000e-01  7.50120000e-01  1.14769494e+00  3.46973160e-01 
 7.50130000e-01  7.50130000e-01  1.18153030e+00  3.16328679e-01 
 7.50140000e-01  7.50140000e-01  1.21422315e+00  2.86650941e-01 
 7.50150000e-01  7.50150000e-01  1.24481520e+00  2.57781801e-01 
 7.50160000e-01  7.50160000e-01  1.26976482e+00  2.31437136e-01 
 7.50170000e-01  7.50170000e-01  1.28731151e+00  2.10337188e-01 
 7.50180000e-01  7.50180000e-01  1.29953530e+00  1.95454235e-01 
 7.50190000e-01  7.50190000e-01  1.30895368e+00  1.84328543e-01 
 7.50200000e-01  7.50200000e-01  1.31660118e+00  1.75632891e-01 
 7.50210000e-01  7.50210000e-01  1.32306130e+00  1.68395242e-01 
 7.50220000e-01  7.50220000e-01  1.32906190e+00  1.61826865e-01 
 7.50230000e-01  7.50230000e-01  1.33367199e+00  1.57051365e-01 
 7.50240000e-01  7.50240000e-01  1.33816209e+00  1.52383420e-01 
 7.50250000e-01  7.50250000e-01  1.34225256e+00  1.48213620e-01 
 7.50260000e-01  7.50260000e-01  1.34601743e+00  1.44446962e-01 
 7.50270000e-01  7.50270000e-01  1.34963254e+00  1.40838026e-01 
 7.50280000e-01  7.50280000e-01  1.35285627e+00  1.37696759e-01 
 7.50290000e-01  7.50290000e-01  1.35589292e+00  1.34775537e-01 
 7.50300000e-01  7.50300000e-01  1.35867297e+00  1.32138333e-01 
 7.50310000e-01  7.50310000e-01  1.36138431e+00  1.29560056e-01 
 7.50320000e-01  7.50320000e-01  1.36395799e+00  1.27141723e-01 
 7.50330000e-01  7.50330000e-01  1.36647054e+00  1.24803788e-01 
 7.50340000e-01  7.50340000e-01  1.36879682e+00  1.22642802e-01 
 7.50350000e-01  7.50350000e-01  1.37097908e+00  1.20640902e-01 
 7.50360000e-01  7.50360000e-01  1.37311817e+00  1.18675656e-01 
 7.50370000e-01  7.50370000e-01  1.37517403e+00  1.16804916e-01 
 7.50380000e-01  7.50380000e-01  1.37715380e+00  1.15021485e-01 
 7.50390000e-01  7.50390000e-01  1.37905790e+00  1.13301910e-01 
 7.50400000e-01  7.50400000e-01  1.38092640e+00  1.11614341e-01 
 7.50410000e-01  7.50410000e-01  1.38270158e+00  1.10039528e-01 
 7.50420000e-01  7.50420000e-01  1.38441511e+00  1.08507771e-01 
 7.50430000e-01  7.50430000e-01  1.38605034e+00  1.07060674e-01 
 7.50440000e-01  7.50440000e-01  1.38766107e+00  1.05633444e-01 
 7.50450000e-01  7.50450000e-01  1.38922434e+00  1.04254348e-01 
 7.50460000e-01  7.50460000e-01  1.39076439e+00  1.02897382e-01 
 7.50470000e-01  7.50470000e-01  1.39223747e+00  1.01603305e-01 
 7.50480000e-01  7.50480000e-01  1.39365062e+00  1.00363324e-01 
 7.50490000e-01  7.50490000e-01  1.39504638e+00  9.91415003e-02 
 7.50500000e-01  7.50500000e-01  1.39640715e+00  9.79569185e-02 
 7.50510000e-01  7.50510000e-01  1.39774953e+00  9.67868074e-02 
 7.50520000e-01  7.50520000e-01  1.39902581e+00  9.56808050e-02 
 7.50530000e-01  7.50530000e-01  1.40028683e+00  9.45859731e-02 
 7.50540000e-01  7.50540000e-01  1.40153336e+00  9.35064153e-02 
 7.50550000e-01  7.50550000e-01  1.40272097e+00  9.24778569e-02 
 7.50560000e-01  7.50560000e-01  1.40391060e+00  9.14518732e-02 
 7.50570000e-01  7.50570000e-01  1.40504564e+00  9.04697977e-02 
 7.50580000e-01  7.50580000e-01  1.40618342e+00  8.94929850e-02 
 7.50590000e-01  7.50590000e-01  1.40728279e+00  8.85459626e-02 
 7.50600000e-01  7.50600000e-01  1.40836016e+00  8.76220125e-02 
 7.50610000e-01  7.50610000e-01  1.40940389e+00  8.67259615e-02 
 7.50620000e-01  7.50620000e-01  1.41043659e+00  8.58359253e-02 
 7.50630000e-01  7.50630000e-01  1.41146121e+00  8.49630920e-02 
 7.50640000e-01  7.50640000e-01  1.41244399e+00  8.41203681e-02 
 7.50650000e-01  7.50650000e-01  1.41341889e+00  8.32889380e-02 
 7.50660000e-01  7.50660000e-01  1.41437366e+00  8.24687622e-02 
 7.50670000e-01  7.50670000e-01  1.41532085e+00  8.16612575e-02 
 7.50680000e-01  7.50680000e-01  1.41624149e+00  8.08767034e-02 
 7.50690000e-01  7.50690000e-01  1.41713675e+00  8.01112744e-02 
 7.50700000e-01  7.50700000e-01  1.41803319e+00  7.93488955e-02 
 7.50710000e-01  7.50710000e-01  1.41889755e+00  7.86123706e-02 
 7.50720000e-01  7.50720000e-01  1.41976295e+00  7.78780672e-02 
 7.50730000e-01  7.50730000e-01  1.42059819e+00  7.71679573e-02 
 7.50740000e-01  7.50740000e-01  1.42143359e+00  7.64567383e-02 
