 time            v(clk)          v(vs)           v(vctail)       v(vcpp)         v(vcpn)         v(voutp)        v(voutn)       
 5.34273050e-09  1.50000000e+00  2.28657294e-01  2.18712365e-01  1.30021950e+00  1.28066890e+00 -7.85177225e-02 -7.85211063e-02 
 5.38273050e-09  1.50000000e+00  2.30027387e-01  2.19708015e-01  1.29928759e+00  1.27961595e+00 -7.85042480e-02 -7.85347439e-02 
 5.42273050e-09  1.50000000e+00  2.30387814e-01  2.20689509e-01  1.29836667e+00  1.27857524e+00 -7.84217182e-02 -7.84803781e-02 
 5.46273050e-09  1.50000000e+00  2.31725339e-01  2.21658243e-01  1.29746048e+00  1.27755029e+00 -7.84014377e-02 -7.84893449e-02 
 5.50273050e-09  1.50000000e+00  2.32074894e-01  2.22613417e-01  1.29656474e+00  1.27653701e+00 -7.83137131e-02 -7.84319537e-02 
 5.54273050e-09  1.50000000e+00  2.33380955e-01  2.23556369e-01  1.29568317e+00  1.27553888e+00 -7.82865639e-02 -7.84362558e-02 
 5.58273050e-09  1.50000000e+00  2.33720233e-01  2.24486322e-01  1.29481157e+00  1.27455189e+00 -7.81935399e-02 -7.83758034e-02 
 5.62273050e-09  1.50000000e+00  2.34995879e-01  2.25404561e-01  1.29395359e+00  1.27357948e+00 -7.81594580e-02 -7.83754455e-02 
 5.66273050e-09  1.50000000e+00  2.35325439e-01  2.26310330e-01  1.29310512e+00  1.27261770e+00 -7.80610300e-02 -7.83118957e-02 
 5.70273050e-09  1.50000000e+00  2.36571673e-01  2.27204865e-01  1.29226978e+00  1.27166997e+00 -7.80199503e-02 -7.83068811e-02 
 5.74273050e-09  1.50000000e+00  2.36892037e-01  2.28087430e-01  1.29144350e+00  1.27073238e+00 -7.79160136e-02 -7.82401977e-02 
 5.78273050e-09  1.50000000e+00  2.38109816e-01  2.28959214e-01  1.29062987e+00  1.26980834e+00 -7.78678700e-02 -7.82305284e-02 
 5.82273050e-09  1.50000000e+00  2.38421473e-01  2.29819501e-01  1.28982490e+00  1.26889399e+00 -7.77583203e-02 -7.81606751e-02 
 5.86273050e-09  1.50000000e+00  2.39611714e-01  2.30669436e-01  1.28903212e+00  1.26799270e+00 -7.77030462e-02 -7.81463525e-02 
 5.90273050e-09  1.50000000e+00  2.39915123e-01  2.31508321e-01  1.28824760e+00  1.26710068e+00 -7.75877795e-02 -7.80732928e-02 
 5.94273050e-09  1.50000000e+00  2.41078699e-01  2.32337258e-01  1.28747486e+00  1.26622126e+00 -7.75253079e-02 -7.80543173e-02 
 5.98273050e-09  1.50000000e+00  2.41374292e-01  2.33155570e-01  1.28671001e+00  1.26535071e+00 -7.74042209e-02 -7.79780152e-02 
 6.02273050e-09  1.50000000e+00  2.42512042e-01  2.33964319e-01  1.28595652e+00  1.26449233e+00 -7.73344845e-02 -7.79543864e-02 
 6.06273050e-09  1.50000000e+00  2.42800224e-01  2.34762845e-01  1.28521057e+00  1.26364243e+00 -7.72074746e-02 -7.78748061e-02 
 6.10273050e-09  1.50000000e+00  2.43912949e-01  2.35552171e-01  1.28447561e+00  1.26280429e+00 -7.71304062e-02 -7.78465232e-02 
 6.14273050e-09  1.50000000e+00  2.44194099e-01  2.36331656e-01  1.28374785e+00  1.26197428e+00 -7.69973718e-02 -7.77636292e-02 
 6.18273050e-09  1.50000000e+00  2.45282568e-01  2.37102286e-01  1.28303071e+00  1.26115563e+00 -7.69129043e-02 -7.77306908e-02 
 6.22273050e-09  1.50000000e+00  2.45557046e-01  2.37863438e-01  1.28232047e+00  1.26034476e+00 -7.67737449e-02 -7.76444481e-02 
 6.26273050e-09  1.50000000e+00  2.46621996e-01  2.38616062e-01  1.28162048e+00  1.25954489e+00 -7.66818114e-02 -7.76068527e-02 
 6.30273050e-09  1.50000000e+00  2.46890137e-01  2.39359554e-01  1.28092710e+00  1.25875248e+00 -7.65364277e-02 -7.75172267e-02 
 6.34273050e-09  1.50000000e+00  2.47932275e-01  2.40094829e-01  1.28024365e+00  1.25797070e+00 -7.64369617e-02 -7.74749723e-02 
 6.38273050e-09  1.50000000e+00  2.48194396e-01  2.40821299e-01  1.27956652e+00  1.25719608e+00 -7.62852557e-02 -7.73819291e-02 
 6.42273050e-09  1.50000000e+00  2.49214401e-01  2.41539848e-01  1.27889900e+00  1.25643175e+00 -7.61781915e-02 -7.73350136e-02 
 6.46273050e-09  1.50000000e+00  2.49470801e-01  2.42249906e-01  1.27823753e+00  1.25567429e+00 -7.60200666e-02 -7.72385200e-02 
 6.50273050e-09  1.50000000e+00  2.50469324e-01  2.42952324e-01  1.27758537e+00  1.25492680e+00 -7.59053389e-02 -7.71869411e-02 
 6.54273050e-09  1.50000000e+00  2.50720284e-01  2.43646547e-01  1.27693901e+00  1.25418590e+00 -7.57406999e-02 -7.70869644e-02 
 6.58273050e-09  1.50000000e+00  2.51697952e-01  2.44333399e-01  1.27630167e+00  1.25345466e+00 -7.56182444e-02 -7.70307198e-02 
