 time            v(vin)          v(vout_buf)     v(vout_st)     
 9.85161100e-04  3.25103163e+00  3.30000000e+00  3.32565791e+00 
 9.90161100e-04  3.26753163e+00  3.30000000e+00  3.27408991e+00 
 9.95161100e-04  3.28403163e+00  3.30000000e+00  3.32565709e+00 
 1.00000000e-03  3.30000000e+00  3.30000000e+00  3.27409063e+00 
 1.00050000e-03  3.30000000e+00  3.30000000e+00  3.29999905e+00 
 1.00150000e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.00350000e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.00666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.01166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.01666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.02166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.02666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.03166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.03666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.04166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.04666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.05166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.05666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.06166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.06666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.07166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.07666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.08166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.08666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.09166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.09666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.10166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.10666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.11166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.11666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.12166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.12666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.13166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.13666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.14166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.14666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.15166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.15666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.16166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.16666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.17166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.17666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.18166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.18666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.19166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.19666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.20166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.20666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.21166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.21666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.22166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.22666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.23166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.23666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.24166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.24666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.25166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.25666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.26166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.26666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.27166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.27666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.28166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.28666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.29166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.29666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.30166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.30666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.31166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.31666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.32166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.32666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.33166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.33666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.34166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.34666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.35166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.35666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.36166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.36666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.37166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.37666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.38166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.38666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.39166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.39666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.40166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.40666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.41166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.41666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.42166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.42666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.43166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.43666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.44166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.44666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.45166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.45666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.46166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.46666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.47166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.47666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.48166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.48666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.49166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.49666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.50166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.50666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.51166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.51666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.52166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.52666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.53166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.53666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.54166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.54666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.55166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.55666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.56166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.56666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.57166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.57666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.58166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.58666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.59166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.59666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.60166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.60666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
 1.61166725e-03  3.30000000e+00  3.30000000e+00  3.29999904e+00 
 1.61666725e-03  3.30000000e+00  3.30000000e+00  3.30000096e+00 
