 frequency       v(PSRR_dB)     
 5.04626783e+01  1.20742643e+02 
 5.16263340e+01  1.20891850e+02 
 5.28168234e+01  1.21095943e+02 
 5.40347650e+01  1.21299830e+02 
 5.52807921e+01  1.21551204e+02 
 5.65555523e+01  1.21804955e+02 
 5.78597080e+01  1.19446446e+02 
 5.91939372e+01  1.19673270e+02 
 6.05589334e+01  1.19939614e+02 
 6.19554061e+01  1.20193071e+02 
 6.33840810e+01  1.20481863e+02 
 6.48457008e+01  1.20766823e+02 
 6.63410251e+01  1.21114589e+02 
 6.78708313e+01  1.21493570e+02 
 6.94359143e+01  1.19135005e+02 
 7.10370877e+01  1.19422642e+02 
 7.26751838e+01  1.19767951e+02 
 7.43510539e+01  1.20083299e+02 
 7.60655691e+01  1.20459157e+02 
 7.78196206e+01  1.20848662e+02 
 7.96141200e+01  1.19664889e+02 
 8.14500001e+01  1.20058720e+02 
 8.33282151e+01  1.20459382e+02 
 8.52497412e+01  1.20898922e+02 
 8.72155772e+01  1.21407311e+02 
 8.92267449e+01  1.21906697e+02 
 9.12842895e+01  1.22372966e+02 
 9.33892805e+01  1.22928693e+02 
 9.55428121e+01  1.23553043e+02 
 9.77460036e+01  1.24226525e+02 
 1.00000000e+02  1.25052657e+02 
 1.02305973e+02  1.25807032e+02 
 1.04665121e+02  1.26738626e+02 
 1.07078670e+02  1.27738068e+02 
 1.09547876e+02  1.28847761e+02 
 1.12074020e+02  1.30160683e+02 
 1.14658417e+02  1.23339848e+02 
 1.17302409e+02  1.24164538e+02 
 1.20007371e+02  1.23282559e+02 
 1.22774708e+02  1.22827907e+02 
 1.25605860e+02  1.23690853e+02 
 1.28502297e+02  1.24559351e+02 
 1.31465525e+02  1.25667512e+02 
 1.34497085e+02  1.26785268e+02 
 1.37598551e+02  1.28220340e+02 
 1.40771537e+02  1.30050420e+02 
 1.44017690e+02  1.29428164e+02 
 1.47338699e+02  1.25167998e+02 
 1.50736290e+02  1.26484104e+02 
 1.54212228e+02  1.28058043e+02 
 1.57768320e+02  1.26343020e+02 
 1.61406415e+02  1.27921440e+02 
 1.65128404e+02  1.29835854e+02 
 1.68936220e+02  1.30000311e+02 
 1.72831844e+02  1.32629381e+02 
 1.76817299e+02  1.27715102e+02 
 1.80894658e+02  1.28038732e+02 
 1.85066040e+02  1.28525416e+02 
 1.89333613e+02  1.26140250e+02 
 1.93699595e+02  1.28042041e+02 
 1.98166255e+02  1.27714650e+02 
 2.02735916e+02  1.26685697e+02 
 2.07410951e+02  1.25182238e+02 
 2.12193792e+02  1.27115871e+02 
 2.17086923e+02  1.26782908e+02 
 2.22092889e+02  1.23500809e+02 
 2.27214291e+02  1.25175117e+02 
 2.32453791e+02  1.26271339e+02 
 2.37814113e+02  1.24529775e+02 
 2.43298042e+02  1.32287683e+02 
 2.48908429e+02  1.31755226e+02 
 2.54648190e+02  1.32367470e+02 
 2.60520309e+02  1.33201419e+02 
 2.66527837e+02  1.37089881e+02 
 2.72673897e+02  1.32122287e+02 
 2.78961683e+02  1.34521111e+02 
 2.85394464e+02  1.30785432e+02 
 2.91975583e+02  1.31971873e+02 
 2.98708461e+02  1.32239386e+02 
 3.05596598e+02  1.31165934e+02 
 3.12643573e+02  1.30221735e+02 
 3.19853049e+02  1.32429054e+02 
 3.27228774e+02  1.31758545e+02 
 3.34774581e+02  1.36736024e+02 
 3.42494392e+02  1.35271247e+02 
 3.50392221e+02  1.37057171e+02 
 3.58472171e+02  1.32111361e+02 
 3.66738442e+02  1.31436152e+02 
 3.75195331e+02  1.33406192e+02 
 3.83847234e+02  1.40243148e+02 
 3.92698648e+02  1.36038056e+02 
 4.01754173e+02  1.36763554e+02 
 4.11018515e+02  1.34741204e+02 
 4.20496491e+02  1.33117043e+02 
 4.30193027e+02  1.34524916e+02 
 4.40113162e+02  1.35309190e+02 
 4.50262052e+02  1.33541970e+02 
 4.60644974e+02  1.39518475e+02 
 4.71267322e+02  1.33161728e+02 
 4.82134619e+02  1.33570178e+02 
 4.93252513e+02  1.31245921e+02 
 5.04626783e+02  1.35293803e+02 
 5.16263340e+02  1.34617569e+02 
 5.28168234e+02  1.35538268e+02 
 5.40347650e+02  1.33851384e+02 
 5.52807921e+02  1.32926000e+02 
 5.65555523e+02  1.32815354e+02 
 5.78597080e+02  1.33688036e+02 
 5.91939372e+02  1.37235984e+02 
 6.05589334e+02  1.38264205e+02 
 6.19554061e+02  1.38650695e+02 
 6.33840810e+02  1.44562236e+02 
 6.48457008e+02  1.35126335e+02 
 6.63410251e+02  1.38222297e+02 
 6.78708313e+02  1.37668190e+02 
 6.94359143e+02  1.38157847e+02 
 7.10370877e+02  1.34609654e+02 
 7.26751838e+02  1.38944665e+02 
 7.43510539e+02  1.34684304e+02 
 7.60655691e+02  1.43312455e+02 
 7.78196206e+02  1.37586390e+02 
 7.96141200e+02  1.45872568e+02 
 8.14500001e+02  1.45046362e+02 
 8.33282151e+02  1.44432960e+02 
 8.52497412e+02  1.62122541e+02 
 8.72155772e+02  1.39794903e+02 
 8.92267449e+02  1.36755896e+02 
 9.12842895e+02  1.39320251e+02 
 9.33892805e+02  1.39208501e+02 
 9.55428121e+02  1.37870482e+02 
 9.77460036e+02  1.34957155e+02 
 1.00000000e+03  1.38468871e+02 
 1.02305973e+03  1.39980076e+02 
 1.04665121e+03  1.46698597e+02 
 1.07078670e+03  1.44444253e+02 
 1.09547876e+03  1.43026261e+02 
 1.12074020e+03  1.45635132e+02 
 1.14658417e+03  1.44438110e+02 
 1.17302409e+03  1.40495484e+02 
 1.20007371e+03  1.43068259e+02 
 1.22774708e+03  1.41903265e+02 
 1.25605860e+03  1.45515939e+02 
 1.28502297e+03  1.47030434e+02 
 1.31465525e+03  1.40895684e+02 
 1.34497085e+03  1.42297127e+02 
 1.37598551e+03  1.42393184e+02 
 1.40771537e+03  1.40237545e+02 
 1.44017690e+03  1.51432447e+02 
 1.47338699e+03  1.51842235e+02 
 1.50736290e+03  1.49129548e+02 
 1.54212228e+03  1.44020855e+02 
 1.57768320e+03  1.46418839e+02 
 1.61406415e+03  1.50002173e+02 
 1.65128404e+03  1.63055763e+02 
 1.68936220e+03  1.53224029e+02 
 1.72831844e+03  1.63241016e+02 
 1.76817299e+03  1.52237104e+02 
 1.80894658e+03  1.54941583e+02 
 1.85066040e+03  1.58222324e+02 
 1.89333613e+03  1.51769666e+02 
 1.93699595e+03  1.49218887e+02 
 1.98166255e+03  1.65319033e+02 
 2.02735916e+03  1.49154070e+02 
 2.07410951e+03  1.66715530e+02 
 2.12193792e+03  1.70502093e+02 
 2.17086923e+03  1.60262634e+02 
 2.22092889e+03  1.54614180e+02 
 2.27214291e+03  1.69877087e+02 
 2.32453791e+03  1.50337657e+02 
 2.37814113e+03  1.72150189e+02 
 2.43298042e+03  1.65126277e+02 
 2.48908429e+03  1.66915860e+02 
 2.54648190e+03  1.54909285e+02 
 2.60520309e+03  1.51786545e+02 
 2.66527837e+03  1.77000898e+02 
 2.72673897e+03  1.57171488e+02 
 2.78961683e+03  1.55712172e+02 
 2.85394464e+03  1.62440890e+02 
 2.91975583e+03  1.64336502e+02 
 2.98708461e+03  1.55631876e+02 
 3.05596598e+03  1.57577967e+02 
 3.12643573e+03  1.52542130e+02 
 3.19853049e+03  1.55382199e+02 
 3.27228774e+03  1.53425411e+02 
 3.34774581e+03  1.51909972e+02 
 3.42494392e+03  1.94044091e+02 
 3.50392221e+03  1.63849507e+02 
 3.58472171e+03  1.57614379e+02 
 3.66738442e+03  1.60008108e+02 
 3.75195331e+03  1.66186569e+02 
 3.83847234e+03  1.61153616e+02 
 3.92698648e+03  1.64585999e+02 
 4.01754173e+03  1.65863611e+02 
 4.11018515e+03  1.58113744e+02 
 4.20496491e+03  1.59647229e+02 
 4.30193027e+03  1.60041278e+02 
 4.40113162e+03  1.55864837e+02 
 4.50262052e+03  1.53790495e+02 
 4.60644974e+03  1.55990110e+02 
 4.71267322e+03  1.67438787e+02 
 4.82134619e+03  1.75829888e+02 
 4.93252513e+03  1.64294836e+02 
 5.04626783e+03  1.53779539e+02 
 5.16263340e+03  1.64561618e+02 
 5.28168234e+03  1.77863257e+02 
 5.40347650e+03  1.66945846e+02 
 5.52807921e+03  1.73111837e+02 
 5.65555523e+03  1.53926186e+02 
 5.78597080e+03  1.52265115e+02 
 5.91939372e+03  1.55020267e+02 
 6.05589334e+03  1.61037109e+02 
 6.19554061e+03  1.56210739e+02 
 6.33840810e+03  1.47790705e+02 
 6.48457008e+03  1.57096619e+02 
 6.63410251e+03  1.50586884e+02 
 6.78708313e+03  1.53687173e+02 
 6.94359143e+03  1.52434015e+02 
 7.10370877e+03  1.64891420e+02 
 7.26751838e+03  1.54456433e+02 
 7.43510539e+03  1.52976642e+02 
 7.60655691e+03  1.61228514e+02 
 7.78196206e+03  1.57160889e+02 
 7.96141200e+03  1.60955999e+02 
 8.14500001e+03  1.64427204e+02 
 8.33282151e+03  1.61664575e+02 
 8.52497412e+03  1.72024848e+02 
 8.72155772e+03  1.73837755e+02 
 8.92267449e+03  1.75084788e+02 
 9.12842895e+03  1.60625436e+02 
 9.33892805e+03  1.52210980e+02 
 9.55428121e+03  1.52296402e+02 
 9.77460036e+03  1.55951889e+02 
 1.00000000e+04  1.52049514e+02 
 1.02305973e+04  1.59496592e+02 
 1.04665121e+04  1.52295118e+02 
 1.07078670e+04  1.76016934e+02 
 1.09547876e+04  1.68355224e+02 
 1.12074020e+04  1.66109453e+02 
 1.14658417e+04  1.57898104e+02 
 1.17302409e+04  1.74255352e+02 
 1.20007371e+04  1.53666687e+02 
 1.22774708e+04  1.56959966e+02 
 1.25605860e+04  1.53424131e+02 
 1.28502297e+04  1.67930653e+02 
 1.31465525e+04  1.56126981e+02 
 1.34497085e+04  1.68790648e+02 
 1.37598551e+04  1.69672837e+02 
 1.40771537e+04  1.56811107e+02 
 1.44017690e+04  1.50424946e+02 
 1.47338699e+04  1.75448852e+02 
 1.50736290e+04  1.59513540e+02 
 1.54212228e+04  1.74060470e+02 
 1.57768320e+04  1.53426613e+02 
 1.61406415e+04  1.55799832e+02 
 1.65128404e+04  1.71457496e+02 
 1.68936220e+04  1.62929464e+02 
 1.72831844e+04  1.56776050e+02 
 1.76817299e+04  1.56423629e+02 
 1.80894658e+04  1.61527353e+02 
 1.85066040e+04  1.64985053e+02 
 1.89333613e+04  1.53275578e+02 
 1.93699595e+04  1.55020110e+02 
 1.98166255e+04  1.59818976e+02 
 2.02735916e+04  1.58738698e+02 
 2.07410951e+04  1.54867117e+02 
 2.12193792e+04  1.74074891e+02 
 2.17086923e+04  1.61502242e+02 
 2.22092889e+04  1.65048149e+02 
 2.27214291e+04  1.51569902e+02 
 2.32453791e+04  1.68794688e+02 
 2.37814113e+04  1.61037896e+02 
 2.43298042e+04  1.72941542e+02 
 2.48908429e+04  1.54788059e+02 
 2.54648190e+04  1.71978933e+02 
 2.60520309e+04  1.53052428e+02 
 2.66527837e+04  1.72241369e+02 
 2.72673897e+04  1.57030665e+02 
 2.78961683e+04  1.66571200e+02 
 2.85394464e+04  1.54739967e+02 
 2.91975583e+04  1.54638221e+02 
 2.98708461e+04  1.57113064e+02 
 3.05596598e+04  1.65387387e+02 
 3.12643573e+04  1.62383281e+02 
 3.19853049e+04  1.68292319e+02 
