 time            v(Vb)           v(Voutp)        v(Voutn)        v(Vbias)        v(Vcmref)      
 9.84266625e-04  9.60040682e-01  7.50000000e-01  7.50000000e-01  9.96066656e-01  7.50000000e-01 
 9.84477400e-04  9.60043891e-01  7.50000000e-01  7.50000000e-01  9.96119350e-01  7.50000000e-01 
 9.84894393e-04  9.60031391e-01  7.50000000e-01  7.50000000e-01  9.96223598e-01  7.50000000e-01 
 9.85665457e-04  9.60026281e-01  7.50000000e-01  7.50000000e-01  9.96416364e-01  7.50000000e-01 
 9.87142997e-04  9.59997943e-01  7.50000000e-01  7.50000000e-01  9.96785749e-01  7.50000000e-01 
 9.90098077e-04  9.59960718e-01  7.50000000e-01  7.50000000e-01  9.97524519e-01  7.50000000e-01 
 9.91875010e-04  9.59927569e-01  7.50000000e-01  7.50000000e-01  9.97968752e-01  7.50000000e-01 
 9.91875011e-04  9.59550933e-01  7.50000000e-01  7.50000000e-01  9.97968753e-01  7.50000000e-01 
 9.91875013e-04  9.59053863e-01  7.50000000e-01  7.50000000e-01  9.97968753e-01  7.50000000e-01 
 9.91875017e-04  9.58274436e-01  7.50000000e-01  7.50000000e-01  9.97968754e-01  7.50000000e-01 
 9.91875020e-04  9.57706188e-01  7.50000000e-01  7.50000000e-01  9.97968755e-01  7.50000000e-01 
 9.91875020e-04  9.57685297e-01  7.50000000e-01  7.50000000e-01  9.97968755e-01  7.50000000e-01 
 9.91875021e-04  9.57653453e-01  7.50000000e-01  7.50000000e-01  9.97968755e-01  7.50000000e-01 
 9.91875023e-04  9.57595153e-01  7.50000000e-01  7.50000000e-01  9.97968756e-01  7.50000000e-01 
 9.91875027e-04  9.57483767e-01  7.50000000e-01  7.50000000e-01  9.97968757e-01  7.50000000e-01 
 9.91875034e-04  9.57294917e-01  7.50000000e-01  7.50000000e-01  9.97968759e-01  7.50000000e-01 
 9.91875049e-04  9.57032722e-01  7.50000000e-01  7.50000000e-01  9.97968762e-01  7.50000000e-01 
 9.91875078e-04  9.56867178e-01  7.50000000e-01  7.50000000e-01  9.97968769e-01  7.50000000e-01 
 9.91875136e-04  9.57291303e-01  7.50000000e-01  7.50000000e-01  9.97968784e-01  7.50000000e-01 
 9.91875252e-04  9.58674414e-01  7.50000000e-01  7.50000000e-01  9.97968813e-01  7.50000000e-01 
 9.91875377e-04  9.59102103e-01  7.50000000e-01  7.50000000e-01  9.97968844e-01  7.50000000e-01 
