 time            v(VDD)          v(Vbias)        v(Vbiasc)       v(bias_en)      v(Vsu)          v(Vres)        
 7.81250000e-06  1.02187500e-01 -4.18434004e-02 -1.59579203e-02  1.02187500e-01  6.99232084e-03 -2.15562100e-02 
 7.87501000e-06  1.03125150e-01 -4.17903692e-02 -1.53810776e-02  1.03125150e-01  7.09021290e-03 -2.15518990e-02 
 7.87501100e-06  1.03125165e-01 -4.17904287e-02 -1.53810734e-02  1.03125165e-01  7.09021291e-03 -2.16018429e-02 
 7.87501300e-06  1.03125195e-01 -4.17905614e-02 -1.53810665e-02  1.03125195e-01  7.09021254e-03 -2.17131212e-02 
 7.87501700e-06  1.03125255e-01 -4.17908234e-02 -1.53810525e-02  1.03125255e-01  7.09021187e-03 -2.19326098e-02 
 7.87502000e-06  1.03125300e-01 -4.17909698e-02 -1.53810377e-02  1.03125300e-01  7.09021269e-03 -2.20557336e-02 
 7.87502080e-06  1.03125312e-01 -4.17909728e-02 -1.53810307e-02  1.03125312e-01  7.09021385e-03 -2.20587600e-02 
 7.87502240e-06  1.03125336e-01 -4.17909724e-02 -1.53810161e-02  1.03125336e-01  7.09021634e-03 -2.20595974e-02 
 7.87502560e-06  1.03125384e-01 -4.17909688e-02 -1.53809865e-02  1.03125384e-01  7.09022142e-03 -2.20588952e-02 
 7.87503200e-06  1.03125480e-01 -4.17909640e-02 -1.53809276e-02  1.03125480e-01  7.09023152e-03 -2.20593996e-02 
 7.87504480e-06  1.03125672e-01 -4.17909523e-02 -1.53808095e-02  1.03125672e-01  7.09025176e-03 -2.20586935e-02 
 7.87507040e-06  1.03126056e-01 -4.17909308e-02 -1.53805736e-02  1.03126056e-01  7.09029219e-03 -2.20589233e-02 
 7.87512160e-06  1.03126824e-01 -4.17908860e-02 -1.53801015e-02  1.03126824e-01  7.09037311e-03 -2.20578387e-02 
 7.87522400e-06  1.03128360e-01 -4.17907984e-02 -1.53791576e-02  1.03128360e-01  7.09053489e-03 -2.20573808e-02 
 7.87542880e-06  1.03131432e-01 -4.17906218e-02 -1.53772693e-02  1.03131432e-01  7.09085851e-03 -2.20553208e-02 
 7.87583840e-06  1.03137576e-01 -4.17902717e-02 -1.53734925e-02  1.03137576e-01  7.09150572e-03 -2.20536667e-02 
 7.87665760e-06  1.03149864e-01 -4.17895718e-02 -1.53659371e-02  1.03149864e-01  7.09280035e-03 -2.20505111e-02 
 7.87829600e-06  1.03174440e-01 -4.17881771e-02 -1.53508219e-02  1.03174440e-01  7.09539032e-03 -2.20479536e-02 
 7.88157280e-06  1.03223592e-01 -4.17853908e-02 -1.53205833e-02  1.03223592e-01  7.10057363e-03 -2.20442321e-02 
 7.88812640e-06  1.03321896e-01 -4.17798273e-02 -1.52601016e-02  1.03321896e-01  7.11095375e-03 -2.20405595e-02 
 7.90123360e-06  1.03518504e-01 -4.17687132e-02 -1.51391659e-02  1.03518504e-01  7.13176880e-03 -2.20352558e-02 
 7.92744800e-06  1.03911720e-01 -4.17465090e-02 -1.48974050e-02  1.03911720e-01  7.17362120e-03 -2.20304230e-02 
 7.97987680e-06  1.04698152e-01 -4.17021050e-02 -1.44141427e-02  1.04698152e-01  7.25823755e-03 -2.20232226e-02 
 8.00000000e-06  1.05000000e-01 -4.16850552e-02 -1.42287292e-02  1.05000000e-01  7.29104261e-03 -2.20216956e-02 
 8.00000100e-06  1.05000015e-01 -4.16850116e-02 -1.42287164e-02  1.05000015e-01  7.29104536e-03 -2.19863693e-02 
 8.00000300e-06  1.05000045e-01 -4.16849141e-02 -1.42286897e-02  1.05000045e-01  7.29105115e-03 -2.19072481e-02 
 8.00000700e-06  1.05000105e-01 -4.16846440e-02 -1.42286299e-02  1.05000105e-01  7.29106470e-03 -2.16866597e-02 
 8.00001000e-06  1.05000150e-01 -4.16844210e-02 -1.42285833e-02  1.05000150e-01  7.29107541e-03 -2.15042718e-02 
 8.00001080e-06  1.05000162e-01 -4.16844089e-02 -1.42285747e-02  1.05000162e-01  7.29107703e-03 -2.14947599e-02 
 8.00001240e-06  1.05000186e-01 -4.16843949e-02 -1.42285588e-02  1.05000186e-01  7.29107999e-03 -2.14843153e-02 
