 time            v(clk)          v(vout)         v(vinp)         v(vinn)        
 3.21501508e-08  1.50000000e+00  1.03377744e-06  7.25150751e-01  7.50000000e-01 
 3.37291275e-08  1.50000000e+00  9.24204412e-07  7.25158646e-01  7.50000000e-01 
 3.57132670e-08  1.50000000e+00  8.16594630e-07  7.25168566e-01  7.50000000e-01 
 3.76666845e-08  1.50000000e+00  7.34788566e-07  7.25178333e-01  7.50000000e-01 
 3.87807550e-08  1.50000000e+00  6.95933704e-07  7.25183904e-01  7.50000000e-01 
 3.97192273e-08  1.50000000e+00  6.66353306e-07  7.25188596e-01  7.50000000e-01 
 4.09562289e-08  1.50000000e+00  6.31337497e-07  7.25194781e-01  7.50000000e-01 
 4.17127952e-08  1.50000000e+00  6.11856775e-07  7.25198564e-01  7.50000000e-01 
 4.27220711e-08  1.50000000e+00  5.87830268e-07  7.25203610e-01  7.50000000e-01 
 4.38831789e-08  1.50000000e+00  5.62656518e-07  7.25209416e-01  7.50000000e-01 
 4.56435471e-08  1.50000000e+00  5.28718150e-07  7.25218218e-01  7.50000000e-01 
 4.86269664e-08  1.50000000e+00  4.80442037e-07  7.25233135e-01  7.50000000e-01 
 5.30099264e-08  1.50000000e+00  4.24911277e-07  7.25255050e-01  7.50000000e-01 
 5.87158460e-08  1.50000000e+00  3.71091938e-07  7.25283579e-01  7.50000000e-01 
 6.45100000e-08  1.50000000e+00  3.30499079e-07  7.25312550e-01  7.50000000e-01 
 6.45110000e-08  1.35000000e+00 -6.34624680e-06  7.25312555e-01  7.50000000e-01 
 6.45130000e-08  1.05000000e+00 -1.03931101e-05  7.25312565e-01  7.50000000e-01 
 6.45135851e-08  9.62234925e-01 -9.09404210e-06  7.25312568e-01  7.50000000e-01 
 6.45145828e-08  8.12578510e-01 -5.36474304e-06  7.25312573e-01  7.50000000e-01 
 6.45156450e-08  6.53247008e-01 -7.21616588e-07  7.25312578e-01  7.50000000e-01 
 6.45171397e-08  4.29047398e-01  6.09070976e-06  7.25312586e-01  7.50000000e-01 
 6.45181741e-08  2.73879113e-01  1.18856687e-05  7.25312591e-01  7.50000000e-01 
 6.45194631e-08  8.05306079e-02  2.06762307e-05  7.25312597e-01  7.50000000e-01 
 6.45200000e-08  0.00000000e+00  2.40934420e-05  7.25312600e-01  7.50000000e-01 
 6.45200261e-08  0.00000000e+00  2.42954691e-05  7.25312600e-01  7.50000000e-01 
 6.45200784e-08  0.00000000e+00  2.48220912e-05  7.25312600e-01  7.50000000e-01 
 6.45201830e-08  0.00000000e+00  2.63279117e-05  7.25312601e-01  7.50000000e-01 
 6.45202877e-08  0.00000000e+00  2.82068990e-05  7.25312601e-01  7.50000000e-01 
 6.45204971e-08  0.00000000e+00  3.21296397e-05  7.25312602e-01  7.50000000e-01 
 6.45207316e-08  0.00000000e+00  3.59331515e-05  7.25312604e-01  7.50000000e-01 
 6.45211211e-08  0.00000000e+00  3.99218549e-05  7.25312606e-01  7.50000000e-01 
 6.45216746e-08  0.00000000e+00  4.11528024e-05  7.25312608e-01  7.50000000e-01 
 6.45227817e-08  0.00000000e+00  3.47094905e-05  7.25312614e-01  7.50000000e-01 
 6.45249960e-08  0.00000000e+00  1.25547785e-05  7.25312625e-01  7.50000000e-01 
 6.45294245e-08  0.00000000e+00 -1.96383097e-05  7.25312647e-01  7.50000000e-01 
 6.45327818e-08  0.00000000e+00 -3.69881331e-05  7.25312664e-01  7.50000000e-01 
 6.45358617e-08  0.00000000e+00 -5.40953254e-05  7.25312679e-01  7.50000000e-01 
 6.45393811e-08  0.00000000e+00 -6.92563618e-05  7.25312697e-01  7.50000000e-01 
 6.45429903e-08  0.00000000e+00 -7.37110270e-05  7.25312715e-01  7.50000000e-01 
 6.45479040e-08  0.00000000e+00 -6.65180054e-05  7.25312740e-01  7.50000000e-01 
 6.45511601e-08  0.00000000e+00 -6.12579147e-05  7.25312756e-01  7.50000000e-01 
 6.45539493e-08  0.00000000e+00 -4.73367197e-05  7.25312770e-01  7.50000000e-01 
 6.45564315e-08  0.00000000e+00 -1.13914737e-05  7.25312782e-01  7.50000000e-01 
 6.45585734e-08  0.00000000e+00  4.60856487e-05  7.25312793e-01  7.50000000e-01 
 6.45611532e-08  0.00000000e+00  1.59159812e-04  7.25312806e-01  7.50000000e-01 
 6.45638695e-08  0.00000000e+00  3.48221225e-04  7.25312819e-01  7.50000000e-01 
 6.45658607e-08  0.00000000e+00  5.49047308e-04  7.25312829e-01  7.50000000e-01 
 6.45676760e-08  0.00000000e+00  7.91148888e-04  7.25312838e-01  7.50000000e-01 
 6.45696220e-08  0.00000000e+00  1.09013513e-03  7.25312848e-01  7.50000000e-01 
 6.45719415e-08  0.00000000e+00  1.43460943e-03  7.25312860e-01  7.50000000e-01 
 6.45740312e-08  0.00000000e+00  1.71018162e-03  7.25312870e-01  7.50000000e-01 
 6.45770203e-08  0.00000000e+00  2.00040067e-03  7.25312885e-01  7.50000000e-01 
 6.45796767e-08  0.00000000e+00  1.96117646e-03  7.25312898e-01  7.50000000e-01 
 6.45823449e-08  0.00000000e+00  1.29119125e-03  7.25312912e-01  7.50000000e-01 
 6.45847203e-08  0.00000000e+00 -1.29232524e-04  7.25312924e-01  7.50000000e-01 
 6.45874899e-08  0.00000000e+00 -2.92440826e-03  7.25312937e-01  7.50000000e-01 
 6.45900636e-08  0.00000000e+00 -6.63675741e-03  7.25312950e-01  7.50000000e-01 
 6.45927996e-08  0.00000000e+00 -1.15834467e-02  7.25312964e-01  7.50000000e-01 
 6.45955953e-08  0.00000000e+00 -1.70468585e-02  7.25312978e-01  7.50000000e-01 
 6.45977902e-08  0.00000000e+00 -2.12703794e-02  7.25312989e-01  7.50000000e-01 
 6.46000263e-08  0.00000000e+00 -2.53060527e-02  7.25313000e-01  7.50000000e-01 
 6.46024651e-08  0.00000000e+00 -2.93866039e-02  7.25313012e-01  7.50000000e-01 
 6.46048308e-08  0.00000000e+00 -3.26750437e-02  7.25313024e-01  7.50000000e-01 
 6.46066785e-08  0.00000000e+00 -3.42149997e-02  7.25313033e-01  7.50000000e-01 
 6.46086610e-08  0.00000000e+00 -3.41735795e-02  7.25313043e-01  7.50000000e-01 
 6.46104733e-08  0.00000000e+00 -3.27783936e-02  7.25313052e-01  7.50000000e-01 
 6.46124248e-08  0.00000000e+00 -3.01496603e-02  7.25313062e-01  7.50000000e-01 
 6.46148728e-08  0.00000000e+00 -2.58630974e-02  7.25313074e-01  7.50000000e-01 
 6.46171487e-08  0.00000000e+00 -2.15903214e-02  7.25313086e-01  7.50000000e-01 
 6.46195347e-08  0.00000000e+00 -1.73935202e-02  7.25313098e-01  7.50000000e-01 
 6.46222793e-08  0.00000000e+00 -1.32914747e-02  7.25313111e-01  7.50000000e-01 
 6.46250907e-08  0.00000000e+00 -9.96579789e-03  7.25313125e-01  7.50000000e-01 
 6.46286230e-08  0.00000000e+00 -6.87837097e-03  7.25313143e-01  7.50000000e-01 
 6.46327529e-08  0.00000000e+00 -4.42998073e-03  7.25313164e-01  7.50000000e-01 
 6.46384905e-08  0.00000000e+00 -2.36711987e-03  7.25313192e-01  7.50000000e-01 
 6.46446901e-08  0.00000000e+00 -1.18499627e-03  7.25313223e-01  7.50000000e-01 
 6.46529065e-08  0.00000000e+00 -4.49287819e-04  7.25313265e-01  7.50000000e-01 
 6.46625855e-08  0.00000000e+00 -1.21261314e-04  7.25313313e-01  7.50000000e-01 
 6.46764533e-08  0.00000000e+00  1.24956697e-05  7.25313382e-01  7.50000000e-01 
 6.46950769e-08  0.00000000e+00  3.38269793e-05  7.25313475e-01  7.50000000e-01 
 6.47255508e-08  0.00000000e+00  2.12329215e-05  7.25313628e-01  7.50000000e-01 
 6.47787637e-08  0.00000000e+00  6.52284678e-06  7.25313894e-01  7.50000000e-01 
 6.48851896e-08  0.00000000e+00 -2.94260129e-07  7.25314426e-01  7.50000000e-01 
 6.49337986e-08  0.00000000e+00 -1.48405235e-07  7.25314669e-01  7.50000000e-01 
 6.49809001e-08  0.00000000e+00  3.82188579e-08  7.25314905e-01  7.50000000e-01 
 6.50238737e-08  0.00000000e+00  1.11750499e-07  7.25315119e-01  7.50000000e-01 
 6.50678927e-08  0.00000000e+00  1.35392753e-07  7.25315339e-01  7.50000000e-01 
 6.51121977e-08  0.00000000e+00  1.39459644e-07  7.25315561e-01  7.50000000e-01 
 6.51561263e-08  0.00000000e+00  1.38510369e-07  7.25315781e-01  7.50000000e-01 
 6.51991999e-08  0.00000000e+00  1.37436035e-07  7.25315996e-01  7.50000000e-01 
 6.52455838e-08  0.00000000e+00  1.36972528e-07  7.25316228e-01  7.50000000e-01 
 6.52878166e-08  0.00000000e+00  1.36900086e-07  7.25316439e-01  7.50000000e-01 
 6.53317853e-08  0.00000000e+00  1.36916916e-07  7.25316659e-01  7.50000000e-01 
 6.53727058e-08  0.00000000e+00  1.36934808e-07  7.25316864e-01  7.50000000e-01 
 6.54147845e-08  0.00000000e+00  1.36941687e-07  7.25317074e-01  7.50000000e-01 
 6.54549506e-08  0.00000000e+00  1.36942802e-07  7.25317275e-01  7.50000000e-01 
 6.54959479e-08  0.00000000e+00  1.36942447e-07  7.25317480e-01  7.50000000e-01 
 6.55357182e-08  0.00000000e+00  1.36942168e-07  7.25317679e-01  7.50000000e-01 
 6.55760524e-08  0.00000000e+00  1.36942022e-07  7.25317880e-01  7.50000000e-01 
 6.56155676e-08  0.00000000e+00  1.36942002e-07  7.25318078e-01  7.50000000e-01 
 6.56554510e-08  0.00000000e+00  1.36941976e-07  7.25318277e-01  7.50000000e-01 
 6.56947786e-08  0.00000000e+00  1.36941964e-07  7.25318474e-01  7.50000000e-01 
 6.57354664e-08  0.00000000e+00  1.36941932e-07  7.25318677e-01  7.50000000e-01 
 6.57775555e-08  0.00000000e+00  1.36941921e-07  7.25318888e-01  7.50000000e-01 
 6.58216044e-08  0.00000000e+00  1.36941892e-07  7.25319108e-01  7.50000000e-01 
 6.58675044e-08  0.00000000e+00  1.36941861e-07  7.25319338e-01  7.50000000e-01 
 6.59156025e-08  0.00000000e+00  1.36941830e-07  7.25319578e-01  7.50000000e-01 
 6.59658831e-08  0.00000000e+00  1.36941794e-07  7.25319829e-01  7.50000000e-01 
 6.60187181e-08  0.00000000e+00  1.36941765e-07  7.25320094e-01  7.50000000e-01 
 6.60742196e-08  0.00000000e+00  1.36941719e-07  7.25320371e-01  7.50000000e-01 
 6.61328119e-08  0.00000000e+00  1.36941676e-07  7.25320664e-01  7.50000000e-01 
 6.61947329e-08  0.00000000e+00  1.36941637e-07  7.25320974e-01  7.50000000e-01 
 6.62604898e-08  0.00000000e+00  1.36941575e-07  7.25321302e-01  7.50000000e-01 
 6.63304769e-08  0.00000000e+00  1.36941525e-07  7.25321652e-01  7.50000000e-01 
 6.64053475e-08  0.00000000e+00  1.36941466e-07  7.25322027e-01  7.50000000e-01 
 6.64857238e-08  0.00000000e+00  1.36941394e-07  7.25322429e-01  7.50000000e-01 
