 time            v(a_1V5)        v(b_3V3)        v(x1t)          v(a_3V3)        v(b_1V5)        v(x2t)         
 7.75599322e-09  1.50000000e+00  2.91356583e+00  2.23270814e-04  3.30000000e+00  1.49998766e+00 -8.27418728e-05 
 7.85599322e-09  1.50000000e+00  2.93162056e+00  2.15650868e-04  3.30000000e+00  1.49999026e+00  8.36172876e-05 
 7.95599322e-09  1.50000000e+00  2.94892181e+00  2.06769501e-04  3.30000000e+00  1.49999144e+00 -7.78169397e-05 
 8.05599322e-09  1.50000000e+00  2.96549187e+00  1.99012678e-04  3.30000000e+00  1.49999336e+00  7.88341068e-05 
 8.15599322e-09  1.50000000e+00  2.98135078e+00  1.91796203e-04  3.30000000e+00  1.49999404e+00 -7.31743054e-05 
 8.25599322e-09  1.50000000e+00  2.99652171e+00  1.84424583e-04  3.30000000e+00  1.49999549e+00  7.43258153e-05 
 8.35599322e-09  1.50000000e+00  3.01102786e+00  1.77310381e-04  3.30000000e+00  1.49999583e+00 -6.87980577e-05 
 8.45599322e-09  1.50000000e+00  3.02489238e+00  1.70271400e-04  3.30000000e+00  1.49999695e+00  7.00764587e-05 
 8.55599322e-09  1.50000000e+00  3.03813827e+00  1.63388267e-04  3.30000000e+00  1.49999706e+00 -6.46729923e-05 
 8.65599322e-09  1.50000000e+00  3.05078828e+00  1.56705240e-04  3.30000000e+00  1.49999795e+00  6.60711807e-05 
 8.75599322e-09  1.50000000e+00  3.06286487e+00  1.50131054e-04  3.30000000e+00  1.49999791e+00 -6.07847576e-05 
 8.85599322e-09  1.50000000e+00  3.07439013e+00  1.43826064e-04  3.30000000e+00  1.49999863e+00  6.22959855e-05 
 8.95599322e-09  1.50000000e+00  3.08538570e+00  1.37607428e-04  3.30000000e+00  1.49999850e+00 -5.71198144e-05 
 9.05599322e-09  1.50000000e+00  3.09587277e+00  1.31695078e-04  3.30000000e+00  1.49999910e+00  5.87376856e-05 
 9.15599322e-09  1.50000000e+00  3.10587204e+00  1.25856935e-04  3.30000000e+00  1.49999890e+00 -5.36653923e-05 
 9.25599322e-09  1.50000000e+00  3.11540365e+00  1.20343133e-04  3.30000000e+00  1.49999941e+00  5.53838527e-05 
 9.35599322e-09  1.50000000e+00  3.12448719e+00  1.14895049e-04  3.30000000e+00  1.49999918e+00 -5.04094477e-05 
 9.45599322e-09  1.50000000e+00  3.13314167e+00  1.09777725e-04  3.30000000e+00  1.49999963e+00  5.22227736e-05 
 9.55599322e-09  1.50000000e+00  3.14138553e+00  1.04718329e-04  3.30000000e+00  1.49999938e+00 -4.73406234e-05 
 9.65599322e-09  1.50000000e+00  3.14923659e+00  9.99888739e-05  3.30000000e+00  1.49999977e+00  4.92434071e-05 
 9.75599322e-09  1.50000000e+00  3.15671208e+00  9.53091161e-05  3.30000000e+00  1.49999952e+00 -4.44482100e-05 
 9.85599322e-09  1.50000000e+00  3.16382865e+00  9.09539515e-05  3.30000000e+00  1.49999987e+00  4.64353459e-05 
 9.95599322e-09  1.50000000e+00  3.17060233e+00  8.66395384e-05  3.30000000e+00  1.49999961e+00 -4.17221099e-05 
 1.00559932e-08  1.50000000e+00  3.17704856e+00  8.26415698e-05  3.30000000e+00  1.49999994e+00  4.37887790e-05 
 1.01559932e-08  1.50000000e+00  3.18318222e+00  7.86747882e-05  3.30000000e+00  1.49999968e+00 -3.91528019e-05 
 1.02559932e-08  1.50000000e+00  3.18901759e+00  7.50146367e-05  3.30000000e+00  1.49999998e+00  4.12944576e-05 
 1.03559932e-08  1.50000000e+00  3.19456839e+00  7.13757179e-05  3.30000000e+00  1.49999973e+00 -3.67313094e-05 
