 time            v(VDD)          v(Vbias)        v(bias_en)      v(Vsu)         
 3.66250000e-05  5.34375000e-01  3.72746883e-03  5.34375000e-01  1.68971369e-01 
 3.68750000e-05  5.38125000e-01  3.83488620e-03  5.38125000e-01  1.69931590e-01 
 3.71250000e-05  5.41875000e-01  3.94474350e-03  5.41875000e-01  1.70888185e-01 
 3.73750000e-05  5.45625000e-01  4.05707192e-03  5.45625000e-01  1.71841220e-01 
 3.76250000e-05  5.49375000e-01  4.17190237e-03  5.49375000e-01  1.72790764e-01 
 3.78750000e-05  5.53125000e-01  4.28926549e-03  5.53125000e-01  1.73736884e-01 
 3.81250000e-05  5.56875000e-01  4.40919160e-03  5.56875000e-01  1.74679651e-01 
 3.83750000e-05  5.60625000e-01  4.53171075e-03  5.60625000e-01  1.75619134e-01 
 3.86250000e-05  5.64375000e-01  4.65685263e-03  5.64375000e-01  1.76555404e-01 
 3.88750000e-05  5.68125000e-01  4.78464665e-03  5.68125000e-01  1.77488533e-01 
 3.91250000e-05  5.71875000e-01  4.91512187e-03  5.71875000e-01  1.78418594e-01 
 3.93750000e-05  5.75625000e-01  5.04830702e-03  5.75625000e-01  1.79345658e-01 
 3.96250000e-05  5.79375000e-01  5.18423046e-03  5.79375000e-01  1.80269800e-01 
 3.98750000e-05  5.83125000e-01  5.32292022e-03  5.83125000e-01  1.81191091e-01 
 4.01250000e-05  5.86875000e-01  5.46440393e-03  5.86875000e-01  1.82109607e-01 
 4.03750000e-05  5.90625000e-01  5.60870887e-03  5.90625000e-01  1.83025420e-01 
 4.06250000e-05  5.94375000e-01  5.75586197e-03  5.94375000e-01  1.83938604e-01 
 4.08750000e-05  5.98125000e-01  5.90588974e-03  5.98125000e-01  1.84849233e-01 
 4.11250000e-05  6.01875000e-01  6.05881829e-03  6.01875000e-01  1.85757381e-01 
 4.13750000e-05  6.05625000e-01  6.21467335e-03  6.05625000e-01  1.86663119e-01 
 4.16250000e-05  6.09375000e-01  6.37348025e-03  6.09375000e-01  1.87566523e-01 
 4.18750000e-05  6.13125000e-01  6.53526390e-03  6.13125000e-01  1.88467664e-01 
 4.21250000e-05  6.16875000e-01  6.70004879e-03  6.16875000e-01  1.89366614e-01 
 4.23750000e-05  6.20625000e-01  6.86785898e-03  6.20625000e-01  1.90263447e-01 
 4.26250000e-05  6.24375000e-01  7.03871813e-03  6.24375000e-01  1.91158233e-01 
 4.28750000e-05  6.28125000e-01  7.21264947e-03  6.28125000e-01  1.92051044e-01 
 4.31250000e-05  6.31875000e-01  7.38967576e-03  6.31875000e-01  1.92941950e-01 
 4.33750000e-05  6.35625000e-01  7.56981935e-03  6.35625000e-01  1.93831022e-01 
 4.36250000e-05  6.39375000e-01  7.75310215e-03  6.39375000e-01  1.94718329e-01 
 4.38750000e-05  6.43125000e-01  7.93954557e-03  6.43125000e-01  1.95603938e-01 
 4.41250000e-05  6.46875000e-01  8.12917062e-03  6.46875000e-01  1.96487919e-01 
 4.43750000e-05  6.50625000e-01  8.32199785e-03  6.50625000e-01  1.97370338e-01 
 4.46250000e-05  6.54375000e-01  8.51804733e-03  6.54375000e-01  1.98251263e-01 
 4.48750000e-05  6.58125000e-01  8.71733869e-03  6.58125000e-01  1.99130757e-01 
 4.51250000e-05  6.61875000e-01  8.91989103e-03  6.61875000e-01  2.00008888e-01 
 4.53750000e-05  6.65625000e-01  9.12572306e-03  6.65625000e-01  2.00885718e-01 
 4.56250000e-05  6.69375000e-01  9.33485300e-03  6.69375000e-01  2.01761311e-01 
 4.58750000e-05  6.73125000e-01  9.54729854e-03  6.73125000e-01  2.02635728e-01 
 4.61250000e-05  6.76875000e-01  9.76307694e-03  6.76875000e-01  2.03509031e-01 
 4.63750000e-05  6.80625000e-01  9.98220497e-03  6.80625000e-01  2.04381281e-01 
 4.66250000e-05  6.84375000e-01  1.02046989e-02  6.84375000e-01  2.05252537e-01 
 4.68750000e-05  6.88125000e-01  1.04305745e-02  6.88125000e-01  2.06122858e-01 
 4.71250000e-05  6.91875000e-01  1.06598471e-02  6.91875000e-01  2.06992301e-01 
 4.73750000e-05  6.95625000e-01  1.08925314e-02  6.95625000e-01  2.07860922e-01 
 4.76250000e-05  6.99375000e-01  1.11286418e-02  6.99375000e-01  2.08728777e-01 
 4.78750000e-05  7.03125000e-01  1.13681921e-02  7.03125000e-01  2.09595921e-01 
 4.81250000e-05  7.06875000e-01  1.16111956e-02  7.06875000e-01  2.10462407e-01 
 4.83750000e-05  7.10625000e-01  1.18576651e-02  7.10625000e-01  2.11328288e-01 
 4.86250000e-05  7.14375000e-01  1.21076128e-02  7.14375000e-01  2.12193614e-01 
 4.88750000e-05  7.18125000e-01  1.23610505e-02  7.18125000e-01  2.13058437e-01 
 4.91250000e-05  7.21875000e-01  1.26179896e-02  7.21875000e-01  2.13922806e-01 
 4.93750000e-05  7.25625000e-01  1.28784407e-02  7.25625000e-01  2.14786769e-01 
