 time            v(vout_comp)    v(vinp)         v(vinn)        
 1.00064104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00064604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00065104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00065604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00066104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00066604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00067104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00067604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00068104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00068604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00069104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00069604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00070104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00070604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00071104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00071604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00072104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00072604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00073104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00073604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00074104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00074604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00075104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00075604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00076104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00076604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00077104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00077604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00078104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00078604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00079104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00079604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00080104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00080604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00081104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00081604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00082104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00082604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00083104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00083604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00084104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00084604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00085104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00085604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00086104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00086604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00087104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00087604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00088104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00088604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00089104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00089604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00090104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00090604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00091104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00091604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00092104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00092604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00093104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00093604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00094104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00094604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00095104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00095604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00096104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00096604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00097104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00097604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00098104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00098604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00099104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00099604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00099906e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00100082e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00100283e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00100480e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00100876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00101376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00101876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00102376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00102876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00103376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00103876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00104376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00104876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00105376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00105876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00106376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00106876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00107376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00107876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00108376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00108876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00109376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00109876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00110376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00110876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00111376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00111876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00112376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00112876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00113376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00113876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00114376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00114876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00115376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00115876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00116376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00116876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00117376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00117876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00118376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00118876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00119376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00119876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
