 frequency       v(CMRR_dB)      v(CMRR_arg)    
 1.40771537e+01  7.30542981e+01 -8.60733235e+01 
 1.44017690e+01  7.28567446e+01 -8.61466821e+01 
 1.47338699e+01  7.26591709e+01 -8.62180279e+01 
 1.50736290e+01  7.24615783e+01 -8.62874507e+01 
 1.54212228e+01  7.22639675e+01 -8.63549500e+01 
 1.57768320e+01  7.20663393e+01 -8.64205605e+01 
 1.61406415e+01  7.18686944e+01 -8.64842835e+01 
 1.65128404e+01  7.16710336e+01 -8.65461857e+01 
 1.68936220e+01  7.14733579e+01 -8.66063142e+01 
 1.72831844e+01  7.12756680e+01 -8.66647291e+01 
 1.76817299e+01  7.10779641e+01 -8.67213395e+01 
 1.80894658e+01  7.08802475e+01 -8.67762947e+01 
 1.85066040e+01  7.06825183e+01 -8.68295498e+01 
 1.89333613e+01  7.04847773e+01 -8.68811479e+01 
 1.93699595e+01  7.02870253e+01 -8.69311837e+01 
 1.98166255e+01  7.00892625e+01 -8.69795873e+01 
 2.02735916e+01  6.98914897e+01 -8.70264378e+01 
 2.07410951e+01  6.96937072e+01 -8.70717334e+01 
 2.12193792e+01  6.94959157e+01 -8.71155227e+01 
 2.17086923e+01  6.92981155e+01 -8.71578036e+01 
 2.22092889e+01  6.91003071e+01 -8.71986104e+01 
 2.27214291e+01  6.89024911e+01 -8.72379872e+01 
 2.32453791e+01  6.87046676e+01 -8.72758965e+01 
 2.37814113e+01  6.85068373e+01 -8.73124152e+01 
 2.43298042e+01  6.83090005e+01 -8.73475391e+01 
 2.48908429e+01  6.81111575e+01 -8.73812654e+01 
 2.54648190e+01  6.79133087e+01 -8.74136335e+01 
 2.60520309e+01  6.77154546e+01 -8.74446701e+01 
 2.66527837e+01  6.75175954e+01 -8.74743709e+01 
 2.72673897e+01  6.73197314e+01 -8.75027711e+01 
 2.78961683e+01  6.71218630e+01 -8.75298660e+01 
 2.85394464e+01  6.69239905e+01 -8.75556794e+01 
 2.91975583e+01  6.67261142e+01 -8.75802247e+01 
 2.98708461e+01  6.65282346e+01 -8.76035319e+01 
 3.05596598e+01  6.63303516e+01 -8.76255521e+01 
 3.12643573e+01  6.61324658e+01 -8.76463832e+01 
 3.19853049e+01  6.59345773e+01 -8.76659678e+01 
 3.27228774e+01  6.57366864e+01 -8.76843411e+01 
 3.34774581e+01  6.55387934e+01 -8.77015135e+01 
 3.42494392e+01  6.53408986e+01 -8.77174935e+01 
 3.50392221e+01  6.51430022e+01 -8.77322743e+01 
 3.58472171e+01  6.49451046e+01 -8.77459011e+01 
 3.66738442e+01  6.47472058e+01 -8.77583367e+01 
 3.75195331e+01  6.45493063e+01 -8.77696169e+01 
 3.83847234e+01  6.43514062e+01 -8.77797468e+01 
 3.92698648e+01  6.41535058e+01 -8.77887114e+01 
 4.01754173e+01  6.39556053e+01 -8.77965357e+01 
 4.11018515e+01  6.37577050e+01 -8.78032043e+01 
 4.20496491e+01  6.35598051e+01 -8.78087401e+01 
 4.30193027e+01  6.33619059e+01 -8.78131393e+01 
 4.40113162e+01  6.31640077e+01 -8.78163924e+01 
 4.50262052e+01  6.29661106e+01 -8.78185193e+01 
 4.60644974e+01  6.27682150e+01 -8.78195207e+01 
 4.71267322e+01  6.25703209e+01 -8.78193689e+01 
 4.82134619e+01  6.23724289e+01 -8.78180980e+01 
 4.93252513e+01  6.21745392e+01 -8.78157062e+01 
 5.04626783e+01  6.19766519e+01 -8.78121610e+01 
 5.16263340e+01  6.17787674e+01 -8.78074971e+01 
 5.28168234e+01  6.15808860e+01 -8.78016766e+01 
 5.40347650e+01  6.13830079e+01 -8.77947121e+01 
 5.52807921e+01  6.11851334e+01 -8.77866194e+01 
 5.65555523e+01  6.09872628e+01 -8.77773655e+01 
 5.78597080e+01  6.07893965e+01 -8.77669511e+01 
 5.91939372e+01  6.05915348e+01 -8.77553935e+01 
 6.05589334e+01  6.03936780e+01 -8.77426686e+01 
 6.19554061e+01  6.01958264e+01 -8.77287658e+01 
 6.33840810e+01  5.99979803e+01 -8.77136908e+01 
 6.48457008e+01  5.98001402e+01 -8.76974277e+01 
 6.63410251e+01  5.96023064e+01 -8.76799722e+01 
 6.78708313e+01  5.94044792e+01 -8.76613075e+01 
 6.94359143e+01  5.92066593e+01 -8.76414246e+01 
 7.10370877e+01  5.90088468e+01 -8.76203247e+01 
