 frequency       v(L_dB)         v(L_arg)        v(Tmb_dB)       v(Tmb_arg)      v(Ttian_dB)     v(Ttian_arg)   
 1.54212228e-01  3.36471933e+01  1.17646302e+02  3.50777726e+01  2.41727690e+01  3.50768278e+01  2.41752298e+01 
 1.57768320e-01  3.39004232e+01  1.18131258e+02  3.51191176e+01  2.46386599e+01  3.51181768e+01  2.46410854e+01 
 1.61406415e-01  3.41558530e+01  1.18623578e+02  3.51619641e+01  2.51099790e+01  3.51610273e+01  2.51123698e+01 
 1.65128404e-01  3.44135571e+01  1.19123137e+02  3.52063508e+01  2.55865879e+01  3.52054178e+01  2.55889448e+01 
 1.68936220e-01  3.46736111e+01  1.19629798e+02  3.52523161e+01  2.60683363e+01  3.52513867e+01  2.60706598e+01 
 1.72831844e-01  3.49360931e+01  1.20143412e+02  3.52998979e+01  2.65550614e+01  3.52989720e+01  2.65573522e+01 
 1.76817299e-01  3.52010826e+01  1.20663819e+02  3.53491340e+01  2.70465882e+01  3.53482115e+01  2.70488470e+01 
 1.80894658e-01  3.54686613e+01  1.21190847e+02  3.54000616e+01  2.75427292e+01  3.53991424e+01  2.75449568e+01 
 1.85066040e-01  3.57389125e+01  1.21724311e+02  3.54527175e+01  2.80432842e+01  3.54518014e+01  2.80454812e+01 
 1.89333613e-01  3.60119218e+01  1.22264014e+02  3.55071375e+01  2.85480404e+01  3.55062245e+01  2.85502076e+01 
 1.93699595e-01  3.62877767e+01  1.22809746e+02  3.55633571e+01  2.90567724e+01  3.55624470e+01  2.90589105e+01 
 1.98166255e-01  3.65665668e+01  1.23361286e+02  3.56214104e+01  2.95692422e+01  3.56205032e+01  2.95713520e+01 
 2.02735916e-01  3.68483839e+01  1.23918399e+02  3.56813308e+01  3.00851992e+01  3.56804263e+01  3.00872814e+01 
 2.07410951e-01  3.71333222e+01  1.24480839e+02  3.57431506e+01  3.06043807e+01  3.57422487e+01  3.06064361e+01 
 2.12193792e-01  3.74214782e+01  1.25048347e+02  3.58069006e+01  3.11265117e+01  3.58060012e+01  3.11285410e+01 
 2.17086923e-01  3.77129509e+01  1.25620652e+02  3.58726106e+01  3.16513053e+01  3.58717137e+01  3.16533094e+01 
 2.22092889e-01  3.80078419e+01  1.26197470e+02  3.59403087e+01  3.21784633e+01  3.59394141e+01  3.21804427e+01 
 2.27214291e-01  3.83062560e+01  1.26778506e+02  3.60100216e+01  3.27076759e+01  3.60091292e+01  3.27096316e+01 
 2.32453791e-01  3.86083008e+01  1.27363454e+02  3.60817741e+01  3.32386228e+01  3.60808840e+01  3.32405555e+01 
