 frequency       v(Cinp)         v(Cinp)         v(Cinn)         v(Cinn)        
 1.00000000e+02  2.01562505e-14  0.00000000e+00  2.39521463e-14  0.00000000e+00 
 1.02305973e+02  1.97060417e-14  0.00000000e+00  2.35857940e-14  0.00000000e+00 
 1.04665121e+02  1.92660746e-14  0.00000000e+00  2.32204587e-14  0.00000000e+00 
 1.07078670e+02  1.88361204e-14  0.00000000e+00  2.28563123e-14  0.00000000e+00 
 1.09547876e+02  1.84159555e-14  0.00000000e+00  2.24935186e-14  0.00000000e+00 
 1.12074020e+02  1.80053614e-14  0.00000000e+00  2.21322469e-14  0.00000000e+00 
 1.14658417e+02  1.76041248e-14  0.00000000e+00  2.17726615e-14  0.00000000e+00 
 1.17302409e+02  1.72120369e-14  0.00000000e+00  2.14149290e-14  0.00000000e+00 
 1.20007371e+02  1.68288939e-14  0.00000000e+00  2.10592140e-14  0.00000000e+00 
 1.22774708e+02  1.64544965e-14  0.00000000e+00  2.07056649e-14  0.00000000e+00 
 1.25605860e+02  1.60886501e-14  0.00000000e+00  2.03544439e-14  0.00000000e+00 
 1.28502297e+02  1.57311643e-14  0.00000000e+00  2.00056968e-14  0.00000000e+00 
 1.31465525e+02  1.53818533e-14  0.00000000e+00  1.96595729e-14  0.00000000e+00 
 1.34497085e+02  1.50405353e-14  0.00000000e+00  1.93162083e-14  0.00000000e+00 
 1.37598551e+02  1.47070329e-14  0.00000000e+00  1.89757403e-14  0.00000000e+00 
 1.40771537e+02  1.43811726e-14  0.00000000e+00  1.86382968e-14  0.00000000e+00 
 1.44017690e+02  1.40627847e-14  0.00000000e+00  1.83040025e-14  0.00000000e+00 
 1.47338699e+02  1.37517038e-14  0.00000000e+00  1.79729709e-14  0.00000000e+00 
 1.50736290e+02  1.34477678e-14  0.00000000e+00  1.76453133e-14  0.00000000e+00 
 1.54212228e+02  1.31508187e-14  0.00000000e+00  1.73211344e-14  0.00000000e+00 
 1.57768320e+02  1.28607020e-14  0.00000000e+00  1.70005288e-14  0.00000000e+00 
 1.61406415e+02  1.25772665e-14  0.00000000e+00  1.66835882e-14  0.00000000e+00 
 1.65128404e+02  1.23003648e-14  0.00000000e+00  1.63703957e-14  0.00000000e+00 
 1.68936220e+02  1.20298528e-14  0.00000000e+00  1.60610261e-14  0.00000000e+00 
 1.72831844e+02  1.17655895e-14  0.00000000e+00  1.57555526e-14  0.00000000e+00 
 1.76817299e+02  1.15074373e-14  0.00000000e+00  1.54540385e-14  0.00000000e+00 
 1.80894658e+02  1.12552618e-14  0.00000000e+00  1.51565381e-14  0.00000000e+00 
 1.85066040e+02  1.10089315e-14  0.00000000e+00  1.48631038e-14  0.00000000e+00 
 1.89333613e+02  1.07683182e-14  0.00000000e+00  1.45737805e-14  0.00000000e+00 
 1.93699595e+02  1.05332963e-14  0.00000000e+00  1.42886054e-14  0.00000000e+00 
 1.98166255e+02  1.03037434e-14  0.00000000e+00  1.40076116e-14  0.00000000e+00 
 2.02735916e+02  1.00795398e-14  0.00000000e+00  1.37308262e-14  0.00000000e+00 
 2.07410951e+02  9.86056846e-15  0.00000000e+00  1.34582699e-14  0.00000000e+00 
 2.12193792e+02  9.64671512e-15  0.00000000e+00  1.31899590e-14  0.00000000e+00 
 2.17086923e+02  9.43786816e-15  0.00000000e+00  1.29259047e-14  0.00000000e+00 
 2.22092889e+02  9.23391849e-15  0.00000000e+00  1.26661132e-14  0.00000000e+00 
 2.27214291e+02  9.03475957e-15  0.00000000e+00  1.24105850e-14  0.00000000e+00 
 2.32453791e+02  8.84028729e-15  0.00000000e+00  1.21593179e-14  0.00000000e+00 
 2.37814113e+02  8.65039993e-15  0.00000000e+00  1.19123052e-14  0.00000000e+00 
 2.43298042e+02  8.46499813e-15  0.00000000e+00  1.16695362e-14  0.00000000e+00 
 2.48908429e+02  8.28398481e-15  0.00000000e+00  1.14309921e-14  0.00000000e+00 
 2.54648190e+02  8.10726513e-15  0.00000000e+00  1.11966593e-14  0.00000000e+00 
 2.60520309e+02  7.93474643e-15  0.00000000e+00  1.09665147e-14  0.00000000e+00 
 2.66527837e+02  7.76633818e-15  0.00000000e+00  1.07405330e-14  0.00000000e+00 
 2.72673897e+02  7.60195192e-15  0.00000000e+00  1.05186879e-14  0.00000000e+00 
 2.78961683e+02  7.44150126e-15  0.00000000e+00  1.03009462e-14  0.00000000e+00 
 2.85394464e+02  7.28490174e-15  0.00000000e+00  1.00872790e-14  0.00000000e+00 
 2.91975583e+02  7.13207089e-15  0.00000000e+00  9.87764731e-15  0.00000000e+00 
 2.98708461e+02  6.98292810e-15  0.00000000e+00  9.67201645e-15  0.00000000e+00 
 3.05596598e+02  6.83739460e-15  0.00000000e+00  9.47034813e-15  0.00000000e+00 
 3.12643573e+02  6.69539344e-15  0.00000000e+00  9.27259939e-15  0.00000000e+00 
 3.19853049e+02  6.55684942e-15  0.00000000e+00  9.07872876e-15  0.00000000e+00 
 3.27228774e+02  6.42168904e-15  0.00000000e+00  8.88869120e-15  0.00000000e+00 
 3.34774581e+02  6.28984047e-15  0.00000000e+00  8.70244338e-15  0.00000000e+00 
 3.42494392e+02  6.16123352e-15  0.00000000e+00  8.51993802e-15  0.00000000e+00 
 3.50392221e+02  6.03579958e-15  0.00000000e+00  8.34112812e-15  0.00000000e+00 
 3.58472171e+02  5.91347158e-15  0.00000000e+00  8.16596479e-15  0.00000000e+00 
 3.66738442e+02  5.79418396e-15  0.00000000e+00  7.99439951e-15  0.00000000e+00 
 3.75195331e+02  5.67787263e-15  0.00000000e+00  7.82638291e-15  0.00000000e+00 
 3.83847234e+02  5.56447490e-15  0.00000000e+00  7.66186475e-15  0.00000000e+00 
 3.92698648e+02  5.45392951e-15  0.00000000e+00  7.50079478e-15  0.00000000e+00 
 4.01754173e+02  5.34617651e-15  0.00000000e+00  7.34312151e-15  0.00000000e+00 
 4.11018515e+02  5.24115729e-15  0.00000000e+00  7.18879298e-15  0.00000000e+00 
 4.20496491e+02  5.13881450e-15  0.00000000e+00  7.03776065e-15  0.00000000e+00 
 4.30193027e+02  5.03909204e-15  0.00000000e+00  6.88997051e-15  0.00000000e+00 
 4.40113162e+02  4.94193501e-15  0.00000000e+00  6.74537212e-15  0.00000000e+00 
 4.50262052e+02  4.84728968e-15  0.00000000e+00  6.60391415e-15  0.00000000e+00 
 4.60644974e+02  4.75510346e-15  0.00000000e+00  6.46554519e-15  0.00000000e+00 
 4.71267322e+02  4.66532485e-15  0.00000000e+00  6.33021429e-15  0.00000000e+00 
 4.82134619e+02  4.57790343e-15  0.00000000e+00  6.19787050e-15  0.00000000e+00 
 4.93252513e+02  4.49278980e-15  0.00000000e+00  6.06846342e-15  0.00000000e+00 
 5.04626783e+02  4.40993559e-15  0.00000000e+00  5.94194224e-15  0.00000000e+00 
 5.16263340e+02  4.32929337e-15  0.00000000e+00  5.81825778e-15  0.00000000e+00 
 5.28168234e+02  4.25081666e-15  0.00000000e+00  5.69736052e-15  0.00000000e+00 
 5.40347650e+02  4.17445990e-15  0.00000000e+00  5.57920253e-15  0.00000000e+00 
 5.52807921e+02  4.10017841e-15  0.00000000e+00  5.46373228e-15  0.00000000e+00 
 5.65555523e+02  4.02792834e-15  0.00000000e+00  5.35090513e-15  0.00000000e+00 
 5.78597080e+02  3.95766667e-15  0.00000000e+00  5.24067109e-15  0.00000000e+00 
 5.91939372e+02  3.88935120e-15  0.00000000e+00  5.13298413e-15  0.00000000e+00 
 6.05589334e+02  3.82294047e-15  0.00000000e+00  5.02779763e-15  0.00000000e+00 
 6.19554061e+02  3.75839375e-15  0.00000000e+00  4.92506612e-15  0.00000000e+00 
 6.33840810e+02  3.69567107e-15  0.00000000e+00  4.82474323e-15  0.00000000e+00 
 6.48457008e+02  3.63473312e-15  0.00000000e+00  4.72678623e-15  0.00000000e+00 
 6.63410251e+02  3.57554125e-15  0.00000000e+00  4.63114946e-15  0.00000000e+00 
 6.78708313e+02  3.51805749e-15  0.00000000e+00  4.53778970e-15  0.00000000e+00 
 6.94359143e+02  3.46224445e-15  0.00000000e+00  4.44666481e-15  0.00000000e+00 
 7.10370877e+02  3.40806538e-15  0.00000000e+00  4.35773227e-15  0.00000000e+00 
 7.26751838e+02  3.35548409e-15  0.00000000e+00  4.27094999e-15  0.00000000e+00 
 7.43510539e+02  3.30446496e-15  0.00000000e+00  4.18627768e-15  0.00000000e+00 
 7.60655691e+02  3.25497293e-15  0.00000000e+00  4.10367506e-15  0.00000000e+00 
 7.78196206e+02  3.20697344e-15  0.00000000e+00  4.02310227e-15  0.00000000e+00 
 7.96141200e+02  3.16043247e-15  0.00000000e+00  3.94452079e-15  0.00000000e+00 
