 time            v(clk)          v(vinp)         v(vinn)         v(vs)           v(vcpp)         v(vcpn)         v(voutp_comp)   v(voutn_comp)   v(vout)        
 3.68786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.79589793e-01  1.35532965e+00  1.34220418e+00 -1.16610439e-01 -1.15967493e-01  6.60460170e-07 
 3.72786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.80522578e-01  1.35343294e+00  1.34010630e+00 -1.16759753e-01 -1.16113310e-01 -3.78119545e-07 
 3.76786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.82836584e-01  1.35157834e+00  1.33805335e+00 -1.16828298e-01 -1.16179037e-01  6.40579179e-07 
 3.80786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.83725464e-01  1.34975928e+00  1.33603927e+00 -1.16966982e-01 -1.16315672e-01 -3.58524710e-07 
 3.84786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.85965863e-01  1.34797980e+00  1.33406743e+00 -1.17027173e-01 -1.16374530e-01  6.21287295e-07 
 3.88786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.86813931e-01  1.34623347e+00  1.33213190e+00 -1.17155381e-01 -1.16502217e-01 -3.39547618e-07 
 3.92786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.88984295e-01  1.34452440e+00  1.33023613e+00 -1.17207271e-01 -1.16554342e-01  6.02633529e-07 
 3.96786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.89794354e-01  1.34284631e+00  1.32837433e+00 -1.17325125e-01 -1.16673284e-01 -3.21222442e-07 
 4.00786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.91898028e-01  1.34120333e+00  1.32655003e+00 -1.17368737e-01 -1.16718785e-01  5.84640057e-07 
 4.04786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.92672634e-01  1.33958934e+00  1.32475753e+00 -1.17476328e-01 -1.16829160e-01 -3.03561570e-07 
 4.08786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.94712749e-01  1.33800851e+00  1.32300045e+00 -1.17511660e-01 -1.16868123e-01  5.67311438e-07 
 4.12786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.95454236e-01  1.33645483e+00  1.32127320e+00 -1.17609051e-01 -1.16970087e-01 -2.86563404e-07 
 4.16786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.97433720e-01  1.33493251e+00  1.31957943e+00 -1.17636077e-01 -1.17002579e-01  5.50641176e-07 
 4.20786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.98144229e-01  1.33343565e+00  1.31791368e+00 -1.17723306e-01 -1.17096263e-01 -2.70217523e-07 
 4.24786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.00065825e-01  1.33196848e+00  1.31627963e+00 -1.17741979e-01 -1.17122332e-01  5.34615770e-07 
 4.28786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.00747325e-01  1.33052523e+00  1.31467192e+00 -1.17819063e-01 -1.17207851e-01 -2.54508087e-07 
 4.32786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.02613601e-01  1.32911013e+00  1.31309427e+00 -1.17829319e-01 -1.17227532e-01  5.19217617e-07 
 4.36786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.03267905e-01  1.32771751e+00  1.31154141e+00 -1.17896254e-01 -1.17304981e-01 -2.39416139e-07 
 4.40786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.05081269e-01  1.32635162e+00  1.31001709e+00 -1.17898011e-01 -1.17318293e-01  5.04426758e-07 
 4.44786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.05710051e-01  1.32500689e+00  1.30851613e+00 -1.17954776e-01 -1.17387754e-01 -2.24921018e-07 
 4.48786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.07472762e-01  1.32368756e+00  1.30704230e+00 -1.17947939e-01 -1.17394707e-01  4.90222098e-07 
 4.52786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.08077571e-01  1.32238817e+00  1.30559050e+00 -1.17994498e-01 -1.17456248e-01 -2.11001376e-07 
 4.56786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.09791752e-01  1.32111295e+00  1.30416450e+00 -1.17978959e-01 -1.17456838e-01  4.76582141e-07 
 4.60786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.10374021e-01  1.31985654e+00  1.30275932e+00 -1.18015259e-01 -1.17510514e-01 -1.97635695e-07 
 4.64786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.12041670e-01  1.31862316e+00  1.30137872e+00 -1.17990900e-01 -1.17504731e-01  4.63485477e-07 
