 frequency       v(Tmb_dB)       v(Tmb_arg)     
 1.54212228e+00  4.74906338e+01  5.16429782e+01 
 1.57768320e+00  4.76426803e+01  5.13380877e+01 
 1.61406415e+00  4.77935882e+01  5.10202478e+01 
 1.65128404e+00  4.79433050e+01  5.06896134e+01 
 1.68936220e+00  4.80917786e+01  5.03463497e+01 
 1.72831844e+00  4.82389575e+01  4.99906318e+01 
 1.76817299e+00  4.83847904e+01  4.96226449e+01 
 1.80894658e+00  4.85292272e+01  4.92425844e+01 
 1.85066040e+00  4.86722180e+01  4.88506563e+01 
 1.89333613e+00  4.88137141e+01  4.84470766e+01 
 1.93699595e+00  4.89536674e+01  4.80320721e+01 
 1.98166255e+00  4.90920309e+01  4.76058799e+01 
 2.02735916e+00  4.92287586e+01  4.71687474e+01 
 2.07410951e+00  4.93638058e+01  4.67209323e+01 
 2.12193792e+00  4.94971290e+01  4.62627022e+01 
 2.17086923e+00  4.96286859e+01  4.57943348e+01 
 2.22092889e+00  4.97584358e+01  4.53161175e+01 
 2.27214291e+00  4.98863396e+01  4.48283466e+01 
 2.32453791e+00  5.00123596e+01  4.43313282e+01 
 2.37814113e+00  5.01364600e+01  4.38253761e+01 
 2.43298042e+00  5.02586069e+01  4.33108131e+01 
 2.48908429e+00  5.03787680e+01  4.27879689e+01 
 2.54648190e+00  5.04969133e+01  4.22571810e+01 
 2.60520309e+00  5.06130147e+01  4.17187928e+01 
 2.66527837e+00  5.07270463e+01  4.11731541e+01 
 2.72673897e+00  5.08389844e+01  4.06206197e+01 
 2.78961683e+00  5.09488076e+01  4.00615486e+01 
 2.85394464e+00  5.10564967e+01  3.94963040e+01 
 2.91975583e+00  5.11620351e+01  3.89252517e+01 
 2.98708461e+00  5.12654083e+01  3.83487595e+01 
 3.05596598e+00  5.13666045e+01  3.77671970e+01 
 3.12643573e+00  5.14656142e+01  3.71809334e+01 
 3.19853049e+00  5.15624304e+01  3.65903383e+01 
 3.27228774e+00  5.16570487e+01  3.59957790e+01 
 3.34774581e+00  5.17494669e+01  3.53976215e+01 
 3.42494392e+00  5.18396854e+01  3.47962280e+01 
 3.50392221e+00  5.19277071e+01  3.41919571e+01 
 3.58472171e+00  5.20135370e+01  3.35851621e+01 
 3.66738442e+00  5.20971828e+01  3.29761911e+01 
 3.75195331e+00  5.21786541e+01  3.23653854e+01 
 3.83847234e+00  5.22579629e+01  3.17530791e+01 
 3.92698648e+00  5.23351234e+01  3.11395983e+01 
 4.01754173e+00  5.24101517e+01  3.05252601e+01 
 4.11018515e+00  5.24830661e+01  2.99103726e+01 
 4.20496491e+00  5.25538865e+01  2.92952334e+01 
 4.30193027e+00  5.26226349e+01  2.86801298e+01 
 4.40113162e+00  5.26893347e+01  2.80653377e+01 
 4.50262052e+00  5.27540110e+01  2.74511214e+01 
 4.60644974e+00  5.28166905e+01  2.68377332e+01 
 4.71267322e+00  5.28774010e+01  2.62254129e+01 
 4.82134619e+00  5.29361719e+01  2.56143876e+01 
 4.93252513e+00  5.29930333e+01  2.50048711e+01 
 5.04626783e+00  5.30480166e+01  2.43970642e+01 
 5.16263340e+00  5.31011542e+01  2.37911541e+01 
 5.28168234e+00  5.31524789e+01  2.31873148e+01 
 5.40347650e+00  5.32020244e+01  2.25857062e+01 
 5.52807921e+00  5.32498251e+01  2.19864751e+01 
 5.65555523e+00  5.32959156e+01  2.13897543e+01 
 5.78597080e+00  5.33403310e+01  2.07956633e+01 
 5.91939372e+00  5.33831064e+01  2.02043082e+01 
 6.05589334e+00  5.34242772e+01  1.96157817e+01 
 6.19554061e+00  5.34638790e+01  1.90301638e+01 
 6.33840810e+00  5.35019470e+01  1.84475211e+01 
 6.48457008e+00  5.35385164e+01  1.78679083e+01 
 6.63410251e+00  5.35736223e+01  1.72913670e+01 
 6.78708313e+00  5.36072992e+01  1.67179274e+01 
