 v-sweep         v(vout_comp)    v(vinp)         v(vinn)         v(dvout_comp)  
 7.50248000e-01  2.85302995e-09  7.50248000e-01  7.50000000e-01  7.60897865e-05 
 7.50249000e-01  2.93013427e-09  7.50249000e-01  7.50000000e-01  7.81462416e-05 
 7.50250000e-01  3.00932238e-09  7.50250000e-01  7.50000000e-01  8.02581353e-05 
 7.50251000e-01  3.09065051e-09  7.50251000e-01  7.50000000e-01  8.24270373e-05 
 7.50252000e-01  3.17417657e-09  7.50252000e-01  7.50000000e-01  8.46547360e-05 
 7.50253000e-01  3.25996000e-09  7.50253000e-01  7.50000000e-01  8.69425870e-05 
 7.50254000e-01  3.34806166e-09  7.50254000e-01  7.50000000e-01  8.92922096e-05 
 7.50255000e-01  3.43854437e-09  7.50255000e-01  7.50000000e-01  9.17054029e-05 
 7.50256000e-01  3.53147244e-09  7.50256000e-01  7.50000000e-01  9.41837923e-05 
 7.50257000e-01  3.62691194e-09  7.50257000e-01  7.50000000e-01  9.67291695e-05 
 7.50258000e-01  3.72493080e-09  7.50258000e-01  7.50000000e-01  9.93431866e-05 
 7.50259000e-01  3.82559837e-09  7.50259000e-01  7.50000000e-01  1.02027973e-04 
 7.50260000e-01  3.92898683e-09  7.50260000e-01  7.50000000e-01  1.04785476e-04 
 7.50261000e-01  4.03516929e-09  7.50261000e-01  7.50000000e-01  1.07617267e-04 
 7.50262000e-01  4.14422136e-09  7.50262000e-01  7.50000000e-01  1.10525612e-04 
 7.50263000e-01  4.25622054e-09  7.50263000e-01  7.50000000e-01  1.13512686e-04 
 7.50264000e-01  4.37124663e-09  7.50264000e-01  7.50000000e-01  1.16580457e-04 
 7.50265000e-01  4.48938138e-09  7.50265000e-01  7.50000000e-01  1.19730951e-04 
 7.50266000e-01  4.61070867e-09  7.50266000e-01  7.50000000e-01  1.22966797e-04 
 7.50267000e-01  4.73531498e-09  7.50267000e-01  7.50000000e-01  1.26290184e-04 
 7.50268000e-01  4.86328889e-09  7.50268000e-01  7.50000000e-01  1.29703099e-04 
 7.50269000e-01  4.99472125e-09  7.50269000e-01  7.50000000e-01  1.33208218e-04 
 7.50270000e-01  5.12970544e-09  7.50270000e-01  7.50000000e-01  1.36808322e-04 
 7.50271000e-01  5.26833786e-09  7.50271000e-01  7.50000000e-01  1.40505707e-04 
 7.50272000e-01  5.41071686e-09  7.50272000e-01  7.50000000e-01  1.44302881e-04 
 7.50273000e-01  5.55694366e-09  7.50273000e-01  7.50000000e-01  1.48202780e-04 
 7.50274000e-01  5.70712229e-09  7.50274000e-01  7.50000000e-01  1.52207955e-04 
 7.50275000e-01  5.86135949e-09  7.50275000e-01  7.50000000e-01  1.56321400e-04 
 7.50276000e-01  6.01976505e-09  7.50276000e-01  7.50000000e-01  1.60546102e-04 
 7.50277000e-01  6.18245169e-09  7.50277000e-01  7.50000000e-01  1.64884933e-04 
 7.50278000e-01  6.34953497e-09  7.50278000e-01  7.50000000e-01  1.69340920e-04 
 7.50279000e-01  6.52113364e-09  7.50279000e-01  7.50000000e-01  1.73917435e-04 
 7.50280000e-01  6.69737000e-09  7.50280000e-01  7.50000000e-01  1.78617806e-04 
 7.50281000e-01  6.87836921e-09  7.50281000e-01  7.50000000e-01  1.83444950e-04 
 7.50282000e-01  7.06425991e-09  7.50282000e-01  7.50000000e-01  1.88402588e-04 
 7.50283000e-01  7.25517445e-09  7.50283000e-01  7.50000000e-01  1.93494322e-04 
 7.50284000e-01  7.45124839e-09  7.50284000e-01  7.50000000e-01  1.98723529e-04 
 7.50285000e-01  7.65262140e-09  7.50285000e-01  7.50000000e-01  2.04094047e-04 
 7.50286000e-01  7.85943644e-09  7.50286000e-01  7.50000000e-01  2.09609709e-04 
 7.50287000e-01  8.07184084e-09  7.50287000e-01  7.50000000e-01  2.15274598e-04 
 7.50288000e-01  8.28998572e-09  7.50288000e-01  7.50000000e-01  2.21092636e-04 
 7.50289000e-01  8.51402593e-09  7.50289000e-01  7.50000000e-01  2.27067667e-04 
 7.50290000e-01  8.74412094e-09  7.50290000e-01  7.50000000e-01  2.33204032e-04 
 7.50291000e-01  8.98043430e-09  7.50291000e-01  7.50000000e-01  2.39506643e-04 
 7.50292000e-01  9.22313425e-09  7.50292000e-01  7.50000000e-01  2.45979507e-04 
 7.50293000e-01  9.47239305e-09  7.50293000e-01  7.50000000e-01  2.52627005e-04 
