 frequency       v(inoise_spectrum) v(onoise_spectrum)
 4.28091696e+02  1.23352564e-07  1.21012382e-05 
 4.37963375e+02  1.22964334e-07  1.20608979e-05 
 4.48062692e+02  1.22583838e-07  1.20212266e-05 
 4.58394897e+02  1.22210936e-07  1.19822068e-05 
 4.68965359e+02  1.21845493e-07  1.19438207e-05 
 4.79779574e+02  1.21487375e-07  1.19060506e-05 
 4.90843161e+02  1.21136450e-07  1.18688789e-05 
 5.02161872e+02  1.20792586e-07  1.18322878e-05 
 5.13741589e+02  1.20455657e-07  1.17962597e-05 
 frequency       v(inoise_spectrum) v(onoise_spectrum)
 3.00000000e-01  1.01207886e-05  7.01662187e-04 
 3.06917919e-01  9.88846830e-06  6.93397383e-04 
 3.13995363e-01  9.66186636e-06  6.85079264e-04 
 3.21236011e-01  9.44083291e-06  6.76712237e-04 
 3.28643627e-01  9.22522230e-06  6.68300868e-04 
 3.36222060e-01  9.01489303e-06  6.59849867e-04 
 3.43975250e-01  8.80970759e-06  6.51364072e-04 
 3.51907227e-01  8.60953235e-06  6.42848427e-04 
 3.60022112e-01  8.41423743e-06  6.34307968e-04 
 3.68324125e-01  8.22369660e-06  6.25747801e-04 
 3.76817580e-01  8.03778716e-06  6.17173085e-04 
 3.85506891e-01  7.85638981e-06  6.08589011e-04 
 3.94396576e-01  7.67938860e-06  6.00000788e-04 
 4.03491254e-01  7.50667077e-06  5.91413619e-04 
 4.12795654e-01  7.33812668e-06  5.82832687e-04 
 4.22314610e-01  7.17364973e-06  5.74263136e-04 
 4.32053071e-01  7.01313623e-06  5.65710056e-04 
 4.42016098e-01  6.85648534e-06  5.57178465e-04 
 4.52208870e-01  6.70359899e-06  5.48673295e-04 
 4.62636684e-01  6.55438178e-06  5.40199377e-04 
 4.73304961e-01  6.40874089e-06  5.31761430e-04 
 4.84219246e-01  6.26658604e-06  5.23364047e-04 
 4.95385211e-01  6.12782938e-06  5.15011683e-04 
 5.06808660e-01  5.99238543e-06  5.06708647e-04 
 5.18495531e-01  5.86017102e-06  4.98459092e-04 
 5.30451897e-01  5.73110520e-06  4.90267007e-04 
 5.42683975e-01  5.60510921e-06  4.82136213e-04 
 5.55198121e-01  5.48210637e-06  4.74070352e-04 
 5.68000839e-01  5.36202205e-06  4.66072887e-04 
 5.81098785e-01  5.24478361e-06  4.58147098e-04 
 5.94498766e-01  5.13032032e-06  4.50296076e-04 
 6.08207747e-01  5.01856334e-06  4.42522727e-04 
 6.22232854e-01  4.90944562e-06  4.34829766e-04 
 6.36581375e-01  4.80290190e-06  4.27219720e-04 
 6.51260770e-01  4.69886862e-06  4.19694930e-04 
 6.66278667e-01  4.59728389e-06  4.12257548e-04 
 6.81642873e-01  4.49808741e-06  4.04909547e-04 
 6.97361374e-01  4.40122049e-06  3.97652715e-04 
 7.13442338e-01  4.30662593e-06  3.90488666e-04 
 7.29894126e-01  4.21424805e-06  3.83418841e-04 
 7.46725287e-01  4.12403257e-06  3.76444512e-04 
 7.63944571e-01  4.03592664e-06  3.69566787e-04 
 7.81560926e-01  3.94987876e-06  3.62786617e-04 
 7.99583510e-01  3.86583876e-06  3.56104799e-04 
 8.18021690e-01  3.78375773e-06  3.49521984e-04 
 8.36885049e-01  3.70358805e-06  3.43038681e-04 
 8.56183392e-01  3.62528329e-06  3.36655264e-04 
 8.75926750e-01  3.54879820e-06  3.30371977e-04 
 8.96125384e-01  3.47408869e-06  3.24188942e-04 
 9.16789793e-01  3.40111179e-06  3.18106164e-04 
 9.37930718e-01  3.32982562e-06  3.12123535e-04 
 9.59559147e-01  3.26018933e-06  3.06240845e-04 
 9.81686322e-01  3.19216313e-06  3.00457784e-04 
 1.00432374e+00  3.12570823e-06  2.94773948e-04 
 1.02748318e+00  3.06078678e-06  2.89188849e-04 
 1.05117666e+00  2.99736192e-06  2.83701914e-04 
 1.07541651e+00  2.93539769e-06  2.78312496e-04 
 1.10021533e+00  2.87485902e-06  2.73019877e-04 
 1.12558599e+00  2.81571174e-06  2.67823275e-04 
 1.15154170e+00  2.75792250e-06  2.62721846e-04 
 1.17809594e+00  2.70145879e-06  2.57714690e-04 
 1.20526252e+00  2.64628891e-06  2.52800859e-04 
 1.23305555e+00  2.59238195e-06  2.47979357e-04 
 1.26148947e+00  2.53970774e-06  2.43249144e-04 
 1.29057908e+00  2.48823687e-06  2.38609146e-04 
 1.32033949e+00  2.43794065e-06  2.34058253e-04 
 1.35078616e+00  2.38879110e-06  2.29595323e-04 
 1.38193492e+00  2.34076091e-06  2.25219191e-04 
 1.41380197e+00  2.29382346e-06  2.20928665e-04 
 1.44640386e+00  2.24795277e-06  2.16722534e-04 
 1.47975754e+00  2.20312349e-06  2.12599570e-04 
 1.51388035e+00  2.15931090e-06  2.08558530e-04 
 1.54879002e+00  2.11649087e-06  2.04598160e-04 
 1.58450470e+00  2.07463986e-06  2.00717196e-04 
 1.62104295e+00  2.03373491e-06  1.96914365e-04 
 1.65842376e+00  1.99375361e-06  1.93188393e-04 
 1.69666657e+00  1.95467409e-06  1.89537999e-04 
 1.73579124e+00  1.91647500e-06  1.85961905e-04 
 1.77581812e+00  1.87913554e-06  1.82458830e-04 
 1.81676800e+00  1.84263538e-06  1.79027499e-04 
 1.85866218e+00  1.80695468e-06  1.75666637e-04 
 1.90152243e+00  1.77207410e-06  1.72374978e-04 
 1.94537102e+00  1.73797474e-06  1.69151261e-04 
 1.99023075e+00  1.70463818e-06  1.65994232e-04 
 2.03612494e+00  1.67204642e-06  1.62902647e-04 
 2.08307743e+00  1.64018191e-06  1.59875272e-04 
 2.13111263e+00  1.60902749e-06  1.56910883e-04 
 2.18025551e+00  1.57856646e-06  1.54008269e-04 
 2.23053162e+00  1.54878247e-06  1.51166228e-04 
 2.28196707e+00  1.51965959e-06  1.48383576e-04 
 2.33458862e+00  1.49118227e-06  1.45659138e-04 
 2.38842360e+00  1.46333531e-06  1.42991757e-04 
 2.44350000e+00  1.43610389e-06  1.40380287e-04 
 2.49984645e+00  1.40947355e-06  1.37823600e-04 
 2.55749224e+00  1.38343016e-06  1.35320582e-04 
 2.61646732e+00  1.35795992e-06  1.32870135e-04 
 2.67680235e+00  1.33304939e-06  1.30471177e-04 
 2.73852868e+00  1.30868541e-06  1.28122643e-04 
 2.80167842e+00  1.28485517e-06  1.25823483e-04 
 2.86628436e+00  1.26154613e-06  1.23572665e-04 
 2.93238011e+00  1.23874608e-06  1.21369172e-04 
 3.00000000e+00  1.21644308e-06  1.19212006e-04 
 3.06917919e+00  1.19462547e-06  1.17100184e-04 
 3.13995363e+00  1.17328190e-06  1.15032741e-04 
 3.21236011e+00  1.15240124e-06  1.13008728e-04 
 3.28643627e+00  1.13197267e-06  1.11027214e-04 
 3.36222060e+00  1.11198560e-06  1.09087283e-04 
 3.43975250e+00  1.09242970e-06  1.07188037e-04 
 3.51907227e+00  1.07329488e-06  1.05328596e-04 
 3.60022112e+00  1.05457130e-06  1.03508092e-04 
 3.68324125e+00  1.03624934e-06  1.01725679e-04 
 3.76817580e+00  1.01831963e-06  9.99805244e-05 
 3.85506891e+00  1.00077301e-06  9.82718112e-05 
 3.94396576e+00  9.83600520e-07  9.65987397e-05 
 4.03491254e+00  9.66793444e-07  9.49605258e-05 
 4.12795654e+00  9.50343257e-07  9.33564009e-05 
 4.22314610e+00  9.34241639e-07  9.17856120e-05 
 4.32053071e+00  9.18480469e-07  9.02474215e-05 
 4.42016098e+00  9.03051820e-07  8.87411068e-05 
