 time            v(Vcmfb)        v(Voutp)        v(Voutn)       
 2.40494335e-05  8.18092758e-01  6.00000000e-01  8.00000000e-01 
 2.40968177e-05  8.18099212e-01  6.00000000e-01  8.00000000e-01 
 2.41915860e-05  8.18092986e-01  6.00000000e-01  8.00000000e-01 
 2.43811227e-05  8.18099717e-01  6.00000000e-01  8.00000000e-01 
 2.47601961e-05  8.18093986e-01  6.00000000e-01  8.00000000e-01 
 2.55183428e-05  8.18101736e-01  6.00000000e-01  8.00000000e-01 
 2.70346362e-05  8.18098029e-01  6.00000000e-01  8.00000000e-01 
 3.00672231e-05  8.18109831e-01  6.00000000e-01  8.00000000e-01 
 3.18750100e-05  8.18106644e-01  6.00000000e-01  8.00000000e-01 
 3.18750110e-05  8.17641052e-01  6.00000000e-01  8.00000000e-01 
 3.18750130e-05  8.16864205e-01  6.00000000e-01  8.00000000e-01 
 3.18750170e-05  8.15818397e-01  6.00000000e-01  8.00000000e-01 
 3.18750200e-05  8.15147868e-01  6.00000000e-01  8.00000000e-01 
 3.18750205e-05  8.15128087e-01  6.00000000e-01  8.00000000e-01 
 3.18750214e-05  8.15105599e-01  6.00000000e-01  8.00000000e-01 
 3.18750232e-05  8.15069320e-01  6.00000000e-01  8.00000000e-01 
 3.18750268e-05  8.14998426e-01  6.00000000e-01  8.00000000e-01 
 3.18750340e-05  8.14889189e-01  6.00000000e-01  8.00000000e-01 
 3.18750484e-05  8.14775812e-01  6.00000000e-01  8.00000000e-01 
 3.18750773e-05  8.14898026e-01  6.00000000e-01  8.00000000e-01 
 3.18751351e-05  8.15745044e-01  6.00000000e-01  8.00000000e-01 
 3.18751941e-05  8.16145601e-01  6.00000000e-01  8.00000000e-01 
 3.18752783e-05  8.16349890e-01  6.00000000e-01  8.00000000e-01 
 3.18753860e-05  8.16397913e-01  6.00000000e-01  8.00000000e-01 
 3.18755434e-05  8.16397678e-01  6.00000000e-01  8.00000000e-01 
 3.18756943e-05  8.16398291e-01  6.00000000e-01  8.00000000e-01 
 3.18759961e-05  8.16397609e-01  6.00000000e-01  8.00000000e-01 
 3.18765997e-05  8.16398299e-01  6.00000000e-01  8.00000000e-01 
 3.18778069e-05  8.16397607e-01  6.00000000e-01  8.00000000e-01 
 3.18802213e-05  8.16398300e-01  6.00000000e-01  8.00000000e-01 
 3.18850501e-05  8.16397607e-01  6.00000000e-01  8.00000000e-01 
 3.18947077e-05  8.16398301e-01  6.00000000e-01  8.00000000e-01 
 3.19140229e-05  8.16397608e-01  6.00000000e-01  8.00000000e-01 
 3.19526532e-05  8.16398304e-01  6.00000000e-01  8.00000000e-01 
 3.20000000e-05  8.16397613e-01  6.00000000e-01  8.00000000e-01 
 3.20000010e-05  8.16400981e-01  6.00000000e-01  8.00000000e-01 
 3.20000030e-05  8.16406630e-01  6.00000000e-01  8.00000000e-01 
 3.20000070e-05  8.16417030e-01  6.00000000e-01  8.00000000e-01 
 3.20000100e-05  8.16423815e-01  6.00000000e-01  8.00000000e-01 
 3.20000107e-05  8.16423000e-01  6.00000000e-01  8.00000000e-01 
 3.20000120e-05  8.16421775e-01  6.00000000e-01  8.00000000e-01 
 3.20000146e-05  8.16419517e-01  6.00000000e-01  8.00000000e-01 
 3.20000191e-05  8.16415262e-01  6.00000000e-01  8.00000000e-01 
 3.20000283e-05  8.16406348e-01  6.00000000e-01  8.00000000e-01 
 3.20000391e-05  8.16395818e-01  6.00000000e-01  8.00000000e-01 
 3.20000511e-05  8.16389603e-01  6.00000000e-01  8.00000000e-01 
 3.20000751e-05  8.16387960e-01  6.00000000e-01  8.00000000e-01 
 3.20001063e-05  8.16391670e-01  6.00000000e-01  8.00000000e-01 
 3.20001398e-05  8.16394694e-01  6.00000000e-01  8.00000000e-01 
 3.20001895e-05  8.16396900e-01  6.00000000e-01  8.00000000e-01 
 3.20002890e-05  8.16398001e-01  6.00000000e-01  8.00000000e-01 
 3.20004879e-05  8.16398042e-01  6.00000000e-01  8.00000000e-01 
 3.20006746e-05  8.16397949e-01  6.00000000e-01  8.00000000e-01 
 3.20009339e-05  8.16397992e-01  6.00000000e-01  8.00000000e-01 
 3.20012288e-05  8.16397935e-01  6.00000000e-01  8.00000000e-01 
 3.20017395e-05  8.16397986e-01  6.00000000e-01  8.00000000e-01 
 3.20025174e-05  8.16397935e-01  6.00000000e-01  8.00000000e-01 
 3.20040731e-05  8.16397986e-01  6.00000000e-01  8.00000000e-01 
 3.20071845e-05  8.16397935e-01  6.00000000e-01  8.00000000e-01 
 3.20134073e-05  8.16397987e-01  6.00000000e-01  8.00000000e-01 
 3.20258529e-05  8.16397936e-01  6.00000000e-01  8.00000000e-01 
 3.20507441e-05  8.16397989e-01  6.00000000e-01  8.00000000e-01 
 3.21005265e-05  8.16397941e-01  6.00000000e-01  8.00000000e-01 
 3.22000913e-05  8.16397998e-01  6.00000000e-01  8.00000000e-01 
 3.23992209e-05  8.16397960e-01  6.00000000e-01  8.00000000e-01 
 3.27974801e-05  8.16398035e-01  6.00000000e-01  8.00000000e-01 
 3.35939986e-05  8.16398034e-01  6.00000000e-01  8.00000000e-01 
 3.51870355e-05  8.16398184e-01  6.00000000e-01  8.00000000e-01 
 3.83731094e-05  8.16398330e-01  6.00000000e-01  8.00000000e-01 
 3.98750100e-05  8.16398475e-01  6.00000000e-01  8.00000000e-01 
 3.98750110e-05  8.16392480e-01  6.00000000e-01  8.00000000e-01 
 3.98750130e-05  8.16381832e-01  6.00000000e-01  8.00000000e-01 
 3.98750170e-05  8.16367773e-01  6.00000000e-01  8.00000000e-01 
 3.98750200e-05  8.16360650e-01  6.00000000e-01  8.00000000e-01 
 3.98750206e-05  8.16361830e-01  6.00000000e-01  8.00000000e-01 
 3.98750217e-05  8.16363470e-01  6.00000000e-01  8.00000000e-01 
 3.98750241e-05  8.16366221e-01  6.00000000e-01  8.00000000e-01 
 3.98750287e-05  8.16371358e-01  6.00000000e-01  8.00000000e-01 
 3.98750380e-05  8.16379385e-01  6.00000000e-01  8.00000000e-01 
 3.98750565e-05  8.16390887e-01  6.00000000e-01  8.00000000e-01 
 3.98750902e-05  8.16404257e-01  6.00000000e-01  8.00000000e-01 
 3.98751321e-05  8.16408682e-01  6.00000000e-01  8.00000000e-01 
 3.98751761e-05  8.16406160e-01  6.00000000e-01  8.00000000e-01 
 3.98752480e-05  8.16401666e-01  6.00000000e-01  8.00000000e-01 
 3.98753226e-05  8.16399177e-01  6.00000000e-01  8.00000000e-01 
 3.98754476e-05  8.16398432e-01  6.00000000e-01  8.00000000e-01 
 3.98755773e-05  8.16398418e-01  6.00000000e-01  8.00000000e-01 
 3.98758367e-05  8.16398482e-01  6.00000000e-01  8.00000000e-01 
 3.98763555e-05  8.16398416e-01  6.00000000e-01  8.00000000e-01 
 3.98773931e-05  8.16398483e-01  6.00000000e-01  8.00000000e-01 
 3.98794683e-05  8.16398416e-01  6.00000000e-01  8.00000000e-01 
 3.98836188e-05  8.16398483e-01  6.00000000e-01  8.00000000e-01 
 3.98919198e-05  8.16398417e-01  6.00000000e-01  8.00000000e-01 
 3.99085216e-05  8.16398485e-01  6.00000000e-01  8.00000000e-01 
 3.99417254e-05  8.16398420e-01  6.00000000e-01  8.00000000e-01 
 4.00000000e-05  8.16398490e-01  6.00000000e-01  8.00000000e-01 
 4.00000010e-05  8.16515061e-01  6.00000000e-01  8.00000000e-01 
 4.00000030e-05  8.16763962e-01  6.00000000e-01  8.00000000e-01 
 4.00000070e-05  8.17273489e-01  6.00000000e-01  8.00000000e-01 
 4.00000100e-05  8.18184396e-01  6.00000000e-01  8.00000000e-01 
 4.00000107e-05  8.18237430e-01  6.00000000e-01  8.00000000e-01 
 4.00000120e-05  8.18270951e-01  6.00000000e-01  8.00000000e-01 
 4.00000146e-05  8.18300269e-01  6.00000000e-01  8.00000000e-01 
 4.00000182e-05  8.18348678e-01  6.00000000e-01  8.00000000e-01 
 4.00000255e-05  8.18377298e-01  6.00000000e-01  8.00000000e-01 
 4.00000376e-05  8.18400141e-01  6.00000000e-01  8.00000000e-01 
 4.00000502e-05  8.18238698e-01  6.00000000e-01  8.00000000e-01 
 4.00000754e-05  8.17317146e-01  6.00000000e-01  8.00000000e-01 
 4.00001001e-05  8.16381519e-01  6.00000000e-01  8.00000000e-01 
 4.00001378e-05  8.15282693e-01  6.00000000e-01  8.00000000e-01 
 4.00001887e-05  8.14153580e-01  6.00000000e-01  8.00000000e-01 
 4.00002877e-05  8.12486839e-01  6.00000000e-01  8.00000000e-01 
 4.00004445e-05  8.10551382e-01  6.00000000e-01  8.00000000e-01 
 4.00007431e-05  8.08303687e-01  6.00000000e-01  8.00000000e-01 
 4.00010534e-05  8.07105818e-01  6.00000000e-01  8.00000000e-01 
 4.00015955e-05  8.06190911e-01  6.00000000e-01  8.00000000e-01 
 4.00023259e-05  8.05851499e-01  6.00000000e-01  8.00000000e-01 
 4.00035891e-05  8.05788443e-01  6.00000000e-01  8.00000000e-01 
 4.00051258e-05  8.05789467e-01  6.00000000e-01  8.00000000e-01 
 4.00081993e-05  8.05794499e-01  6.00000000e-01  8.00000000e-01 
