 v-sweep         v(vinp)         v(voutp)       
 2.41000000e-01  2.41000000e-01  2.30919155e-01 
 2.42000000e-01  2.42000000e-01  2.31200224e-01 
 2.43000000e-01  2.43000000e-01  2.31576237e-01 
 2.44000000e-01  2.44000000e-01  2.31836919e-01 
 2.45000000e-01  2.45000000e-01  2.32180804e-01 
 2.46000000e-01  2.46000000e-01  2.32503374e-01 
 2.47000000e-01  2.47000000e-01  2.32871442e-01 
 2.48000000e-01  2.48000000e-01  2.33211351e-01 
 2.49000000e-01  2.49000000e-01  2.33567613e-01 
 2.50000000e-01  2.50000000e-01  2.33938740e-01 
 2.51000000e-01  2.51000000e-01  2.34312890e-01 
 2.52000000e-01  2.52000000e-01  2.34658327e-01 
 2.53000000e-01  2.53000000e-01  2.35101591e-01 
 2.54000000e-01  2.54000000e-01  2.35475874e-01 
 2.55000000e-01  2.55000000e-01  2.35875527e-01 
 2.56000000e-01  2.56000000e-01  2.36271184e-01 
 2.57000000e-01  2.57000000e-01  2.36663648e-01 
 2.58000000e-01  2.58000000e-01  2.37097770e-01 
 2.59000000e-01  2.59000000e-01  2.37535586e-01 
 2.60000000e-01  2.60000000e-01  2.37961328e-01 
 2.61000000e-01  2.61000000e-01  2.38442085e-01 
 2.62000000e-01  2.62000000e-01  2.38935959e-01 
 2.63000000e-01  2.63000000e-01  2.39416504e-01 
 2.64000000e-01  2.64000000e-01  2.39888915e-01 
 2.65000000e-01  2.65000000e-01  2.40392896e-01 
 2.66000000e-01  2.66000000e-01  2.40870906e-01 
 2.67000000e-01  2.67000000e-01  2.41369531e-01 
 2.68000000e-01  2.68000000e-01  2.41874762e-01 
 2.69000000e-01  2.69000000e-01  2.42441237e-01 
 2.70000000e-01  2.70000000e-01  2.42993271e-01 
 2.71000000e-01  2.71000000e-01  2.43567684e-01 
 2.72000000e-01  2.72000000e-01  2.44086233e-01 
 2.73000000e-01  2.73000000e-01  2.44689609e-01 
 2.74000000e-01  2.74000000e-01  2.45298935e-01 
 2.75000000e-01  2.75000000e-01  2.45923653e-01 
 2.76000000e-01  2.76000000e-01  2.46520721e-01 
 2.77000000e-01  2.77000000e-01  2.47187203e-01 
 2.78000000e-01  2.78000000e-01  2.47857761e-01 
 2.79000000e-01  2.79000000e-01  2.48480968e-01 
 2.80000000e-01  2.80000000e-01  2.49190726e-01 
 2.81000000e-01  2.81000000e-01  2.49899917e-01 
 2.82000000e-01  2.82000000e-01  2.50603273e-01 
 2.83000000e-01  2.83000000e-01  2.51324434e-01 
 2.84000000e-01  2.84000000e-01  2.52131017e-01 
 2.85000000e-01  2.85000000e-01  2.52855007e-01 
 2.86000000e-01  2.86000000e-01  2.53684232e-01 
 2.87000000e-01  2.87000000e-01  2.54475304e-01 
 2.88000000e-01  2.88000000e-01  2.55348462e-01 
 2.89000000e-01  2.89000000e-01  2.56212402e-01 
 2.90000000e-01  2.90000000e-01  2.57099962e-01 
 2.91000000e-01  2.91000000e-01  2.58046440e-01 
 2.92000000e-01  2.92000000e-01  2.58994108e-01 
 2.93000000e-01  2.93000000e-01  2.59969862e-01 
 2.94000000e-01  2.94000000e-01  2.60984383e-01 
 2.95000000e-01  2.95000000e-01  2.62027879e-01 
 2.96000000e-01  2.96000000e-01  2.63070907e-01 
 2.97000000e-01  2.97000000e-01  2.64195253e-01 
 2.98000000e-01  2.98000000e-01  2.65380725e-01 
 2.99000000e-01  2.99000000e-01  2.66542635e-01 
 3.00000000e-01  3.00000000e-01  2.67804617e-01 
 3.01000000e-01  3.01000000e-01  2.69123396e-01 
 3.02000000e-01  3.02000000e-01  2.70474007e-01 
 3.03000000e-01  3.03000000e-01  2.71828750e-01 
 3.04000000e-01  3.04000000e-01  2.73374223e-01 
 3.05000000e-01  3.05000000e-01  2.74942344e-01 
 3.06000000e-01  3.06000000e-01  2.76569801e-01 
 3.07000000e-01  3.07000000e-01  2.78301997e-01 
 3.08000000e-01  3.08000000e-01  2.80095319e-01 
 3.09000000e-01  3.09000000e-01  2.82024042e-01 
 3.10000000e-01  3.10000000e-01  2.84137355e-01 
 3.11000000e-01  3.11000000e-01  2.86356290e-01 
 3.12000000e-01  3.12000000e-01  2.88752996e-01 
 3.13000000e-01  3.13000000e-01  2.91339894e-01 
 3.14000000e-01  3.14000000e-01  2.94155943e-01 
 3.15000000e-01  3.15000000e-01  2.97305115e-01 
 3.16000000e-01  3.16000000e-01  3.00806211e-01 
 3.17000000e-01  3.17000000e-01  3.04741831e-01 
 3.18000000e-01  3.18000000e-01  3.09303328e-01 
 3.19000000e-01  3.19000000e-01  3.14686477e-01 
 3.20000000e-01  3.20000000e-01  3.21199019e-01 
 3.21000000e-01  3.21000000e-01  3.29263466e-01 
 3.22000000e-01  3.22000000e-01  3.39580403e-01 
 3.23000000e-01  3.23000000e-01  3.52529220e-01 
 3.24000000e-01  3.24000000e-01  3.67581365e-01 
 3.25000000e-01  3.25000000e-01  3.83710652e-01 
 3.26000000e-01  3.26000000e-01  4.00337811e-01 
 3.27000000e-01  3.27000000e-01  4.17110400e-01 
 3.28000000e-01  3.28000000e-01  4.34388886e-01 
 3.29000000e-01  3.29000000e-01  4.51737357e-01 
 3.30000000e-01  3.30000000e-01  4.69253587e-01 
 3.31000000e-01  3.31000000e-01  4.86961424e-01 
 3.32000000e-01  3.32000000e-01  5.04733363e-01 
 3.33000000e-01  3.33000000e-01  5.22782697e-01 
 3.34000000e-01  3.34000000e-01  5.41030852e-01 
 3.35000000e-01  3.35000000e-01  5.59314323e-01 
 3.36000000e-01  3.36000000e-01  5.77776155e-01 
 3.37000000e-01  3.37000000e-01  5.96363219e-01 
 3.38000000e-01  3.38000000e-01  6.15093592e-01 
 3.39000000e-01  3.39000000e-01  6.33918970e-01 
 3.40000000e-01  3.40000000e-01  6.52877823e-01 
 3.41000000e-01  3.41000000e-01  6.71962185e-01 
 3.42000000e-01  3.42000000e-01  6.91119220e-01 
 3.43000000e-01  3.43000000e-01  7.10373375e-01 
 3.44000000e-01  3.44000000e-01  7.29759341e-01 
 3.45000000e-01  3.45000000e-01  7.49186031e-01 
 3.46000000e-01  3.46000000e-01  7.68715682e-01 
 3.47000000e-01  3.47000000e-01  7.88318520e-01 
 3.48000000e-01  3.48000000e-01  8.07934956e-01 
 3.49000000e-01  3.49000000e-01  8.27679300e-01 
 3.50000000e-01  3.50000000e-01  8.47420125e-01 
 3.51000000e-01  3.51000000e-01  8.67172459e-01 
 3.52000000e-01  3.52000000e-01  8.87007771e-01 
 3.53000000e-01  3.53000000e-01  9.06829012e-01 
 3.54000000e-01  3.54000000e-01  9.26654332e-01 
 3.55000000e-01  3.55000000e-01  9.46477842e-01 
 3.56000000e-01  3.56000000e-01  9.66295200e-01 
 3.57000000e-01  3.57000000e-01  9.86065464e-01 
 3.58000000e-01  3.58000000e-01  1.00579680e+00 
 3.59000000e-01  3.59000000e-01  1.02547651e+00 
 3.60000000e-01  3.60000000e-01  1.04505023e+00 
 3.61000000e-01  3.61000000e-01  1.06461203e+00 
 3.62000000e-01  3.62000000e-01  1.08401933e+00 
 3.63000000e-01  3.63000000e-01  1.10339084e+00 
 3.64000000e-01  3.64000000e-01  1.12214149e+00 
 3.65000000e-01  3.65000000e-01  1.13889911e+00 
 3.66000000e-01  3.66000000e-01  1.15157399e+00 
 3.67000000e-01  3.67000000e-01  1.16096488e+00 
 3.68000000e-01  3.68000000e-01  1.16823795e+00 
 3.69000000e-01  3.69000000e-01  1.17417746e+00 
 3.70000000e-01  3.70000000e-01  1.17911851e+00 
 3.71000000e-01  3.71000000e-01  1.18333473e+00 
 3.72000000e-01  3.72000000e-01  1.18705174e+00 
 3.73000000e-01  3.73000000e-01  1.19032453e+00 
 3.74000000e-01  3.74000000e-01  1.19326715e+00 
 3.75000000e-01  3.75000000e-01  1.19596531e+00 
 3.76000000e-01  3.76000000e-01  1.19842217e+00 
 3.77000000e-01  3.77000000e-01  1.20065943e+00 
 3.78000000e-01  3.78000000e-01  1.20282608e+00 
 3.79000000e-01  3.79000000e-01  1.20470409e+00 
 3.80000000e-01  3.80000000e-01  1.20652902e+00 
 3.81000000e-01  3.81000000e-01  1.20821958e+00 
 3.82000000e-01  3.82000000e-01  1.20991560e+00 
 3.83000000e-01  3.83000000e-01  1.21136060e+00 
 3.84000000e-01  3.84000000e-01  1.21289710e+00 
 3.85000000e-01  3.85000000e-01  1.21419557e+00 
 3.86000000e-01  3.86000000e-01  1.21550457e+00 
 3.87000000e-01  3.87000000e-01  1.21677958e+00 
 3.88000000e-01  3.88000000e-01  1.21795992e+00 
 3.89000000e-01  3.89000000e-01  1.21911971e+00 
 3.90000000e-01  3.90000000e-01  1.22025899e+00 
 3.91000000e-01  3.91000000e-01  1.22128875e+00 
 3.92000000e-01  3.92000000e-01  1.22235541e+00 
 3.93000000e-01  3.93000000e-01  1.22330516e+00 
 3.94000000e-01  3.94000000e-01  1.22427038e+00 
 3.95000000e-01  3.95000000e-01  1.22514664e+00 
 3.96000000e-01  3.96000000e-01  1.22605573e+00 
 3.97000000e-01  3.97000000e-01  1.22691081e+00 
 3.98000000e-01  3.98000000e-01  1.22779274e+00 
 3.99000000e-01  3.99000000e-01  1.22855913e+00 
 4.00000000e-01  4.00000000e-01  1.22934835e+00 
 4.01000000e-01  4.01000000e-01  1.23012030e+00 
 4.02000000e-01  4.02000000e-01  1.23089784e+00 
 4.03000000e-01  4.03000000e-01  1.23159399e+00 
 4.04000000e-01  4.04000000e-01  1.23232506e+00 
 4.05000000e-01  4.05000000e-01  1.23296950e+00 
 4.06000000e-01  4.06000000e-01  1.23364759e+00 
 4.07000000e-01  4.07000000e-01  1.23429467e+00 
 4.08000000e-01  4.08000000e-01  1.23489342e+00 
 4.09000000e-01  4.09000000e-01  1.23556830e+00 
 4.10000000e-01  4.10000000e-01  1.23615597e+00 
 4.11000000e-01  4.11000000e-01  1.23676555e+00 
 4.12000000e-01  4.12000000e-01  1.23731232e+00 
 4.13000000e-01  4.13000000e-01  1.23785607e+00 
 4.14000000e-01  4.14000000e-01  1.23844246e+00 
 4.15000000e-01  4.15000000e-01  1.23896171e+00 
 4.16000000e-01  4.16000000e-01  1.23948720e+00 
 4.17000000e-01  4.17000000e-01  1.24002206e+00 
 4.18000000e-01  4.18000000e-01  1.24049369e+00 
 4.19000000e-01  4.19000000e-01  1.24096825e+00 
 4.20000000e-01  4.20000000e-01  1.24147468e+00 
 4.21000000e-01  4.21000000e-01  1.24196340e+00 
 4.22000000e-01  4.22000000e-01  1.24242288e+00 
 4.23000000e-01  4.23000000e-01  1.24285998e+00 
 4.24000000e-01  4.24000000e-01  1.24334479e+00 
 4.25000000e-01  4.25000000e-01  1.24378249e+00 
 4.26000000e-01  4.26000000e-01  1.24418294e+00 
 4.27000000e-01  4.27000000e-01  1.24462319e+00 
 4.28000000e-01  4.28000000e-01  1.24502023e+00 
 4.29000000e-01  4.29000000e-01  1.24547045e+00 
 4.30000000e-01  4.30000000e-01  1.24583619e+00 
 4.31000000e-01  4.31000000e-01  1.24627986e+00 
 4.32000000e-01  4.32000000e-01  1.24662183e+00 
 4.33000000e-01  4.33000000e-01  1.24703594e+00 
 4.34000000e-01  4.34000000e-01  1.24739524e+00 
 4.35000000e-01  4.35000000e-01  1.24777723e+00 
 4.36000000e-01  4.36000000e-01  1.24810186e+00 
 4.37000000e-01  4.37000000e-01  1.24846783e+00 
 4.38000000e-01  4.38000000e-01  1.24880745e+00 
 4.39000000e-01  4.39000000e-01  1.24915194e+00 
 4.40000000e-01  4.40000000e-01  1.24951048e+00 
 4.41000000e-01  4.41000000e-01  1.24982954e+00 
 4.42000000e-01  4.42000000e-01  1.25016222e+00 
 4.43000000e-01  4.43000000e-01  1.25053182e+00 
 4.44000000e-01  4.44000000e-01  1.25084521e+00 
 4.45000000e-01  4.45000000e-01  1.25112016e+00 
 4.46000000e-01  4.46000000e-01  1.25142028e+00 
 4.47000000e-01  4.47000000e-01  1.25176763e+00 
 4.48000000e-01  4.48000000e-01  1.25203345e+00 
