 v-sweep         v(vinp)         v(voutp)       
 4.57000000e-01  4.57000000e-01  1.42542718e+00 
 4.58000000e-01  4.58000000e-01  1.42578644e+00 
 4.59000000e-01  4.59000000e-01  1.42614157e+00 
 4.60000000e-01  4.60000000e-01  1.42649157e+00 
 4.61000000e-01  4.61000000e-01  1.42683828e+00 
 4.62000000e-01  4.62000000e-01  1.42718068e+00 
 4.63000000e-01  4.63000000e-01  1.42751861e+00 
 4.64000000e-01  4.64000000e-01  1.42785371e+00 
 4.65000000e-01  4.65000000e-01  1.42818371e+00 
 4.66000000e-01  4.66000000e-01  1.42851089e+00 
 4.67000000e-01  4.67000000e-01  1.42883369e+00 
 4.68000000e-01  4.68000000e-01  1.42915255e+00 
 4.69000000e-01  4.69000000e-01  1.42946913e+00 
 4.70000000e-01  4.70000000e-01  1.42978116e+00 
 4.71000000e-01  4.71000000e-01  1.43008969e+00 
 4.72000000e-01  4.72000000e-01  1.43039561e+00 
 4.73000000e-01  4.73000000e-01  1.43069745e+00 
 4.74000000e-01  4.74000000e-01  1.43099666e+00 
 4.75000000e-01  4.75000000e-01  1.43129195e+00 
 4.76000000e-01  4.76000000e-01  1.43158449e+00 
 4.77000000e-01  4.77000000e-01  1.43187410e+00 
 4.78000000e-01  4.78000000e-01  1.43216034e+00 
