 time            v(clk)          v(voutp)        v(voutn)        v(vinp)         v(vinn)        
 1.43863831e-07  1.50000000e+00  9.56646563e-06  1.49999253e+00  7.25709319e-01  7.50000000e-01 
 1.45222213e-07  1.50000000e+00  7.20675495e-06  1.49999471e+00  7.25716111e-01  7.50000000e-01 
 1.47133544e-07  1.50000000e+00  5.28255190e-06  1.49999594e+00  7.25725668e-01  7.50000000e-01 
 1.50637535e-07  1.50000000e+00  3.52939604e-06  1.49999696e+00  7.25743188e-01  7.50000000e-01 
 1.57645515e-07  1.50000000e+00  2.10663995e-06  1.49999798e+00  7.25778228e-01  7.50000000e-01 
 1.71396570e-07  1.50000000e+00  1.16176509e-06  1.49999876e+00  7.25846983e-01  7.50000000e-01 
 1.89510000e-07  1.50000000e+00  7.48000026e-07  1.49999910e+00  7.25937550e-01  7.50000000e-01 
 1.89511000e-07  1.35000000e+00  4.58357716e-03  1.50424212e+00  7.25937555e-01  7.50000000e-01 
 1.89513000e-07  1.05000000e+00  1.39804414e-02  1.51314230e+00  7.25937565e-01  7.50000000e-01 
 1.89517000e-07  4.50000000e-01  2.95546283e-02  1.50092231e+00  7.25937585e-01  7.50000000e-01 
 1.89520000e-07  2.26951791e-12  3.18334404e-02  1.44089673e+00  7.25937600e-01  7.50000000e-01 
 1.89520611e-07  0.00000000e+00  2.74409951e-02  1.42022884e+00  7.25937603e-01  7.50000000e-01 
 1.89521833e-07  0.00000000e+00  1.78697020e-02  1.37824851e+00  7.25937609e-01  7.50000000e-01 
 1.89524276e-07  0.00000000e+00  3.33046947e-03  1.29921109e+00  7.25937621e-01  7.50000000e-01 
 1.89528778e-07  0.00000000e+00 -1.04137794e-02  1.17021912e+00  7.25937644e-01  7.50000000e-01 
 1.89537781e-07  0.00000000e+00 -1.76105631e-02  9.57976695e-01  7.25937689e-01  7.50000000e-01 
 1.89552715e-07  0.00000000e+00 -1.52039694e-02  6.92215542e-01  7.25937764e-01  7.50000000e-01 
 1.89573808e-07  0.00000000e+00  3.50705593e-02  4.30538965e-01  7.25937869e-01  7.50000000e-01 
 1.89596723e-07  0.00000000e+00  1.10606406e-01  2.65584137e-01  7.25937984e-01  7.50000000e-01 
 1.89626055e-07  0.00000000e+00  1.59804395e-01  1.80048422e-01  7.25938130e-01  7.50000000e-01 
 1.89665073e-07  0.00000000e+00  1.68627650e-01  1.51919589e-01  7.25938325e-01  7.50000000e-01 
 1.89703518e-07  0.00000000e+00  1.56220660e-01  1.46965992e-01  7.25938518e-01  7.50000000e-01 
 1.89763312e-07  0.00000000e+00  1.35846245e-01  1.36465394e-01  7.25938817e-01  7.50000000e-01 
 1.89857681e-07  0.00000000e+00  1.09624980e-01  1.12937948e-01  7.25939288e-01  7.50000000e-01 
 1.90046419e-07  0.00000000e+00  6.53940816e-02  6.77170103e-02  7.25940232e-01  7.50000000e-01 
 1.90380616e-07  0.00000000e+00  1.44866689e-02  1.53739166e-02  7.25941903e-01  7.50000000e-01 
