 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 9.10300000e-04  5.41279757e-04  4.20006787e-02  7.50270640e-01  7.49729360e-01  3.68054777e-01  3.26054098e-01 
 9.20300000e-04  5.46552207e-04  4.24624925e-02  7.50273276e-01  7.49726724e-01  3.68286100e-01  3.25823607e-01 
 9.30300000e-04  5.51803081e-04  4.29226645e-02  7.50275902e-01  7.49724098e-01  3.68516506e-01  3.25593842e-01 
 9.40300000e-04  5.57032170e-04  4.33810759e-02  7.50278516e-01  7.49721484e-01  3.68745971e-01  3.25364895e-01 
 9.50300000e-04  5.62239269e-04  4.38378014e-02  7.50281120e-01  7.49718880e-01  3.68974528e-01  3.25136727e-01 
 9.60300000e-04  5.67424171e-04  4.42927913e-02  7.50283712e-01  7.49716288e-01  3.69202033e-01  3.24909241e-01 
 9.70300000e-04  5.72586673e-04  4.47460229e-02  7.50286293e-01  7.49713707e-01  3.69428504e-01  3.24682482e-01 
 9.80300000e-04  5.77726569e-04  4.51974415e-02  7.50288863e-01  7.49711137e-01  3.69653970e-01  3.24456529e-01 
 9.90300000e-04  5.82843659e-04  4.56471392e-02  7.50291422e-01  7.49708578e-01  3.69878591e-01  3.24231452e-01 
 1.00030000e-03  5.87937738e-04  4.60949837e-02  7.50293969e-01  7.49706031e-01  3.70102316e-01  3.24007332e-01 
 1.01030000e-03  5.93008607e-04  4.65409620e-02  7.50296504e-01  7.49703496e-01  3.70325255e-01  3.23784293e-01 
 1.02030000e-03  5.98056064e-04  4.69851190e-02  7.50299028e-01  7.49700972e-01  3.70547292e-01  3.23562173e-01 
 1.03030000e-03  6.03079912e-04  4.74274179e-02  7.50301540e-01  7.49698460e-01  3.70768285e-01  3.23340867e-01 
 1.04030000e-03  6.08079951e-04  4.78678410e-02  7.50304040e-01  7.49695960e-01  3.70988303e-01  3.23120462e-01 
 1.05030000e-03  6.13055983e-04  4.83063931e-02  7.50306528e-01  7.49693472e-01  3.71207299e-01  3.22900906e-01 
 1.06030000e-03  6.18007814e-04  4.87429224e-02  7.50309004e-01  7.49690996e-01  3.71425309e-01  3.22682386e-01 
 1.07030000e-03  6.22935247e-04  4.91775847e-02  7.50311468e-01  7.49688532e-01  3.71642525e-01  3.22464940e-01 
 1.08030000e-03  6.27838087e-04  4.96103040e-02  7.50313919e-01  7.49686081e-01  3.71858979e-01  3.22248675e-01 
 1.09030000e-03  6.32716141e-04  5.00410705e-02  7.50316358e-01  7.49683642e-01  3.72074575e-01  3.22033504e-01 
 1.10030000e-03  6.37569217e-04  5.04698316e-02  7.50318785e-01  7.49681215e-01  3.72289116e-01  3.21819285e-01 
 1.11030000e-03  6.42397122e-04  5.08966018e-02  7.50321199e-01  7.49678801e-01  3.72502557e-01  3.21605956e-01 
 1.12030000e-03  6.47199667e-04  5.13214117e-02  7.50323600e-01  7.49676400e-01  3.72714997e-01  3.21393585e-01 
 1.13030000e-03  6.51976662e-04  5.17442036e-02  7.50325988e-01  7.49674012e-01  3.72926467e-01  3.21182264e-01 
 1.14030000e-03  6.56727917e-04  5.21649107e-02  7.50328364e-01  7.49671636e-01  3.73136925e-01  3.20972014e-01 
 1.15030000e-03  6.61453246e-04  5.25836033e-02  7.50330727e-01  7.49669273e-01  3.73346195e-01  3.20762591e-01 
 1.16030000e-03  6.66152462e-04  5.30001986e-02  7.50333076e-01  7.49666924e-01  3.73554405e-01  3.20554207e-01 
 1.17030000e-03  6.70825380e-04  5.34147316e-02  7.50335413e-01  7.49664587e-01  3.73761677e-01  3.20346946e-01 
 1.18030000e-03  6.75471814e-04  5.38271128e-02  7.50337736e-01  7.49662264e-01  3.73967925e-01  3.20140812e-01 
 1.19030000e-03  6.80091582e-04  5.42373556e-02  7.50340046e-01  7.49659954e-01  3.74173070e-01  3.19935714e-01 
 1.20030000e-03  6.84684501e-04  5.46454769e-02  7.50342342e-01  7.49657658e-01  3.74377091e-01  3.19731614e-01 
 1.21030000e-03  6.89250390e-04  5.50514334e-02  7.50344625e-01  7.49655375e-01  3.74580046e-01  3.19528612e-01 
 1.22030000e-03  6.93789069e-04  5.54551976e-02  7.50346895e-01  7.49653105e-01  3.74781914e-01  3.19326717e-01 
 1.23030000e-03  6.98300357e-04  5.58567618e-02  7.50349150e-01  7.49650850e-01  3.74982789e-01  3.19126027e-01 
 1.24030000e-03  7.02784079e-04  5.62561451e-02  7.50351392e-01  7.49648608e-01  3.75182678e-01  3.18926533e-01 
 1.25030000e-03  7.07240055e-04  5.66533302e-02  7.50353620e-01  7.49646380e-01  3.75381453e-01  3.18728123e-01 
 1.26030000e-03  7.11668111e-04  5.70482519e-02  7.50355834e-01  7.49644166e-01  3.75578984e-01  3.18530732e-01 
 1.27030000e-03  7.16068071e-04  5.74409263e-02  7.50358034e-01  7.49641966e-01  3.75775292e-01  3.18334366e-01 
 1.28030000e-03  7.20439763e-04  5.78313257e-02  7.50360220e-01  7.49639780e-01  3.75970405e-01  3.18139079e-01 
 1.29030000e-03  7.24783012e-04  5.82194516e-02  7.50362392e-01  7.49637608e-01  3.76164594e-01  3.17945142e-01 
 1.30030000e-03  7.29097649e-04  5.86052910e-02  7.50364549e-01  7.49635451e-01  3.76357586e-01  3.17752295e-01 
 1.31030000e-03  7.33383501e-04  5.89888269e-02  7.50366692e-01  7.49633308e-01  3.76549327e-01  3.17560500e-01 
 1.32030000e-03  7.37640401e-04  5.93700434e-02  7.50368820e-01  7.49631180e-01  3.76739894e-01  3.17369850e-01 
 1.33030000e-03  7.41868181e-04  5.97488576e-02  7.50370934e-01  7.49629066e-01  3.76929316e-01  3.17180459e-01 
 1.34030000e-03  7.46066672e-04  6.01253557e-02  7.50373033e-01  7.49626967e-01  3.77117698e-01  3.16992342e-01 
 1.35030000e-03  7.50235711e-04  6.04994789e-02  7.50375118e-01  7.49624882e-01  3.77304901e-01  3.16805422e-01 
 1.36030000e-03  7.54375131e-04  6.08711844e-02  7.50377188e-01  7.49622812e-01  3.77490856e-01  3.16619671e-01 
 1.37030000e-03  7.58484770e-04  6.12405056e-02  7.50379242e-01  7.49620758e-01  3.77675619e-01  3.16435114e-01 
 1.38030000e-03  7.62564465e-04  6.16073893e-02  7.50381282e-01  7.49618718e-01  3.77859073e-01  3.16251684e-01 
 1.39030000e-03  7.66614055e-04  6.19718847e-02  7.50383307e-01  7.49616693e-01  3.78041355e-01  3.16069470e-01 
 1.40030000e-03  7.70633381e-04  6.23339435e-02  7.50385317e-01  7.49614683e-01  3.78222544e-01  3.15888600e-01 
 1.41030000e-03  7.74622283e-04  6.26935238e-02  7.50387311e-01  7.49612689e-01  3.78402384e-01  3.15708860e-01 
 1.42030000e-03  7.78580605e-04  6.30505868e-02  7.50389290e-01  7.49610710e-01  3.78580870e-01  3.15530284e-01 
 1.43030000e-03  7.82508189e-04  6.34051178e-02  7.50391254e-01  7.49608746e-01  3.78758142e-01  3.15353024e-01 
 1.44030000e-03  7.86404882e-04  6.37572259e-02  7.50393202e-01  7.49606798e-01  3.78934188e-01  3.15176962e-01 
 1.45030000e-03  7.90270529e-04  6.41067588e-02  7.50395135e-01  7.49604865e-01  3.79109014e-01  3.15002256e-01 
 1.46030000e-03  7.94104977e-04  6.44537791e-02  7.50397052e-01  7.49602948e-01  3.79282543e-01  3.14828764e-01 
 1.47030000e-03  7.97908075e-04  6.47982473e-02  7.50398954e-01  7.49601046e-01  3.79454719e-01  3.14656472e-01 
 1.48030000e-03  8.01679673e-04  6.51401564e-02  7.50400840e-01  7.49599160e-01  3.79625673e-01  3.14485517e-01 
 1.49030000e-03  8.05419622e-04  6.54794822e-02  7.50402710e-01  7.49597290e-01  3.79795472e-01  3.14315990e-01 
 1.50030000e-03  8.09127775e-04  6.58162146e-02  7.50404564e-01  7.49595436e-01  3.79963989e-01  3.14147775e-01 
 1.51030000e-03  8.12803985e-04  6.61503856e-02  7.50406402e-01  7.49593598e-01  3.80131295e-01  3.13980910e-01 
 1.52030000e-03  8.16448106e-04  6.64819674e-02  7.50408224e-01  7.49591776e-01  3.80297341e-01  3.13815373e-01 
 1.53030000e-03  8.20059996e-04  6.68109229e-02  7.50410030e-01  7.49589970e-01  3.80461856e-01  3.13650933e-01 
 1.54030000e-03  8.23639511e-04  6.71372176e-02  7.50411820e-01  7.49588180e-01  3.80624936e-01  3.13487719e-01 
 1.55030000e-03  8.27186510e-04  6.74608897e-02  7.50413593e-01  7.49586407e-01  3.80786903e-01  3.13326014e-01 
 1.56030000e-03  8.30700853e-04  6.77818896e-02  7.50415350e-01  7.49584650e-01  3.80947434e-01  3.13165544e-01 
 1.57030000e-03  8.34182402e-04  6.81001934e-02  7.50417091e-01  7.49582909e-01  3.81106575e-01  3.13006382e-01 
 1.58030000e-03  8.37631018e-04  6.84158368e-02  7.50418816e-01  7.49581184e-01  3.81264415e-01  3.12848578e-01 
 1.59030000e-03  8.41046566e-04  6.87287478e-02  7.50420523e-01  7.49579477e-01  3.81420907e-01  3.12692160e-01 
 1.60030000e-03  8.44428911e-04  6.90389865e-02  7.50422214e-01  7.49577786e-01  3.81576128e-01  3.12537142e-01 
 1.61030000e-03  8.47777920e-04  6.93464887e-02  7.50423889e-01  7.49576111e-01  3.81730062e-01  3.12383573e-01 
 1.62030000e-03  8.51093460e-04  6.96511983e-02  7.50425547e-01  7.49574453e-01  3.81882649e-01  3.12231451e-01 
 1.63030000e-03  8.54375400e-04  6.99531997e-02  7.50427188e-01  7.49572812e-01  3.82033880e-01  3.12080681e-01 
 1.64030000e-03  8.57623611e-04  7.02524445e-02  7.50428812e-01  7.49571188e-01  3.82183639e-01  3.11931194e-01 
 1.65030000e-03  8.60837964e-04  7.05489135e-02  7.50430419e-01  7.49569581e-01  3.82331900e-01  3.11782986e-01 
 1.66030000e-03  8.64018333e-04  7.08425997e-02  7.50432009e-01  7.49567991e-01  3.82478742e-01  3.11636143e-01 
 1.67030000e-03  8.67164591e-04  7.11334984e-02  7.50433582e-01  7.49566418e-01  3.82624253e-01  3.11490755e-01 
 1.68030000e-03  8.70276616e-04  7.14215607e-02  7.50435138e-01  7.49564862e-01  3.82768356e-01  3.11346796e-01 
 1.69030000e-03  8.73354284e-04  7.17067951e-02  7.50436677e-01  7.49563323e-01  3.82910956e-01  3.11204161e-01 
 1.70030000e-03  8.76397473e-04  7.19892063e-02  7.50438199e-01  7.49561801e-01  3.83052143e-01  3.11062936e-01 
 1.71030000e-03  8.79406063e-04  7.22687934e-02  7.50439703e-01  7.49560297e-01  3.83191980e-01  3.10923187e-01 
 1.72030000e-03  8.82379936e-04  7.25455174e-02  7.50441190e-01  7.49558810e-01  3.83330366e-01  3.10784848e-01 
 1.73030000e-03  8.85318975e-04  7.28193485e-02  7.50442659e-01  7.49557341e-01  3.83467172e-01  3.10647823e-01 
 1.74030000e-03  8.88223062e-04  7.30903207e-02  7.50444112e-01  7.49555888e-01  3.83602532e-01  3.10512212e-01 
 1.75030000e-03  8.91092084e-04  7.33584065e-02  7.50445546e-01  7.49554454e-01  3.83736613e-01  3.10378207e-01 
 1.76030000e-03  8.93925927e-04  7.36235687e-02  7.50446963e-01  7.49553037e-01  3.83869264e-01  3.10245696e-01 
 1.77030000e-03  8.96724479e-04  7.38858719e-02  7.50448362e-01  7.49551638e-01  3.84000487e-01  3.10114615e-01 
 1.78030000e-03  8.99487630e-04  7.41452585e-02  7.50449744e-01  7.49550256e-01  3.84130173e-01  3.09984915e-01 
 1.79030000e-03  9.02215271e-04  7.44017163e-02  7.50451108e-01  7.49548892e-01  3.84258400e-01  3.09856684e-01 
 1.80030000e-03  9.04907294e-04  7.46551570e-02  7.50452454e-01  7.49547546e-01  3.84385075e-01  3.09729918e-01 
 1.81030000e-03  9.07563593e-04  7.49056857e-02  7.50453782e-01  7.49546218e-01  3.84510409e-01  3.09604723e-01 
 1.82030000e-03  9.10184062e-04  7.51532458e-02  7.50455092e-01  7.49544908e-01  3.84634335e-01  3.09481089e-01 
 1.83030000e-03  9.12768600e-04  7.53978657e-02  7.50456384e-01  7.49543616e-01  3.84756889e-01  3.09359023e-01 
 1.84030000e-03  9.15317102e-04  7.56395302e-02  7.50457659e-01  7.49542341e-01  3.84878077e-01  3.09238547e-01 
 1.85030000e-03  9.17829470e-04  7.58781669e-02  7.50458915e-01  7.49541085e-01  3.84997809e-01  3.09119642e-01 
 1.86030000e-03  9.20305603e-04  7.61138915e-02  7.50460153e-01  7.49539847e-01  3.85116069e-01  3.09002177e-01 
 1.87030000e-03  9.22745404e-04  7.63466287e-02  7.50461373e-01  7.49538627e-01  3.85232673e-01  3.08886044e-01 
 1.88030000e-03  9.25148777e-04  7.65763973e-02  7.50462574e-01  7.49537426e-01  3.85347588e-01  3.08771191e-01 
 1.89030000e-03  9.27515627e-04  7.68030732e-02  7.50463758e-01  7.49536242e-01  3.85460797e-01  3.08657723e-01 
 1.90030000e-03  9.29845859e-04  7.70267062e-02  7.50464923e-01  7.49535077e-01  3.85572458e-01  3.08545752e-01 
 1.91030000e-03  9.32139383e-04  7.72472772e-02  7.50466070e-01  7.49533930e-01  3.85682703e-01  3.08435426e-01 
 1.92030000e-03  9.34396108e-04  7.74648413e-02  7.50467198e-01  7.49532802e-01  3.85791595e-01  3.08326753e-01 
 1.93030000e-03  9.36615944e-04  7.76793561e-02  7.50468308e-01  7.49531692e-01  3.85898988e-01  3.08219632e-01 
 1.94030000e-03  9.38798805e-04  7.78907758e-02  7.50469399e-01  7.49530601e-01  3.86004907e-01  3.08114131e-01 
 1.95030000e-03  9.40944603e-04  7.80991295e-02  7.50470472e-01  7.49529528e-01  3.86109252e-01  3.08010123e-01 
 1.96030000e-03  9.43053254e-04  7.83044000e-02  7.50471527e-01  7.49528473e-01  3.86211896e-01  3.07907496e-01 
 1.97030000e-03  9.45124675e-04  7.85065735e-02  7.50472562e-01  7.49527438e-01  3.86312892e-01  3.07806319e-01 
 1.98030000e-03  9.47158785e-04  7.87056481e-02  7.50473579e-01  7.49526421e-01  3.86412361e-01  3.07706713e-01 
 1.99030000e-03  9.49155502e-04  7.89015631e-02  7.50474578e-01  7.49525422e-01  3.86510229e-01  3.07608666e-01 
 2.00030000e-03  9.51114748e-04  7.90944112e-02  7.50475557e-01  7.49524443e-01  3.86606584e-01  3.07512173e-01 
