 frequency       v(PSRR_dB)     
 2.22092889e+03  5.53510276e+01 
 2.27214291e+03  5.53136306e+01 
 2.32453791e+03  5.52772691e+01 
 2.37814113e+03  5.52438323e+01 
 2.43298042e+03  5.52125604e+01 
 2.48908429e+03  5.51823210e+01 
 2.54648190e+03  5.51547118e+01 
 2.60520309e+03  5.51289087e+01 
 2.66527837e+03  5.51048413e+01 
 2.72673897e+03  5.50832979e+01 
 2.78961683e+03  5.50634426e+01 
 2.85394464e+03  5.50451562e+01 
 2.91975583e+03  5.50291923e+01 
 2.98708461e+03  5.50151364e+01 
 3.05596598e+03  5.50025984e+01 
 3.12643573e+03  5.49926583e+01 
 3.19853049e+03  5.49838880e+01 
 3.27228774e+03  5.49768474e+01 
 3.34774581e+03  5.49716191e+01 
 3.42494392e+03  5.49685717e+01 
 3.50392221e+03  5.49669481e+01 
 3.58472171e+03  5.49675487e+01 
 3.66738442e+03  5.49697260e+01 
 3.75195331e+03  5.49735593e+01 
 3.83847234e+03  5.49795783e+01 
 3.92698648e+03  5.49869795e+01 
 4.01754173e+03  5.49959761e+01 
 4.11018515e+03  5.50073857e+01 
 4.20496491e+03  5.50199007e+01 
 4.30193027e+03  5.50342483e+01 
 4.40113162e+03  5.50506110e+01 
 4.50262052e+03  5.50681972e+01 
 4.60644974e+03  5.50877416e+01 
 4.71267322e+03  5.51092065e+01 
 4.82134619e+03  5.51317427e+01 
 4.93252513e+03  5.51560595e+01 
 5.04626783e+03  5.51820403e+01 
 5.16263340e+03  5.52101198e+01 
 5.28168234e+03  5.52392749e+01 
 5.40347650e+03  5.52700592e+01 
 5.52807921e+03  5.53026958e+01 
 5.65555523e+03  5.53367555e+01 
 5.78597080e+03  5.53719723e+01 
 5.91939372e+03  5.54092653e+01 
 6.05589334e+03  5.54473260e+01 
 6.19554061e+03  5.54875260e+01 
 6.33840810e+03  5.55284666e+01 
 6.48457008e+03  5.55709531e+01 
 6.63410251e+03  5.56151939e+01 
 6.78708313e+03  5.56600044e+01 
 6.94359143e+03  5.57066992e+01 
 7.10370877e+03  5.57540032e+01 
 7.26751838e+03  5.58024902e+01 
 7.43510539e+03  5.58523728e+01 
 7.60655691e+03  5.59032619e+01 
 7.78196206e+03  5.59550048e+01 
 7.96141200e+03  5.60081467e+01 
 8.14500001e+03  5.60613522e+01 
 8.33282151e+03  5.61155084e+01 
 8.52497412e+03  5.61708098e+01 
 8.72155772e+03  5.62268014e+01 
 8.92267449e+03  5.62830141e+01 
 9.12842895e+03  5.63404296e+01 
 9.33892805e+03  5.63972870e+01 
 9.55428121e+03  5.64552956e+01 
 9.77460036e+03  5.65132895e+01 
 1.00000000e+04  5.65715119e+01 
 1.02305973e+04  5.66299120e+01 
 1.04665121e+04  5.66884866e+01 
 1.07078670e+04  5.67467001e+01 
 1.09547876e+04  5.68049701e+01 
 1.12074020e+04  5.68632223e+01 
 1.14658417e+04  5.69210797e+01 
 1.17302409e+04  5.69785974e+01 
 1.20007371e+04  5.70354828e+01 
 1.22774708e+04  5.70923463e+01 
 1.25605860e+04  5.71480205e+01 
 1.28502297e+04  5.72032413e+01 
 1.31465525e+04  5.72574229e+01 
 1.34497085e+04  5.73107937e+01 
 1.37598551e+04  5.73632172e+01 
 1.40771537e+04  5.74148062e+01 
 1.44017690e+04  5.74649915e+01 
 1.47338699e+04  5.75139333e+01 
 1.50736290e+04  5.75618258e+01 
 1.54212228e+04  5.76082768e+01 
 1.57768320e+04  5.76533046e+01 
 1.61406415e+04  5.76970236e+01 
 1.65128404e+04  5.77388231e+01 
 1.68936220e+04  5.77793354e+01 
 1.72831844e+04  5.78179483e+01 
