 frequency       v(Cinp)         v(Cinp)         v(Cinn)         v(Cinn)        
 1.72831844e+02  1.47187828e-15  0.00000000e+00  2.27547174e-14  0.00000000e+00 
 1.76817299e+02  1.45744879e-15  0.00000000e+00  2.22609187e-14  0.00000000e+00 
 1.80894658e+02  1.44377658e-15  0.00000000e+00  2.17761696e-14  0.00000000e+00 
 1.85066040e+02  1.43083332e-15  0.00000000e+00  2.13004255e-14  0.00000000e+00 
 1.89333613e+02  1.41859466e-15  0.00000000e+00  2.08336402e-14  0.00000000e+00 
 1.93699595e+02  1.40703243e-15  0.00000000e+00  2.03757561e-14  0.00000000e+00 
 1.98166255e+02  1.39612055e-15  0.00000000e+00  1.99267201e-14  0.00000000e+00 
 2.02735916e+02  1.38583470e-15  0.00000000e+00  1.94864589e-14  0.00000000e+00 
 2.07410951e+02  1.37614818e-15  0.00000000e+00  1.90549045e-14  0.00000000e+00 
 2.12193792e+02  1.36703546e-15  0.00000000e+00  1.86319761e-14  0.00000000e+00 
 2.17086923e+02  1.35847064e-15  0.00000000e+00  1.82175959e-14  0.00000000e+00 
 2.22092889e+02  1.35042899e-15  0.00000000e+00  1.78116741e-14  0.00000000e+00 
 2.27214291e+02  1.34288692e-15  0.00000000e+00  1.74141165e-14  0.00000000e+00 
 2.32453791e+02  1.33581930e-15  0.00000000e+00  1.70248267e-14  0.00000000e+00 
 2.37814113e+02  1.32920299e-15  0.00000000e+00  1.66437069e-14  0.00000000e+00 
 2.43298042e+02  1.32301482e-15  0.00000000e+00  1.62706488e-14  0.00000000e+00 
 2.48908429e+02  1.31723288e-15  0.00000000e+00  1.59055457e-14  0.00000000e+00 
 2.54648190e+02  1.31183432e-15  0.00000000e+00  1.55482862e-14  0.00000000e+00 
 2.60520309e+02  1.30679922e-15  0.00000000e+00  1.51987565e-14  0.00000000e+00 
 2.66527837e+02  1.30210680e-15  0.00000000e+00  1.48568391e-14  0.00000000e+00 
 2.72673897e+02  1.29773759e-15  0.00000000e+00  1.45224149e-14  0.00000000e+00 
 2.78961683e+02  1.29367289e-15  0.00000000e+00  1.41953639e-14  0.00000000e+00 
 2.85394464e+02  1.28989393e-15  0.00000000e+00  1.38755631e-14  0.00000000e+00 
 2.91975583e+02  1.28638447e-15  0.00000000e+00  1.35628901e-14  0.00000000e+00 
 2.98708461e+02  1.28312695e-15  0.00000000e+00  1.32572201e-14  0.00000000e+00 
 3.05596598e+02  1.28010624e-15  0.00000000e+00  1.29584267e-14  0.00000000e+00 
 3.12643573e+02  1.27730647e-15  0.00000000e+00  1.26663846e-14  0.00000000e+00 
 3.19853049e+02  1.27471403e-15  0.00000000e+00  1.23809688e-14  0.00000000e+00 
 3.27228774e+02  1.27231528e-15  0.00000000e+00  1.21020524e-14  0.00000000e+00 
 3.34774581e+02  1.27009705e-15  0.00000000e+00  1.18295110e-14  0.00000000e+00 
 3.42494392e+02  1.26804692e-15  0.00000000e+00  1.15632178e-14  0.00000000e+00 
 3.50392221e+02  1.26615401e-15  0.00000000e+00  1.13030495e-14  0.00000000e+00 
 3.58472171e+02  1.26440700e-15  0.00000000e+00  1.10488815e-14  0.00000000e+00 
 3.66738442e+02  1.26279600e-15  0.00000000e+00  1.08005917e-14  0.00000000e+00 
 3.75195331e+02  1.26131075e-15  0.00000000e+00  1.05580582e-14  0.00000000e+00 
 3.83847234e+02  1.25994308e-15  0.00000000e+00  1.03211607e-14  0.00000000e+00 
