time,a_1V5,x1t,b_3V3
7.855993220000000221e+00,1.500000000000000000e+00,2.156508680000000116e-04,2.931620559999999820e+00
7.955993219999998978e+00,1.500000000000000000e+00,2.067695009999999888e-04,2.948921809999999866e+00
8.055993219999999511e+00,1.500000000000000000e+00,1.990126780000000129e-04,2.965491870000000141e+00
8.155993219999999155e+00,1.500000000000000000e+00,1.917962029999999932e-04,2.981350780000000089e+00
8.255993220000000576e+00,1.500000000000000000e+00,1.844245830000000098e-04,2.996521710000000116e+00
8.355993220000000221e+00,1.500000000000000000e+00,1.773103809999999902e-04,3.011027860000000000e+00
8.455993219999999866e+00,1.500000000000000000e+00,1.702713999999999975e-04,3.024892379999999825e+00
8.555993219999999511e+00,1.500000000000000000e+00,1.633882670000000054e-04,3.038138270000000141e+00
8.655993220000000932e+00,1.500000000000000000e+00,1.567052400000000013e-04,3.050788279999999908e+00
8.755993220000000576e+00,1.500000000000000000e+00,1.501310539999999906e-04,3.062864869999999851e+00
8.855993219999998445e+00,1.500000000000000000e+00,1.438260639999999898e-04,3.074390129999999832e+00
8.955993219999999866e+00,1.500000000000000000e+00,1.376074280000000099e-04,3.085385699999999787e+00
9.055993219999999511e+00,1.500000000000000000e+00,1.316950779999999919e-04,3.095872770000000163e+00
9.155993220000000932e+00,1.500000000000000000e+00,1.258569349999999866e-04,3.105872039999999945e+00
9.255993219999998800e+00,1.500000000000000000e+00,1.203431329999999933e-04,3.115403650000000191e+00
9.355993220000000221e+00,1.500000000000000000e+00,1.148950489999999976e-04,3.124487189999999970e+00
9.455993219999999866e+00,1.500000000000000000e+00,1.097777250000000061e-04,3.133141670000000101e+00
9.555993220000001287e+00,1.500000000000000000e+00,1.047183289999999958e-04,3.141385529999999981e+00
9.655993219999999155e+00,1.500000000000000000e+00,9.998887390000000478e-05,3.149236590000000113e+00
9.755993220000000576e+00,1.500000000000000000e+00,9.530911609999999389e-05,3.156712080000000142e+00
9.855993220000000221e+00,1.500000000000000000e+00,9.095395150000000093e-05,3.163828650000000131e+00
9.955993220000001642e+00,1.500000000000000000e+00,8.663953840000000663e-05,3.170602329999999913e+00
1.005599319999999963e+01,1.500000000000000000e+00,8.264156979999999974e-05,3.177048559999999799e+00
1.015599319999999928e+01,1.500000000000000000e+00,7.867478820000000479e-05,3.183182219999999951e+00
1.025599320000000070e+01,1.500000000000000000e+00,7.501463669999999806e-05,3.189017590000000180e+00
1.035599320000000034e+01,1.500000000000000000e+00,7.137571789999999931e-05,3.194568390000000147e+00
1.045599319999999999e+01,1.500000000000000000e+00,6.803271019999999382e-05,3.199847810000000070e+00
1.055599319999999963e+01,1.500000000000000000e+00,6.470084030000000663e-05,3.204868470000000080e+00
1.065599320000000105e+01,1.500000000000000000e+00,6.165377390000000653e-05,3.209642510000000115e+00
1.075599320000000070e+01,1.500000000000000000e+00,5.860783270000000030e-05,3.214181519999999903e+00
1.085599319999999857e+01,1.500000000000000000e+00,5.583555040000000086e-05,3.218496609999999869e+00
1.095599319999999999e+01,1.500000000000000000e+00,5.305464040000000108e-05,3.222598430000000125e+00
1.105599319999999963e+01,1.500000000000000000e+00,5.053644569999999714e-05,3.226497129999999824e+00
1.115599320000000105e+01,1.500000000000000000e+00,4.800026319999999713e-05,3.230202450000000169e+00
1.125599319999999892e+01,1.500000000000000000e+00,4.571621030000000337e-05,3.233723680000000211e+00
1.135599320000000034e+01,1.500000000000000000e+00,4.340529380000000305e-05,3.237069690000000222e+00
1.145599319999999999e+01,1.500000000000000000e+00,4.133637889999999706e-05,3.240248960000000178e+00
1.155599320000000141e+01,1.500000000000000000e+00,3.923226769999999805e-05,3.243269580000000207e+00
1.165599319999999928e+01,1.500000000000000000e+00,3.736054589999999667e-05,3.246139270000000021e+00
1.175599320000000070e+01,1.500000000000000000e+00,3.544586890000000253e-05,3.248865390000000186e+00
1.185599320000000034e+01,1.500000000000000000e+00,3.375451400000000179e-05,3.251454970000000166e+00
1.195599319999999999e+01,1.500000000000000000e+00,3.201303029999999679e-05,3.253914690000000220e+00
1.205599319999999963e+01,1.500000000000000000e+00,3.048635489999999864e-05,3.256250960000000028e+00
1.215599319999999928e+01,1.500000000000000000e+00,2.890295810000000098e-05,3.258469840000000062e+00
1.225599320000000070e+01,1.500000000000000000e+00,2.752640230000000156e-05,3.260577120000000217e+00
1.235599319999999857e+01,1.500000000000000000e+00,2.608709999999999965e-05,3.262578330000000193e+00
1.245599319999999999e+01,1.500000000000000000e+00,2.484720290000000151e-05,3.264478720000000056e+00
1.255599319999999963e+01,1.500000000000000000e+00,2.353907939999999862e-05,3.266283300000000001e+00
1.265599320000000105e+01,1.500000000000000000e+00,2.242343419999999902e-05,3.267996810000000085e+00
1.275599319999999892e+01,1.500000000000000000e+00,2.123460279999999994e-05,3.269623810000000130e+00
1.285599320000000034e+01,1.500000000000000000e+00,2.023180530000000016e-05,3.271168600000000204e+00
1.295599319999999999e+01,1.500000000000000000e+00,1.915135290000000081e-05,3.272635279999999813e+00
1.305599320000000141e+01,1.500000000000000000e+00,1.825094500000000149e-05,3.274027750000000125e+00
1.315599319999999928e+01,1.500000000000000000e+00,1.726887430000000032e-05,3.275349739999999787e+00
1.325599319999999892e+01,1.500000000000000000e+00,1.646128420000000055e-05,3.276604770000000055e+00
1.335599320000000034e+01,1.500000000000000000e+00,1.556845399999999926e-05,3.277796209999999988e+00
1.345599319999999999e+01,1.500000000000000000e+00,1.484493640000000070e-05,3.278927229999999859e+00
1.355599319999999963e+01,1.500000000000000000e+00,1.403300209999999972e-05,3.280000890000000169e+00
1.365599319999999928e+01,1.500000000000000000e+00,1.338557979999999979e-05,3.281020059999999905e+00
1.375599320000000070e+01,1.500000000000000000e+00,1.264693489999999996e-05,3.281987490000000118e+00
1.385599320000000034e+01,1.500000000000000000e+00,1.206834060000000003e-05,3.282905780000000107e+00
1.395599319999999999e+01,1.500000000000000000e+00,1.139606099999999917e-05,3.283777419999999836e+00
1.405599319999999963e+01,1.500000000000000000e+00,1.087968280000000049e-05,3.284604760000000123e+00
1.415599320000000105e+01,1.500000000000000000e+00,1.026747219999999948e-05,3.285390029999999850e+00
1.425599320000000070e+01,1.500000000000000000e+00,9.807300909999999383e-06,3.286135370000000222e+00
1.435599320000000034e+01,1.500000000000000000e+00,9.249440369999999600e-06,3.286842780000000186e+00
1.445599319999999999e+01,1.500000000000000000e+00,8.840019790000000068e-06,3.287514199999999942e+00
1.455599319999999963e+01,1.500000000000000000e+00,8.331319199999999520e-06,3.288151440000000036e+00
1.465599319999999928e+01,1.500000000000000000e+00,7.967699739999999445e-06,3.288756230000000169e+00
1.475599319999999892e+01,1.500000000000000000e+00,7.503453289999999996e-06,3.289330220000000082e+00
1.485599320000000034e+01,1.500000000000000000e+00,7.181148109999999978e-06,3.289874970000000065e+00
1.495599319999999999e+01,1.500000000000000000e+00,6.757091809999999794e-06,3.290391960000000005e+00
1.505599319999999963e+01,1.500000000000000000e+00,6.472037020000000073e-06,3.290882610000000152e+00
1.515599320000000105e+01,1.500000000000000000e+00,6.084309979999999701e-06,3.291348240000000036e+00
1.525599319999999892e+01,1.500000000000000000e+00,5.832826379999999851e-06,3.291790139999999809e+00
1.535599320000000034e+01,1.500000000000000000e+00,5.477934810000000379e-06,3.292209499999999789e+00
1.545599319999999999e+01,1.500000000000000000e+00,5.256693900000000320e-06,3.292607480000000031e+00
1.555599320000000141e+01,1.500000000000000000e+00,4.931477790000000246e-06,3.292985149999999805e+00
1.565599319999999928e+01,1.500000000000000000e+00,4.737469420000000414e-06,3.293343559999999837e+00
1.575599320000000070e+01,1.500000000000000000e+00,4.439072269999999980e-06,3.293683670000000063e+00
1.585599320000000034e+01,1.500000000000000000e+00,4.269575609999999997e-06,3.294006439999999980e+00
1.595599319999999821e+01,1.500000000000000000e+00,3.995416119999999927e-06,3.294312720000000194e+00
1.605599319999999963e+01,1.500000000000000000e+00,3.847972880000000136e-06,3.294603379999999859e+00
1.615599320000000105e+01,1.500000000000000000e+00,3.595719229999999814e-06,3.294879190000000069e+00
1.625599320000000247e+01,1.500000000000000000e+00,3.468109350000000128e-06,3.295140920000000140e+00
1.635599320000000034e+01,1.500000000000000000e+00,3.235656089999999955e-06,3.295389290000000138e+00
1.645599319999999821e+01,1.500000000000000000e+00,3.125874619999999843e-06,3.295624979999999926e+00
1.655599319999999963e+01,1.500000000000000000e+00,2.911321350000000132e-06,3.295848620000000118e+00
1.665599320000000105e+01,1.500000000000000000e+00,2.817558750000000004e-06,3.296060849999999931e+00
1.675599319999999892e+01,1.500000000000000000e+00,2.619190179999999796e-06,3.296262229999999960e+00
1.685599320000000034e+01,1.500000000000000000e+00,2.539813629999999910e-06,3.296453329999999848e+00
1.695599320000000176e+01,1.500000000000000000e+00,2.356082369999999980e-06,3.296634660000000050e+00
1.705599319999999963e+01,1.500000000000000000e+00,2.289618419999999970e-06,3.296806730000000130e+00
1.715599320000000105e+01,1.500000000000000000e+00,2.119128709999999924e-06,3.296969999999999956e+00
1.725599319999999892e+01,1.500000000000000000e+00,2.064248689999999879e-06,3.297124929999999843e+00
1.735599320000000034e+01,1.500000000000000000e+00,1.905741440000000000e-06,3.297271949999999840e+00
1.745599319999999821e+01,1.500000000000000000e+00,1.861246899999999945e-06,3.297411449999999800e+00
1.755599319999999963e+01,1.500000000000000000e+00,1.713587240000000080e-06,3.297543820000000014e+00
1.765599320000000105e+01,1.500000000000000000e+00,1.678397600000000076e-06,3.297669430000000013e+00
1.775599320000000247e+01,1.500000000000000000e+00,1.540562040000000067e-06,3.297788610000000009e+00
1.785599320000000034e+01,1.500000000000000000e+00,1.513703150000000000e-06,3.297901700000000158e+00
1.795599319999999821e+01,1.500000000000000000e+00,1.384769220000000008e-06,3.298009009999999908e+00
1.805599319999999963e+01,1.500000000000000000e+00,1.365363019999999988e-06,3.298110840000000099e+00
1.815599319999999750e+01,1.500000000000000000e+00,1.244499390000000017e-06,3.298207459999999980e+00
1.825599319999999892e+01,1.500000000000000000e+00,1.231754329999999933e-06,3.298299140000000129e+00
1.835599320000000034e+01,1.500000000000000000e+00,1.118211640000000025e-06,3.298386129999999916e+00
1.845599320000000176e+01,1.500000000000000000e+00,1.111414549999999906e-06,3.298468680000000042e+00
1.855599319999999963e+01,1.500000000000000000e+00,1.004517469999999926e-06,3.298547000000000118e+00
1.865599320000000105e+01,1.500000000000000000e+00,1.003025749999999991e-06,3.298621320000000079e+00
1.875599319999999892e+01,1.500000000000000000e+00,9.021660280000000288e-07,3.298691840000000042e+00
1.885599320000000034e+01,1.500000000000000000e+00,9.054005299999999582e-07,3.298758750000000184e+00
1.895599319999999821e+01,1.500000000000000000e+00,8.100298289999999700e-07,3.298822239999999795e+00
1.905599319999999963e+01,1.500000000000000000e+00,8.174690189999999624e-07,3.298882490000000001e+00
1.915599320000000105e+01,1.500000000000000000e+00,7.270935000000000249e-07,3.298939649999999890e+00
1.925599320000000247e+01,1.500000000000000000e+00,7.382673820000000383e-07,3.298993890000000206e+00
1.935599320000000034e+01,1.500000000000000000e+00,6.524420960000000174e-07,3.299045350000000099e+00
1.945599320000000176e+01,1.500000000000000000e+00,6.669274509999999687e-07,3.299094189999999926e+00
1.955599319999999963e+01,1.500000000000000000e+00,5.852515349999999860e-07,3.299140519999999910e+00
1.965599319999999750e+01,1.500000000000000000e+00,6.026671309999999517e-07,3.299184490000000025e+00
1.975599319999999892e+01,1.500000000000000000e+00,5.247794790000000338e-07,3.299226210000000048e+00
1.985599320000000034e+01,1.500000000000000000e+00,5.447819520000000252e-07,3.299265790000000198e+00
1.995599320000000176e+01,1.500000000000000000e+00,4.703573690000000227e-07,3.299303350000000190e+00
2.005599319999999963e+01,1.500000000000000000e+00,4.926375689999999657e-07,3.299338989999999860e+00
2.015599320000000105e+01,1.500000000000000000e+00,4.213829250000000013e-07,3.299372799999999994e+00
2.025599319999999892e+01,1.500000000000000000e+00,4.456625429999999950e-07,3.299404889999999924e+00
2.035599320000000034e+01,1.500000000000000000e+00,3.773138239999999832e-07,3.299435330000000111e+00
2.045599319999999821e+01,1.500000000000000000e+00,4.033421709999999978e-07,3.299464219999999948e+00
2.055599319999999963e+01,1.500000000000000000e+00,3.376616529999999817e-07,3.299491629999999898e+00
2.065599320000000105e+01,1.500000000000000000e+00,3.652130069999999751e-07,3.299517639999999918e+00
2.075599319999999892e+01,1.500000000000000000e+00,3.019864619999999968e-07,3.299542310000000089e+00
2.085599320000000034e+01,1.500000000000000000e+00,3.308578590000000018e-07,3.299565729999999864e+00
2.095599320000000176e+01,1.500000000000000000e+00,2.698921309999999911e-07,3.299587939999999886e+00
2.105599319999999963e+01,1.500000000000000000e+00,2.999006990000000264e-07,3.299609030000000054e+00
2.115599319999999750e+01,1.500000000000000000e+00,2.410220649999999968e-07,3.299629030000000185e+00
2.125599319999999892e+01,1.500000000000000000e+00,2.720031580000000211e-07,3.299648009999999854e+00
2.135599320000000034e+01,1.500000000000000000e+00,2.150549090000000031e-07,3.299666010000000149e+00
2.145599320000000176e+01,1.500000000000000000e+00,2.468604510000000229e-07,3.299683100000000202e+00
2.155599319999999963e+01,1.500000000000000000e+00,1.917015139999999890e-07,3.299699309999999830e+00
2.165599320000000105e+01,1.500000000000000000e+00,2.241981890000000042e-07,3.299714700000000001e+00
2.175599320000000247e+01,1.500000000000000000e+00,1.707012680000000071e-07,3.299729290000000148e+00
2.185599319999999679e+01,1.500000000000000000e+00,2.037693960000000102e-07,3.299743139999999908e+00
2.195599319999999821e+01,1.500000000000000000e+00,1.518196990000000122e-07,3.299756279999999986e+00
2.205599319999999963e+01,1.500000000000000000e+00,1.853514429999999955e-07,3.299768750000000139e+00
2.215599320000000105e+01,1.500000000000000000e+00,1.348456879999999951e-07,3.299780580000000185e+00
2.225599319999999892e+01,1.500000000000000000e+00,1.687439760000000110e-07,3.299791809999999881e+00
2.235599320000000034e+01,1.500000000000000000e+00,1.195890150000000012e-07,3.299802459999999993e+00
2.245599320000000176e+01,1.500000000000000000e+00,1.537667910000000125e-07,3.299812569999999834e+00
2.255599320000000318e+01,1.500000000000000000e+00,1.058784880000000002e-07,3.299822160000000171e+00
