time,Vclk,Vs,Vcpp,Vcpn,Voutp,Voutn
4.192447680000000076e+01,1.500000000000000000e+00,-3.969797090000000017e-07,-2.332007049999999816e-06,-1.354216809999999876e-07,1.499998509999999952e+00,1.505306999999999994e-06
4.224447679999999394e+01,1.500000000000000000e+00,-3.901790650000000135e-07,-2.301839820000000165e-06,-1.289285780000000070e-07,1.499998530000000052e+00,1.489869199999999996e-06
4.256447680000000133e+01,1.500000000000000000e+00,-3.835716550000000076e-07,-2.272348119999999893e-06,-1.225848479999999868e-07,1.499998539999999991e+00,1.474766850000000078e-06
4.288447680000000162e+01,1.500000000000000000e+00,-3.771480549999999977e-07,-2.243509499999999937e-06,-1.163853790000000046e-07,1.499998549999999931e+00,1.459989040000000051e-06
4.320447680000000190e+01,1.500000000000000000e+00,-3.708994689999999987e-07,-2.215302490000000130e-06,-1.103252829999999978e-07,1.499998560000000092e+00,1.445525350000000021e-06
4.352447680000000219e+01,1.500000000000000000e+00,-3.648176780000000014e-07,-2.187706550000000078e-06,-1.043998930000000041e-07,1.499998570000000031e+00,1.431365799999999996e-06
4.384447679999999536e+01,1.500000000000000000e+00,-3.588949989999999818e-07,-2.160702020000000040e-06,-9.860475109999999364e-08,1.499998579999999970e+00,1.417500859999999924e-06
4.416447679999999565e+01,1.500000000000000000e+00,-3.531242410000000068e-07,-2.134270090000000180e-06,-9.293559169999999642e-08,1.499998589999999909e+00,1.403921349999999961e-06
4.448447680000000304e+01,1.500000000000000000e+00,-3.474986689999999974e-07,-2.108392700000000207e-06,-8.738833650000000443e-08,1.499998600000000071e+00,1.390618510000000095e-06
4.480447680000000332e+01,1.500000000000000000e+00,-3.420119690000000254e-07,-2.083052600000000016e-06,-8.195907809999999964e-08,1.499998610000000010e+00,1.377583930000000099e-06
4.512447680000000361e+01,1.500000000000000000e+00,-3.366582189999999964e-07,-2.058233200000000201e-06,-7.664408120000000068e-08,1.499998619999999949e+00,1.364809499999999990e-06
4.544447679999999679e+01,1.500000000000000000e+00,-3.314318550000000029e-07,-2.033918610000000084e-06,-7.143975819999999551e-08,1.499998630000000110e+00,1.352287490000000101e-06
4.576447679999999707e+01,1.500000000000000000e+00,-3.263276499999999833e-07,-2.010093580000000038e-06,-6.634267920000000417e-08,1.499998640000000050e+00,1.340010450000000090e-06
4.608447679999999735e+01,1.500000000000000000e+00,-3.213406849999999876e-07,-1.986743469999999896e-06,-6.134954849999999350e-08,1.499998649999999989e+00,1.327971230000000067e-06
4.640447680000000474e+01,1.500000000000000000e+00,-3.164663279999999950e-07,-1.963854199999999829e-06,-5.645720960000000121e-08,1.499998659999999928e+00,1.316162940000000025e-06
4.672447680000000503e+01,1.500000000000000000e+00,-3.117002170000000115e-07,-1.941412260000000169e-06,-5.166262870000000319e-08,1.499998670000000089e+00,1.304578979999999952e-06
4.704447679999999821e+01,1.500000000000000000e+00,-3.070382330000000242e-07,-1.919404660000000170e-06,-4.696289450000000282e-08,1.499998680000000029e+00,1.293212990000000071e-06
4.736447679999999849e+01,1.500000000000000000e+00,-3.024764910000000223e-07,-1.897818910000000053e-06,-4.235521220000000255e-08,1.499998689999999968e+00,1.282058839999999955e-06
