time,Vclk,Vs,Vctail,Vcpp,Vcpn,Voutp,Voutn
2.398273049999999884e+01,1.500000000000000000e+00,3.391844509999999979e-01,3.382032930000000159e-01,1.191438559999999924e+00,1.152391610000000011e+00,3.486247339999999917e-01,1.320834770000000047e-01
2.430273050000000268e+01,1.500000000000000000e+00,3.398082980000000086e-01,3.388441269999999950e-01,1.190877739999999907e+00,1.151712800000000092e+00,3.608649030000000146e-01,1.365647480000000136e-01
2.462273049999999941e+01,1.500000000000000000e+00,3.404208919999999750e-01,3.394731500000000013e-01,1.190325969999999955e+00,1.151047039999999910e+00,3.731108439999999971e-01,1.403472050000000027e-01
2.494273049999999969e+01,1.500000000000000000e+00,3.410226060000000059e-01,3.400907650000000171e-01,1.189782270000000031e+00,1.150393849999999940e+00,3.853383980000000264e-01,1.431559510000000035e-01
2.526273049999999998e+01,1.500000000000000000e+00,3.416137989999999958e-01,3.406973540000000078e-01,1.189245509999999895e+00,1.149752729999999890e+00,3.975184210000000107e-01,1.446402910000000042e-01
2.558273050000000026e+01,1.500000000000000000e+00,3.421948109999999876e-01,3.412932799999999767e-01,1.188714379999999959e+00,1.149123209999999951e+00,4.096167459999999760e-01,1.443704329999999925e-01
2.590273050000000055e+01,1.500000000000000000e+00,3.427659659999999775e-01,3.418788910000000181e-01,1.188187459999999973e+00,1.148504809999999932e+00,4.215949549999999935e-01,1.418457419999999969e-01
2.622273050000000083e+01,1.500000000000000000e+00,3.433275729999999970e-01,3.424545150000000149e-01,1.187663230000000070e+00,1.147897069999999964e+00,4.334122069999999938e-01,1.365194170000000040e-01
2.654273050000000111e+01,1.500000000000000000e+00,3.438799289999999731e-01,3.430204680000000228e-01,1.187140209999999918e+00,1.147299559999999996e+00,4.450281600000000060e-01,1.278435380000000066e-01
2.686273049999999785e+01,1.500000000000000000e+00,3.444233119999999815e-01,3.435770499999999950e-01,1.186617110000000030e+00,1.146711849999999977e+00,4.564069960000000092e-01,1.153420379999999940e-01
