time,VDD,Vbiasc,Vbias,Vsu,Vres
7.187542880000000189e-02,1.063131430000000137e+03,4.899856620000000618e+01,4.789801700000000295e+01,2.953420600000000036e+02,2.629628120000000013e+00
7.197987680000000887e-02,1.064698149999999941e+03,4.903533999999999793e+01,4.814594459999999998e+01,2.957261210000000347e+02,2.661683089999999918e+00
7.200001559999999468e-02,1.065000230000000101e+03,4.904241460000000075e+01,4.819437320000000113e+01,2.958003400000000056e+02,2.975602080000000260e+00
7.200164759999999609e-02,1.065024710000000141e+03,4.904287970000000030e+01,4.819620929999999959e+01,2.958059049999999957e+02,1.866202710000000042e+00
7.233472440000000836e-02,1.070020870000000059e+03,4.915467669999999600e+01,4.898664409999999947e+01,2.970281129999999621e+02,1.898378450000000051e+00
7.333472439999999537e-02,1.085020869999999832e+03,4.951291570000000064e+01,5.138704539999999810e+01,3.006980439999999817e+02,2.121608069999999735e+00
7.433472439999999626e-02,1.100020870000000059e+03,4.990168249999999972e+01,5.381148019999999832e+01,3.043527209999999741e+02,2.344390220000000191e+00
7.533472439999999715e-02,1.115020869999999832e+03,5.030857650000000092e+01,5.625422809999999885e+01,3.079860669999999914e+02,2.571207780000000387e+00
7.633472439999999803e-02,1.130020870000000059e+03,5.073136089999999854e+01,5.871110029999999824e+01,3.115929290000000265e+02,2.802454990000000201e+00
7.733472439999999892e-02,1.145020870000000059e+03,5.116883539999999897e+01,6.117784759999999977e+01,3.151679030000000239e+02,3.038196549999999885e+00
7.833472439999999981e-02,1.160020870000000059e+03,5.161994430000000023e+01,6.365005749999999551e+01,3.187052600000000098e+02,3.278461989999999826e+00
7.933472440000000070e-02,1.175020870000000059e+03,5.208372170000000523e+01,6.612317040000000645e+01,3.221989559999999528e+02,3.523266089999999906e+00
7.987501700000000648e-02,1.183125260000000026e+03,5.233917519999999968e+01,6.745722140000000877e+01,3.240659440000000018e+02,3.280712729999999855e+00
7.987512160000000139e-02,1.183126819999999952e+03,5.233924859999999768e+01,6.745771500000000742e+01,3.240664070000000265e+02,3.386440040000000096e+00
7.990123359999999619e-02,1.183518499999999904e+03,5.235176959999999724e+01,6.752185479999999984e+01,3.241559799999999996e+02,3.398257220000000078e+00
8.000001080000000708e-02,1.185000160000000051e+03,5.239841540000000464e+01,6.776580769999999632e+01,3.244950989999999820e+02,3.850333679999999870e+00
8.000041880000000050e-02,1.185006280000000061e+03,5.239842159999999893e+01,6.776488369999999861e+01,3.244960470000000328e+02,2.989215370000000149e+00
8.010486679999999360e-02,1.186573000000000093e+03,5.244589609999999880e+01,6.801677370000000167e+01,3.248505150000000299e+02,2.319960900000000326e+00
8.108472440000000225e-02,1.201270870000000059e+03,5.289489400000000074e+01,7.042371319999999457e+01,3.281780810000000201e+02,2.593383629999999940e+00
8.208472439999998926e-02,1.216270870000000059e+03,5.338825920000000025e+01,7.287477529999999604e+01,3.315184339999999565e+02,2.861344239999999761e+00
8.308472440000000403e-02,1.231270869999999832e+03,5.389262469999999894e+01,7.530900719999999637e+01,3.347903380000000197e+02,3.133483109999999794e+00
8.408472440000000492e-02,1.246270870000000059e+03,5.440657449999999784e+01,7.772142479999999409e+01,3.379865530000000149e+02,3.410143420000000258e+00
8.508472440000000581e-02,1.261270869999999832e+03,5.492996660000000020e+01,8.010725890000000504e+01,3.410998920000000112e+02,3.691240689999999880e+00
8.608472439999999282e-02,1.276270870000000059e+03,5.546310439999999886e+01,8.246184089999999856e+01,3.441231450000000223e+02,3.976662039999999454e+00
8.708472439999999370e-02,1.291270870000000059e+03,5.600701999999999714e+01,8.478064080000000047e+01,3.470491260000000011e+02,4.266278849999999956e+00
8.787501100000000287e-02,1.303125160000000051e+03,5.644596740000000068e+01,8.658477500000000759e+01,3.492879449999999792e+02,4.447123120000000540e+00
8.787504479999999618e-02,1.303125669999999900e+03,5.644589859999999959e+01,8.658422899999999345e+01,3.492879059999999640e+02,4.223587699999999501e+00
8.788157280000000182e-02,1.303223590000000058e+03,5.644964680000000357e+01,8.659893399999999986e+01,3.493060340000000110e+02,4.248062929999999682e+00
8.800000699999999121e-02,1.305000099999999975e+03,5.651564359999999709e+01,8.686631900000000428e+01,3.496346419999999853e+02,4.606729109999999849e+00
8.800011159999999999e-02,1.305001670000000104e+03,5.651556839999999937e+01,8.686562670000000708e+01,3.496346649999999840e+02,4.273210500000000245e+00
8.802622359999999480e-02,1.305393349999999828e+03,5.653031280000000436e+01,8.691764200000000073e+01,3.497040519999999901e+02,2.826815239999999729e+00
8.883472439999999526e-02,1.317520870000000059e+03,5.695722370000000012e+01,8.871436579999999594e+01,3.518971189999999751e+02,3.117086329999999794e+00
8.983472439999999615e-02,1.332520870000000059e+03,5.755081859999999949e+01,9.091297550000000172e+01,3.545203769999999963e+02,3.433342319999999948e+00
9.083472440000001091e-02,1.347520870000000059e+03,5.818817489999999992e+01,9.306101879999999937e+01,3.570211390000000051e+02,3.752687700000000071e+00
9.183472439999999792e-02,1.362520870000000059e+03,5.890062499999999801e+01,9.515484320000000196e+01,3.593929530000000341e+02,4.075952120000000178e+00
9.283472439999999881e-02,1.377520869999999832e+03,5.974305860000000479e+01,9.719140610000000891e+01,3.616300290000000359e+02,4.403473239999999400e+00
9.383472439999999970e-02,1.392520870000000059e+03,6.078513499999999681e+01,9.916800739999999337e+01,3.637270120000000020e+02,4.736010819999999732e+00
9.483472440000000059e-02,1.407520869999999832e+03,6.208442799999999551e+01,1.010822620000000001e+02,3.656790050000000178e+02,5.074817949999999911e+00
9.583472440000000148e-02,1.422520870000000059e+03,6.366872710000000524e+01,1.029320769999999925e+02,3.674815969999999652e+02,5.421549240000000047e+00
9.587502559999999674e-02,1.423125380000000177e+03,6.373846290000000181e+01,1.030038930000000050e+02,3.675506980000000112e+02,5.046684509999999513e+00
9.587665759999999815e-02,1.423149859999999990e+03,6.374143590000000614e+01,1.030073170000000005e+02,3.675536480000000097e+02,5.200691439999999943e+00
9.600000100000000147e-02,1.425000009999999975e+03,6.395773779999999675e+01,1.032287620000000032e+02,3.677631279999999947e+02,5.309765559999999773e+00
9.600003479999999478e-02,1.425000520000000051e+03,6.395785850000000750e+01,1.032291570000000007e+02,3.677632470000000353e+02,5.409065430000000063e+00
9.600656280000000042e-02,1.425098439999999982e+03,6.396898930000000405e+01,1.032327410000000043e+02,3.677719770000000494e+02,3.412548530000000024e+00
9.658472440000000214e-02,1.433770870000000059e+03,6.500332949999999244e+01,1.042389360000000096e+02,3.687078319999999962e+02,3.700811359999999883e+00
9.758472440000000303e-02,1.448770869999999832e+03,6.710050049999999544e+01,1.059720769999999987e+02,3.702422269999999571e+02,4.091046410000000577e+00
9.858472440000000392e-02,1.463770870000000059e+03,6.951118990000000508e+01,1.076375969999999995e+02,3.716189689999999928e+02,4.493509750000000302e+00
9.958472440000000481e-02,1.478770870000000059e+03,7.225189050000000179e+01,1.092337619999999987e+02,3.728349610000000212e+02,4.913801649999999910e+00
1.005847240000000004e-01,1.493770870000000059e+03,7.535044909999999163e+01,1.107599830000000054e+02,3.738885609999999815e+02,5.355782039999999355e+00
1.011874999999999997e-01,1.500000000000000000e+03,7.733469199999998978e+01,1.116401309999999967e+02,3.739225649999999632e+02,5.633071750000000044e+00
1.021875000000000006e-01,1.500000000000000000e+03,8.070465609999999401e+01,1.129736280000000050e+02,3.723584220000000187e+02,6.108858150000000542e+00
1.031874999999999876e-01,1.500000000000000000e+03,8.452034349999999563e+01,1.141619400000000013e+02,3.705442259999999806e+02,6.612286280000000183e+00
1.038750130000000022e-01,1.500000000000000000e+03,8.741337070000000153e+01,1.148987560000000059e+02,3.691573269999999525e+02,6.819597059999999544e+00
1.038750699999999999e-01,1.500000000000000000e+03,8.741355990000000986e+01,1.148985809999999930e+02,3.691572000000000457e+02,6.757363340000000385e+00
1.038881259999999973e-01,1.500000000000000000e+03,8.747096100000000263e+01,1.149115780000000058e+02,3.691295130000000313e+02,6.769080559999999913e+00
1.040000099999999900e-01,1.500000000000000000e+03,8.796237349999999822e+01,1.150255800000000050e+02,3.688916930000000320e+02,7.278989100000000434e+00
1.040002140000000075e-01,1.500000000000000000e+03,8.796226579999999728e+01,1.150220989999999972e+02,3.688904200000000060e+02,6.299492429999999921e+00
1.040524379999999971e-01,1.500000000000000000e+03,8.819206739999999911e+01,1.150530839999999984e+02,3.687678290000000061e+02,4.455571979999999321e+00
1.049597240000000042e-01,1.500000000000000000e+03,9.234546620000000416e+01,1.158868390000000090e+02,3.667138770000000250e+02,5.106456050000000246e+00
1.059597240000000051e-01,1.500000000000000000e+03,9.747787580000000673e+01,1.167219039999999950e+02,3.642677209999999945e+02,5.785723490000000524e+00
1.069597239999999921e-01,1.500000000000000000e+03,1.031040869999999927e+02,1.174443700000000064e+02,3.616091119999999819e+02,6.536081120000000411e+00
1.079597239999999930e-01,1.500000000000000000e+03,1.092263769999999994e+02,1.180619849999999929e+02,3.587468539999999848e+02,7.373567289999999552e+00
1.089597240000000078e-01,1.500000000000000000e+03,1.158447759999999960e+02,1.185822660000000042e+02,3.556893580000000270e+02,8.315714350000000366e+00
1.099597240000000087e-01,1.500000000000000000e+03,1.229584990000000033e+02,1.190124139999999926e+02,3.524444540000000075e+02,9.381030130000000966e+00
1.109597239999999957e-01,1.500000000000000000e+03,1.305670670000000086e+02,1.193592799999999983e+02,3.490193029999999794e+02,1.058763300000000029e+01
1.118750099999999970e-01,1.500000000000000000e+03,1.379649149999999906e+02,1.196092960000000005e+02,3.457317630000000008e+02,1.182927839999999975e+01
1.118750319999999993e-01,1.500000000000000000e+03,1.379645120000000134e+02,1.196082700000000045e+02,3.457314859999999612e+02,1.153414569999999983e+01
