t_analog,t_recon,analog_signal,spikes,recon
4.854079809410363490e-05,2.966403000000000234e-01,1.936426213324543122e+00,2.500000000000000000e-01,1.340625000000000178e+00
4.883859440142942598e-05,2.977483599999999897e-01,1.937957874918461165e+00,2.500000000000000000e-01,1.443750000000000089e+00
4.913639070875521706e-05,2.988331399999999971e-01,1.939485503897042218e+00,2.500000000000000000e-01,1.546875000000000000e+00
4.943418701608100137e-05,2.999255399999999905e-01,1.941009078867087734e+00,2.500000000000000000e-01,1.649999999999999911e+00
4.973198332340679245e-05,3.010194800000000059e-01,1.942528578492172198e+00,2.500000000000000000e-01,1.753124999999999822e+00
5.002977963073258354e-05,3.021220199999999911e-01,1.944043981492941775e+00,2.500000000000000000e-01,1.856249999999999734e+00
5.032757593805836784e-05,3.032358399999999787e-01,1.945555266647412296e+00,2.500000000000000000e-01,1.959374999999999645e+00
5.062537224538415893e-05,3.043748199999999904e-01,1.947062412791267016e+00,2.500000000000000000e-01,2.062499999999999556e+00
5.092316855270995001e-05,3.055217000000000072e-01,1.948565398818152827e+00,2.500000000000000000e-01,2.165624999999999467e+00
5.122096486003574109e-05,3.067036000000000207e-01,1.950064203679975350e+00,2.500000000000000000e-01,2.268749999999999378e+00
5.151876116736152540e-05,3.079344199999999865e-01,1.951558806387194034e+00,2.500000000000000000e-01,2.371874999999999289e+00
5.181655747468731649e-05,3.092205599999999777e-01,1.953049186009116145e+00,2.500000000000000000e-01,2.474999999999999201e+00
5.211435378201310757e-05,3.105716399999999822e-01,1.954535321674189863e+00,2.500000000000000000e-01,2.578124999999999112e+00
5.241215008933889188e-05,3.120055800000000046e-01,1.956017192570296714e+00,2.500000000000000000e-01,2.681249999999999023e+00
5.270994639666468296e-05,3.135917799999999867e-01,1.957494777945042008e+00,2.500000000000000000e-01,2.784374999999998934e+00
5.300774270399047404e-05,3.154063999999999757e-01,1.958968057106047489e+00,2.500000000000000000e-01,2.887499999999998845e+00
5.330553901131626513e-05,3.175397400000000148e-01,1.960437009421239107e+00,2.500000000000000000e-01,2.990624999999998757e+00
5.360333531864204943e-05,3.205513600000000074e-01,1.961901614319136566e+00,2.500000000000000000e-01,3.093749999999998668e+00
5.390113162596784052e-05,3.325503399999999998e-01,1.963361851289142646e+00,-2.500000000000000000e-01,2.990624999999998757e+00
5.419892793329363160e-05,3.346702599999999972e-01,1.964817699881828528e+00,-2.500000000000000000e-01,2.887499999999998845e+00
5.449672424061942268e-05,3.364368999999999832e-01,1.966269139709221125e+00,-2.500000000000000000e-01,2.784374999999998934e+00
5.479452054794520699e-05,3.380129599999999734e-01,1.967716150445088630e+00,-2.500000000000000000e-01,2.681249999999999023e+00
5.509231685527099807e-05,3.394576599999999944e-01,1.969158711825225172e+00,-2.500000000000000000e-01,2.578124999999999112e+00
5.539011316259678916e-05,3.408038999999999930e-01,1.970596803647734596e+00,-2.500000000000000000e-01,2.474999999999999201e+00
5.568790946992257347e-05,3.420648000000000022e-01,1.972030405773312900e+00,-2.500000000000000000e-01,2.371874999999999289e+00
5.598570577724836455e-05,3.432903199999999821e-01,1.973459498125530454e+00,-2.500000000000000000e-01,2.268749999999999378e+00
5.628350208457415563e-05,3.444641600000000192e-01,1.974884060691114218e+00,-2.500000000000000000e-01,2.165624999999999467e+00
5.658129839189994672e-05,3.456138000000000265e-01,1.976304073520226190e+00,-2.500000000000000000e-01,2.062499999999999556e+00
5.687909469922573102e-05,3.467444199999999976e-01,1.977719516726744065e+00,-2.500000000000000000e-01,1.959374999999999645e+00
