t_analog,t_recon,analog_signal,spikes,recon,th
5.584016393442623556e-05,3.351316400000000084e-01,1.972761623219378979e+00,-2.500000000000000000e-01,2.861718749999996536e+00,1.031249999999999944e-01
5.635245901639344935e-05,3.383823799999999826e-01,1.975213280651316961e+00,-2.500000000000000000e-01,2.655468749999996714e+00,2.062499999999999889e-01
5.686475409836066314e-05,3.411239799999999933e-01,1.977651460039127063e+00,-2.500000000000000000e-01,2.449218749999996891e+00,2.062499999999999889e-01
5.737704918032787693e-05,3.435853400000000168e-01,1.980076060335615784e+00,-2.500000000000000000e-01,2.242968749999997069e+00,2.062499999999999889e-01
5.788934426229508395e-05,3.458971800000000263e-01,1.982486981056357234e+00,-2.500000000000000000e-01,2.036718749999997247e+00,2.062499999999999889e-01
5.840163934426229774e-05,3.481207599999999736e-01,1.984884122283857799e+00,-2.500000000000000000e-01,1.830468749999997202e+00,2.062499999999999889e-01
5.891393442622951153e-05,3.503061599999999776e-01,1.987267384671697501e+00,-2.500000000000000000e-01,1.624218749999997158e+00,2.062499999999999889e-01
5.942622950819672533e-05,3.524942200000000248e-01,1.989636669448646478e+00,-2.500000000000000000e-01,1.417968749999997113e+00,2.062499999999999889e-01
5.993852459016393912e-05,3.547348799999999747e-01,1.991991878422759044e+00,-2.500000000000000000e-01,1.211718749999997069e+00,2.062499999999999889e-01
6.045081967213115291e-05,3.570864000000000260e-01,1.994332913985443323e+00,-2.500000000000000000e-01,1.005468749999997025e+00,2.062499999999999889e-01
6.096311475409836670e-05,3.596049599999999735e-01,1.996659679115505348e+00,-2.500000000000000000e-01,7.992187499999969802e-01,2.062499999999999889e-01
6.147540983606557372e-05,3.624253399999999847e-01,1.998972077383171619e+00,-2.500000000000000000e-01,5.929687499999969358e-01,2.062499999999999889e-01
6.198770491803278751e-05,3.658951400000000076e-01,2.001270012954084354e+00,-2.500000000000000000e-01,3.867187499999969469e-01,2.062499999999999889e-01
6.250000000000000130e-05,3.716313199999999872e-01,2.003553390593273864e+00,-2.500000000000000000e-01,1.804687499999969580e-01,2.062499999999999889e-01
6.301229508196721509e-05,3.817189000000000276e-01,2.005822115669103844e+00,2.500000000000000000e-01,2.835937499999969247e-01,2.578124999999999861e-02
6.352459016393442888e-05,3.829482000000000164e-01,2.008076094157196678e+00,2.500000000000000000e-01,3.351562499999969358e-01,5.156249999999999722e-02
6.403688524590164268e-05,3.849803199999999870e-01,2.010315232644325878e+00,2.500000000000000000e-01,4.382812499999969580e-01,1.031249999999999944e-01
6.454918032786885647e-05,3.882929600000000203e-01,2.012539438332291208e+00,2.500000000000000000e-01,6.445312499999968914e-01,2.062499999999999889e-01
6.506147540983607026e-05,3.910219200000000228e-01,2.014748619041762279e+00,2.500000000000000000e-01,8.507812499999969358e-01,2.062499999999999889e-01
6.557377049180328405e-05,3.934795200000000270e-01,2.016942683216099486e+00,2.500000000000000000e-01,1.057031249999996980e+00,2.062499999999999889e-01
6.608606557377049784e-05,3.957988599999999746e-01,2.019121539925148756e+00,2.500000000000000000e-01,1.263281249999997025e+00,2.062499999999999889e-01
6.659836065573771164e-05,3.980209399999999897e-01,2.021285098869009200e+00,2.500000000000000000e-01,1.469531249999997069e+00,2.062499999999999889e-01
6.711065573770492543e-05,4.002020800000000156e-01,2.023433270381777227e+00,2.500000000000000000e-01,1.675781249999997113e+00,2.062499999999999889e-01
6.762295081967213922e-05,4.024036599999999964e-01,2.025565965435260019e+00,2.500000000000000000e-01,1.882031249999997158e+00,2.062499999999999889e-01
6.813524590163935301e-05,4.046590999999999938e-01,2.027683095642667244e+00,2.500000000000000000e-01,2.088281249999996980e+00,2.062499999999999889e-01
6.864754098360656680e-05,4.069962999999999775e-01,2.029784573262273906e+00,2.500000000000000000e-01,2.294531249999996803e+00,2.062499999999999889e-01
6.915983606557378060e-05,4.095488600000000146e-01,2.031870311201056101e+00,2.500000000000000000e-01,2.500781249999996625e+00,2.062499999999999889e-01
6.967213114754099439e-05,4.123843999999999843e-01,2.033940223018300131e+00,2.500000000000000000e-01,2.707031249999996447e+00,2.062499999999999889e-01
7.018442622950820818e-05,4.159073600000000037e-01,2.035994222929185415e+00,2.500000000000000000e-01,2.913281249999996270e+00,2.062499999999999889e-01
7.069672131147542197e-05,4.216926799999999864e-01,2.038032225808340758e+00,2.500000000000000000e-01,3.119531249999996092e+00,2.062499999999999889e-01
7.120901639344262221e-05,4.318997399999999764e-01,2.040054147193369971e+00,-2.500000000000000000e-01,3.016406249999995737e+00,2.578124999999999861e-02
7.172131147540983600e-05,4.331322799999999806e-01,2.042059903288355294e+00,-2.500000000000000000e-01,2.964843749999995559e+00,5.156249999999999722e-02
7.223360655737704980e-05,4.351346999999999854e-01,2.044049410967326175e+00,-2.500000000000000000e-01,2.861718749999995648e+00,1.031249999999999944e-01
7.274590163934426359e-05,4.383801800000000082e-01,2.046022587777709401e+00,-2.500000000000000000e-01,2.655468749999995826e+00,2.062499999999999889e-01
7.325819672131147738e-05,4.411255800000000171e-01,2.047979351943741033e+00,-2.500000000000000000e-01,2.449218749999996003e+00,2.062499999999999889e-01
7.377049180327869117e-05,4.435852399999999918e-01,2.049919622369859695e+00,-2.500000000000000000e-01,2.242968749999996181e+00,2.062499999999999889e-01
7.428278688524590496e-05,4.458969999999999878e-01,2.051843318644064329e+00,-2.500000000000000000e-01,2.036718749999996358e+00,2.062499999999999889e-01
7.479508196721311875e-05,4.481205400000000116e-01,2.053750361041249750e+00,-2.500000000000000000e-01,1.830468749999996314e+00,2.062499999999999889e-01
7.530737704918033255e-05,4.503018999999999772e-01,2.055640670526508007e+00,-2.500000000000000000e-01,1.624218749999996270e+00,2.062499999999999889e-01
7.581967213114754634e-05,4.524930600000000025e-01,2.057514168758405759e+00,-2.500000000000000000e-01,1.417968749999996225e+00,2.062499999999999889e-01
7.633196721311476013e-05,4.547330600000000222e-01,2.059370778092229237e+00,-2.500000000000000000e-01,1.211718749999996181e+00,2.062499999999999889e-01
7.684426229508197392e-05,4.570829000000000142e-01,2.061210421583204333e+00,-2.500000000000000000e-01,1.005468749999996136e+00,2.062499999999999889e-01
7.735655737704918771e-05,4.596056199999999925e-01,2.063033022989684717e+00,-2.500000000000000000e-01,7.992187499999960920e-01,2.062499999999999889e-01
7.786885245901640151e-05,4.624283800000000277e-01,2.064838506776309313e+00,-2.500000000000000000e-01,5.929687499999960476e-01,2.062499999999999889e-01
7.838114754098361530e-05,4.658986600000000200e-01,2.066626798117136676e+00,-2.500000000000000000e-01,3.867187499999960587e-01,2.062499999999999889e-01
7.889344262295082909e-05,4.716318600000000139e-01,2.068397822898743410e+00,-2.500000000000000000e-01,1.804687499999960698e-01,2.062499999999999889e-01
7.940573770491804288e-05,4.817176000000000236e-01,2.070151507723295925e+00,2.500000000000000000e-01,2.835937499999960365e-01,2.578124999999999861e-02
7.991803278688525667e-05,4.829463999999999979e-01,2.071887779911592897e+00,2.500000000000000000e-01,3.351562499999960476e-01,5.156249999999999722e-02
8.043032786885247047e-05,4.849790399999999724e-01,2.073606567506077525e+00,2.500000000000000000e-01,4.382812499999960698e-01,1.031249999999999944e-01
8.094262295081968426e-05,4.882916800000000057e-01,2.075307799273819143e+00,2.500000000000000000e-01,6.445312499999960032e-01,2.062499999999999889e-01
8.145491803278689805e-05,4.910257399999999883e-01,2.076991404709465971e+00,2.500000000000000000e-01,8.507812499999960476e-01,2.062499999999999889e-01
8.196721311475409829e-05,4.934824600000000117e-01,2.078657314038165893e+00,2.500000000000000000e-01,1.057031249999996092e+00,2.062499999999999889e-01
8.247950819672131208e-05,4.957976000000000050e-01,2.080305458218460579e+00,2.500000000000000000e-01,1.263281249999996136e+00,2.062499999999999889e-01
8.299180327868852587e-05,4.980196599999999751e-01,2.081935768945144094e+00,2.500000000000000000e-01,1.469531249999996181e+00,2.062499999999999889e-01
